,Unnamed: 0,close,datetime,exchange_code,high,low,open,stock_code,volume
0,0,1073.7,2024-02-02 09:07:00,NSE,1073.7,1073.7,1073.7,ADATRA,0
1,1,1074.85,2024-02-02 09:15:00,NSE,1079.7,1074.35,1075.0,ADATRA,17776
2,2,1077.0,2024-02-02 09:16:00,NSE,1077.0,1072.0,1075.0,ADATRA,12158
3,3,1074.95,2024-02-02 09:17:00,NSE,1078.0,1074.15,1075.1,ADATRA,11037
4,4,1076.05,2024-02-02 09:18:00,NSE,1076.9,1073.9,1073.9,ADATRA,6445
5,5,1077.45,2024-02-02 09:19:00,NSE,1077.45,1075.05,1075.95,ADATRA,5280
6,6,1074.9,2024-02-02 09:20:00,NSE,1076.2,1074.65,1076.2,ADATRA,5493
7,7,1073.9,2024-02-02 09:21:00,NSE,1076.0,1073.6,1075.0,ADATRA,2923
8,8,1076.3,2024-02-02 09:22:00,NSE,1076.3,1074.4,1074.8,ADATRA,3974
9,9,1077.4,2024-02-02 09:23:00,NSE,1078.85,1077.15,1078.4,ADATRA,7259
10,10,1075.95,2024-02-02 09:24:00,NSE,1078.3,1075.0,1077.85,ADATRA,6216
11,11,1075.5,2024-02-02 09:25:00,NSE,1075.95,1075.0,1075.9,ADATRA,2424
12,12,1076.75,2024-02-02 09:26:00,NSE,1076.95,1074.35,1075.0,ADATRA,4795
13,13,1077.85,2024-02-02 09:27:00,NSE,1078.85,1075.15,1076.75,ADATRA,7970
14,14,1083.95,2024-02-02 09:28:00,NSE,1083.95,1078.85,1078.85,ADATRA,17629
15,15,1082.5,2024-02-02 09:29:00,NSE,1083.1,1080.15,1083.1,ADATRA,6600
16,16,1078.45,2024-02-02 09:30:00,NSE,1082.3,1078.45,1081.65,ADATRA,6799
17,17,1076.9,2024-02-02 09:31:00,NSE,1078.55,1076.1,1078.4,ADATRA,3709
18,18,1077.7,2024-02-02 09:32:00,NSE,1078.0,1076.25,1076.25,ADATRA,1458
19,19,1081.75,2024-02-02 09:33:00,NSE,1081.95,1076.85,1076.85,ADATRA,8637
20,20,1080.95,2024-02-02 09:34:00,NSE,1081.45,1080.15,1081.1,ADATRA,4461
21,21,1080.45,2024-02-02 09:35:00,NSE,1081.0,1080.1,1080.15,ADATRA,1317
22,22,1079.0,2024-02-02 09:36:00,NSE,1080.95,1078.25,1080.95,ADATRA,2850
23,23,1081.45,2024-02-02 09:37:00,NSE,1081.8,1078.65,1079.0,ADATRA,5287
24,24,1081.15,2024-02-02 09:38:00,NSE,1082.0,1080.7,1081.9,ADATRA,2374
25,25,1081.1,2024-02-02 09:39:00,NSE,1081.9,1080.75,1081.2,ADATRA,2079
26,26,1085.0,2024-02-02 09:40:00,NSE,1086.85,1084.25,1086.6,ADATRA,18050
27,27,1081.8,2024-02-02 09:41:00,NSE,1085.0,1081.8,1085.0,ADATRA,4069
28,28,1082.4,2024-02-02 09:42:00,NSE,1082.95,1081.7,1082.35,ADATRA,1959
29,29,1084.0,2024-02-02 09:43:00,NSE,1084.55,1082.35,1082.8,ADATRA,3029
