,close,datetime,exchange_code,high,low,open,stock_code,volume
0,452.95,2024-02-22 09:07:00,NSE,452.95,452.95,452.95,AEGLOG,0
1,453.25,2024-02-22 09:15:00,NSE,456.2,452.45,452.95,AEGLOG,2567
2,451.5,2024-02-22 09:16:00,NSE,453.6,450.1,452.35,AEGLOG,3614
3,452.45,2024-02-22 09:17:00,NSE,453.25,450.0,450.0,AEGLOG,5513
4,450.0,2024-02-22 09:18:00,NSE,452.0,449.9,451.95,AEGLOG,3880
5,452.05,2024-02-22 09:19:00,NSE,452.1,450.0,450.0,AEGLOG,1909
6,448.85,2024-02-22 09:20:00,NSE,451.3,448.85,450.55,AEGLOG,3408
7,448.4,2024-02-22 09:21:00,NSE,450.0,448.4,448.85,AEGLOG,979
8,448.2,2024-02-22 09:22:00,NSE,450.0,448.2,448.4,AEGLOG,2767
9,447.2,2024-02-22 09:23:00,NSE,448.2,446.1,448.2,AEGLOG,3154
10,447.7,2024-02-22 09:24:00,NSE,447.7,446.8,447.25,AEGLOG,1367
11,447.85,2024-02-22 09:25:00,NSE,448.45,446.5,446.5,AEGLOG,3448
12,447.6,2024-02-22 09:26:00,NSE,448.5,446.7,448.5,AEGLOG,1138
13,447.8,2024-02-22 09:27:00,NSE,448.2,447.6,447.6,AEGLOG,915
14,445.6,2024-02-22 09:28:00,NSE,447.6,445.6,447.6,AEGLOG,2996
15,443.9,2024-02-22 09:29:00,NSE,445.3,443.0,445.05,AEGLOG,6085
16,443.0,2024-02-22 09:30:00,NSE,444.7,443.0,443.9,AEGLOG,3260
17,441.1,2024-02-22 09:31:00,NSE,442.7,441.1,442.0,AEGLOG,9116
18,443.2,2024-02-22 09:32:00,NSE,443.7,440.25,440.25,AEGLOG,5698
19,443.95,2024-02-22 09:33:00,NSE,443.95,442.15,442.55,AEGLOG,2514
20,443.35,2024-02-22 09:34:00,NSE,443.95,442.15,442.65,AEGLOG,1935
21,444.6,2024-02-22 09:35:00,NSE,444.6,442.15,442.15,AEGLOG,3277
22,443.4,2024-02-22 09:36:00,NSE,444.4,443.3,443.3,AEGLOG,859
23,442.35,2024-02-22 09:37:00,NSE,444.2,441.1,444.2,AEGLOG,2800
24,443.45,2024-02-22 09:38:00,NSE,443.75,442.7,442.7,AEGLOG,1307
25,443.6,2024-02-22 09:39:00,NSE,444.0,443.0,443.45,AEGLOG,1026
26,442.0,2024-02-22 09:40:00,NSE,442.95,440.95,442.95,AEGLOG,10239
27,443.65,2024-02-22 09:41:00,NSE,443.85,442.0,442.0,AEGLOG,1438
28,448.15,2024-02-22 09:42:00,NSE,448.9,443.8,443.8,AEGLOG,5722
29,449.0,2024-02-22 09:43:00,NSE,449.65,448.15,448.15,AEGLOG,3281
30,447.6,2024-02-22 09:44:00,NSE,449.0,447.6,449.0,AEGLOG,1414
31,448.6,2024-02-22 09:45:00,NSE,448.6,448.3,448.3,AEGLOG,945
32,447.65,2024-02-22 09:46:00,NSE,448.6,447.6,448.6,AEGLOG,599
33,447.65,2024-02-22 09:47:00,NSE,450.0,447.65,447.65,AEGLOG,2248
34,448.75,2024-02-22 09:48:00,NSE,448.95,447.65,447.65,AEGLOG,630
35,448.6,2024-02-22 09:49:00,NSE,448.75,448.5,448.75,AEGLOG,48
36,447.65,2024-02-22 09:50:00,NSE,448.15,447.6,447.8,AEGLOG,1679
37,445.9,2024-02-22 09:51:00,NSE,448.2,445.45,448.2,AEGLOG,3046
38,445.05,2024-02-22 09:52:00,NSE,445.9,444.3,445.9,AEGLOG,2621
39,445.85,2024-02-22 09:53:00,NSE,445.85,444.9,445.45,AEGLOG,1229
40,447.95,2024-02-22 09:54:00,NSE,447.95,445.45,445.85,AEGLOG,1709
41,446.5,2024-02-22 09:55:00,NSE,447.95,446.5,447.95,AEGLOG,571
42,446.0,2024-02-22 09:56:00,NSE,446.6,445.65,446.5,AEGLOG,2405
43,445.05,2024-02-22 09:57:00,NSE,446.0,445.05,446.0,AEGLOG,372
44,445.8,2024-02-22 09:58:00,NSE,445.8,445.05,445.05,AEGLOG,145
45,444.5,2024-02-22 09:59:00,NSE,445.15,444.5,445.15,AEGLOG,1565
46,443.0,2024-02-22 10:00:00,NSE,444.5,442.4,444.5,AEGLOG,1969
47,443.0,2024-02-22 10:01:00,NSE,443.0,442.1,442.1,AEGLOG,230
48,442.15,2024-02-22 10:02:00,NSE,443.0,441.45,443.0,AEGLOG,1911
49,441.0,2024-02-22 10:03:00,NSE,442.8,441.0,442.15,AEGLOG,1600
50,443.4,2024-02-22 10:04:00,NSE,443.4,441.0,441.0,AEGLOG,1205
51,443.05,2024-02-22 10:05:00,NSE,444.5,442.85,443.9,AEGLOG,2002
52,443.65,2024-02-22 10:06:00,NSE,443.65,442.4,443.05,AEGLOG,899
53,443.9,2024-02-22 10:07:00,NSE,443.9,442.1,443.65,AEGLOG,410
54,445.35,2024-02-22 10:08:00,NSE,445.9,444.0,444.0,AEGLOG,2144
55,446.55,2024-02-22 10:09:00,NSE,446.55,443.75,445.1,AEGLOG,1909
56,446.05,2024-02-22 10:10:00,NSE,447.0,446.05,446.3,AEGLOG,1559
57,445.1,2024-02-22 10:11:00,NSE,446.6,445.1,446.6,AEGLOG,200
58,445.1,2024-02-22 10:12:00,NSE,445.15,445.1,445.1,AEGLOG,152
59,444.45,2024-02-22 10:13:00,NSE,445.15,444.45,445.15,AEGLOG,1668
60,443.9,2024-02-22 10:14:00,NSE,443.9,443.75,443.75,AEGLOG,293
61,444.9,2024-02-22 10:15:00,NSE,444.9,444.9,444.9,AEGLOG,108
62,444.25,2024-02-22 10:16:00,NSE,444.9,444.25,444.9,AEGLOG,30
63,444.9,2024-02-22 10:17:00,NSE,444.9,444.25,444.25,AEGLOG,154
64,445.7,2024-02-22 10:18:00,NSE,446.95,444.3,444.9,AEGLOG,2511
65,445.45,2024-02-22 10:19:00,NSE,446.25,445.45,445.7,AEGLOG,16
66,445.05,2024-02-22 10:20:00,NSE,445.65,445.05,445.45,AEGLOG,213
67,444.6,2024-02-22 10:21:00,NSE,445.05,444.6,445.05,AEGLOG,220
68,445.6,2024-02-22 10:22:00,NSE,445.6,444.6,444.6,AEGLOG,297
