,close,datetime,exchange_code,high,low,open,stock_code,volume
0,921.0,2024-01-18 09:07:00,NSE,921.0,921.0,921.0,ALEPHA,0
1,917.2,2024-01-18 09:15:00,NSE,921.0,916.8,921.0,ALEPHA,1994
2,927.95,2024-01-18 09:16:00,NSE,928.95,917.6,918.0,ALEPHA,4115
3,924.4,2024-01-18 09:17:00,NSE,927.95,924.4,927.95,ALEPHA,2752
4,920.1,2024-01-18 09:18:00,NSE,924.85,920.0,924.4,ALEPHA,1466
5,920.4,2024-01-18 09:19:00,NSE,922.15,920.0,920.1,ALEPHA,729
6,922.15,2024-01-18 09:20:00,NSE,922.15,919.4,921.0,ALEPHA,923
7,922.15,2024-01-18 09:21:00,NSE,922.45,921.4,922.35,ALEPHA,1144
8,922.05,2024-01-18 09:22:00,NSE,922.05,921.05,921.75,ALEPHA,333
9,922.9,2024-01-18 09:23:00,NSE,923.1,920.0,922.05,ALEPHA,1699
10,925.4,2024-01-18 09:24:00,NSE,925.4,923.65,924.05,ALEPHA,217
11,923.25,2024-01-18 09:25:00,NSE,925.2,923.25,925.2,ALEPHA,1458
12,921.35,2024-01-18 09:26:00,NSE,923.25,921.35,923.25,ALEPHA,115
13,921.95,2024-01-18 09:27:00,NSE,922.1,921.35,921.35,ALEPHA,199
14,923.25,2024-01-18 09:28:00,NSE,923.25,921.95,921.95,ALEPHA,26
15,921.65,2024-01-18 09:29:00,NSE,923.25,920.5,923.25,ALEPHA,1793
16,922.35,2024-01-18 09:30:00,NSE,922.35,921.65,921.65,ALEPHA,13
17,923.25,2024-01-18 09:31:00,NSE,923.25,920.25,922.35,ALEPHA,1335
18,924.7,2024-01-18 09:32:00,NSE,924.7,923.25,923.25,ALEPHA,872
19,923.45,2024-01-18 09:33:00,NSE,924.9,923.45,923.5,ALEPHA,674
20,925.0,2024-01-18 09:34:00,NSE,925.0,923.55,923.55,ALEPHA,21
21,922.4,2024-01-18 09:35:00,NSE,926.0,922.4,925.4,ALEPHA,1231
22,921.35,2024-01-18 09:36:00,NSE,922.9,920.0,922.4,ALEPHA,630
23,918.6,2024-01-18 09:37:00,NSE,920.65,918.6,920.65,ALEPHA,901
24,918.25,2024-01-18 09:38:00,NSE,919.05,916.95,917.95,ALEPHA,1173
25,918.05,2024-01-18 09:39:00,NSE,918.3,917.45,918.25,ALEPHA,386
26,916.1,2024-01-18 09:40:00,NSE,918.05,916.1,918.05,ALEPHA,828
27,916.35,2024-01-18 09:41:00,NSE,916.9,915.25,915.25,ALEPHA,1325
28,916.25,2024-01-18 09:42:00,NSE,917.75,915.35,915.35,ALEPHA,1892
29,911.7,2024-01-18 09:43:00,NSE,913.95,911.4,913.95,ALEPHA,3724
30,913.6,2024-01-18 09:44:00,NSE,914.25,912.05,912.05,ALEPHA,1173
31,913.5,2024-01-18 09:45:00,NSE,914.25,913.5,913.6,ALEPHA,445
32,911.25,2024-01-18 09:46:00,NSE,912.2,911.25,912.15,ALEPHA,785
33,910.05,2024-01-18 09:47:00,NSE,911.0,910.05,911.0,ALEPHA,1164
34,910.45,2024-01-18 09:48:00,NSE,911.95,910.1,910.55,ALEPHA,3923
35,910.0,2024-01-18 09:49:00,NSE,911.05,910.0,911.05,ALEPHA,577
36,908.4,2024-01-18 09:50:00,NSE,910.0,908.2,910.0,ALEPHA,978
37,908.35,2024-01-18 09:51:00,NSE,908.55,907.1,908.4,ALEPHA,2093
38,902.3,2024-01-18 09:52:00,NSE,908.0,902.3,907.25,ALEPHA,3760
39,898.7,2024-01-18 09:53:00,NSE,904.0,898.7,901.55,ALEPHA,3316
40,899.75,2024-01-18 09:54:00,NSE,901.55,897.35,898.7,ALEPHA,5243
41,895.05,2024-01-18 09:55:00,NSE,899.1,893.4,899.1,ALEPHA,5141
42,895.55,2024-01-18 09:56:00,NSE,895.55,893.7,895.05,ALEPHA,1076
43,897.05,2024-01-18 09:57:00,NSE,897.05,894.3,894.95,ALEPHA,2076
44,901.7,2024-01-18 09:58:00,NSE,901.7,895.3,895.3,ALEPHA,3370
45,904.15,2024-01-18 09:59:00,NSE,904.15,900.25,901.4,ALEPHA,4007
46,909.8,2024-01-18 10:00:00,NSE,910.6,904.15,904.15,ALEPHA,2289
47,904.45,2024-01-18 10:01:00,NSE,908.0,903.6,907.4,ALEPHA,10319
48,906.9,2024-01-18 10:02:00,NSE,906.9,902.65,904.45,ALEPHA,6403
49,907.45,2024-01-18 10:03:00,NSE,907.5,906.45,906.9,ALEPHA,470
50,906.9,2024-01-18 10:04:00,NSE,907.5,906.1,907.45,ALEPHA,314
51,905.4,2024-01-18 10:05:00,NSE,906.6,905.0,905.0,ALEPHA,1859
52,906.35,2024-01-18 10:06:00,NSE,906.35,905.4,905.4,ALEPHA,263
