,Unnamed: 0,close,datetime,exchange_code,high,low,open,stock_code,volume
0,0,1050.3,2024-02-28 09:07:00,NSE,1050.3,1050.3,1050.3,ALEPHA,0
1,1,1052.15,2024-02-28 09:15:00,NSE,1055.15,1050.55,1050.75,ALEPHA,115
2,2,1049.45,2024-02-28 09:16:00,NSE,1052.15,1049.0,1052.15,ALEPHA,410
3,3,1045.6,2024-02-28 09:17:00,NSE,1049.45,1042.8,1049.45,ALEPHA,1920
4,4,1044.75,2024-02-28 09:18:00,NSE,1045.6,1043.5,1045.6,ALEPHA,114
5,5,1043.05,2024-02-28 09:19:00,NSE,1043.75,1040.95,1043.75,ALEPHA,426
6,6,1039.5,2024-02-28 09:20:00,NSE,1041.4,1039.5,1041.4,ALEPHA,2530
7,7,1040.25,2024-02-28 09:21:00,NSE,1040.25,1038.25,1038.25,ALEPHA,193
8,8,1041.1,2024-02-28 09:22:00,NSE,1041.1,1039.0,1040.25,ALEPHA,179
9,9,1039.65,2024-02-28 09:23:00,NSE,1041.1,1039.5,1041.1,ALEPHA,109
10,10,1039.75,2024-02-28 09:24:00,NSE,1040.65,1039.5,1039.65,ALEPHA,49
11,11,1037.8,2024-02-28 09:25:00,NSE,1040.45,1037.5,1040.45,ALEPHA,461
12,12,1038.7,2024-02-28 09:26:00,NSE,1038.7,1037.8,1037.8,ALEPHA,6
13,13,1039.05,2024-02-28 09:27:00,NSE,1039.1,1038.7,1038.7,ALEPHA,213
14,14,1038.0,2024-02-28 09:28:00,NSE,1039.05,1038.0,1039.05,ALEPHA,451
15,15,1036.8,2024-02-28 09:29:00,NSE,1037.7,1036.5,1037.7,ALEPHA,64
16,16,1036.5,2024-02-28 09:30:00,NSE,1037.0,1036.5,1036.5,ALEPHA,165
17,17,1037.35,2024-02-28 09:31:00,NSE,1037.85,1037.05,1037.05,ALEPHA,135
18,18,1037.3,2024-02-28 09:32:00,NSE,1037.35,1037.3,1037.35,ALEPHA,68
19,19,1038.1,2024-02-28 09:33:00,NSE,1038.1,1037.3,1037.3,ALEPHA,15
20,20,1040.85,2024-02-28 09:34:00,NSE,1040.85,1038.1,1038.1,ALEPHA,64
21,21,1039.25,2024-02-28 09:35:00,NSE,1040.85,1039.25,1040.85,ALEPHA,70
22,22,1038.7,2024-02-28 09:36:00,NSE,1039.25,1038.15,1039.25,ALEPHA,129
23,23,1040.15,2024-02-28 09:37:00,NSE,1040.95,1038.7,1038.7,ALEPHA,157
24,24,1040.6,2024-02-28 09:38:00,NSE,1040.6,1040.15,1040.15,ALEPHA,130
25,25,1040.6,2024-02-28 09:39:00,NSE,1040.75,1040.6,1040.6,ALEPHA,283
26,26,1040.0,2024-02-28 09:40:00,NSE,1040.6,1040.0,1040.6,ALEPHA,28
27,27,1040.15,2024-02-28 09:41:00,NSE,1040.9,1040.0,1040.0,ALEPHA,33
28,28,1038.7,2024-02-28 09:42:00,NSE,1040.15,1038.7,1040.15,ALEPHA,741
29,29,1038.85,2024-02-28 09:43:00,NSE,1038.85,1038.7,1038.7,ALEPHA,1
30,30,1038.8,2024-02-28 09:44:00,NSE,1039.45,1038.8,1039.45,ALEPHA,268
31,31,1038.75,2024-02-28 09:45:00,NSE,1039.0,1038.7,1038.8,ALEPHA,167
32,32,1038.75,2024-02-28 09:46:00,NSE,1038.75,1038.75,1038.75,ALEPHA,0
33,33,1039.6,2024-02-28 09:47:00,NSE,1040.2,1039.35,1040.1,ALEPHA,22
34,34,1039.35,2024-02-28 09:48:00,NSE,1040.45,1039.15,1039.6,ALEPHA,43
35,35,1039.6,2024-02-28 09:49:00,NSE,1039.6,1039.35,1039.35,ALEPHA,18
36,36,1039.55,2024-02-28 09:50:00,NSE,1040.45,1039.55,1039.6,ALEPHA,30
37,37,1039.1,2024-02-28 09:51:00,NSE,1040.0,1039.0,1039.55,ALEPHA,109
38,38,1041.1,2024-02-28 09:52:00,NSE,1041.3,1040.3,1040.3,ALEPHA,1070
39,39,1039.6,2024-02-28 09:53:00,NSE,1041.1,1039.6,1041.1,ALEPHA,129
40,40,1039.1,2024-02-28 09:54:00,NSE,1039.6,1039.1,1039.6,ALEPHA,12
41,41,1039.0,2024-02-28 09:55:00,NSE,1039.05,1039.0,1039.05,ALEPHA,210
42,42,1038.1,2024-02-28 09:56:00,NSE,1038.7,1038.1,1038.7,ALEPHA,958
43,43,1037.0,2024-02-28 09:57:00,NSE,1038.1,1037.0,1038.1,ALEPHA,799
44,44,1034.6,2024-02-28 09:58:00,NSE,1036.55,1032.65,1036.55,ALEPHA,1411
45,45,1032.0,2024-02-28 09:59:00,NSE,1034.6,1032.0,1034.6,ALEPHA,650
46,46,1032.15,2024-02-28 10:00:00,NSE,1032.9,1032.0,1032.0,ALEPHA,40
47,47,1033.1,2024-02-28 10:01:00,NSE,1034.2,1033.0,1033.0,ALEPHA,18
48,48,1033.5,2024-02-28 10:02:00,NSE,1033.5,1033.1,1033.2,ALEPHA,85
49,49,1034.75,2024-02-28 10:03:00,NSE,1034.75,1033.5,1033.5,ALEPHA,47
50,50,1033.05,2024-02-28 10:04:00,NSE,1033.75,1033.0,1033.75,ALEPHA,131
51,51,1033.35,2024-02-28 10:05:00,NSE,1034.0,1033.0,1033.05,ALEPHA,87
52,52,1033.55,2024-02-28 10:06:00,NSE,1033.55,1033.35,1033.35,ALEPHA,1
53,53,1031.2,2024-02-28 10:07:00,NSE,1033.35,1031.2,1033.35,ALEPHA,701
54,54,1031.05,2024-02-28 10:08:00,NSE,1031.2,1031.0,1031.2,ALEPHA,131
55,55,1033.3,2024-02-28 10:09:00,NSE,1033.3,1031.05,1031.05,ALEPHA,19
56,56,1033.5,2024-02-28 10:10:00,NSE,1033.55,1033.3,1033.3,ALEPHA,84
57,57,1033.5,2024-02-28 10:11:00,NSE,1033.5,1033.5,1033.5,ALEPHA,29
58,58,1033.5,2024-02-28 10:12:00,NSE,1033.5,1033.5,1033.5,ALEPHA,18
59,59,1034.05,2024-02-28 10:13:00,NSE,1034.8,1033.5,1033.5,ALEPHA,4
60,60,1034.0,2024-02-28 10:14:00,NSE,1034.05,1033.55,1034.05,ALEPHA,20
61,61,1034.0,2024-02-28 10:15:00,NSE,1034.0,1034.0,1034.0,ALEPHA,9
