,Unnamed: 0,close,datetime,exchange_code,high,low,open,stock_code,volume
0,0,1974.9,2024-03-20 09:07:00,NSE,1974.9,1974.9,1974.9,ALKAMI,0
1,1,1965.05,2024-03-20 09:15:00,NSE,1979.95,1965.05,1974.9,ALKAMI,490
2,2,1968.2,2024-03-20 09:16:00,NSE,1976.0,1968.2,1973.55,ALKAMI,303
3,3,1969.95,2024-03-20 09:17:00,NSE,1971.5,1968.35,1968.35,ALKAMI,185
4,4,1971.2,2024-03-20 09:18:00,NSE,1971.45,1970.0,1971.45,ALKAMI,18
5,5,1971.5,2024-03-20 09:19:00,NSE,1971.5,1967.3,1967.3,ALKAMI,220
6,6,1971.8,2024-03-20 09:20:00,NSE,1973.9,1971.5,1971.5,ALKAMI,12
7,7,1967.65,2024-03-20 09:21:00,NSE,1970.55,1967.65,1970.0,ALKAMI,171
8,8,1965.85,2024-03-20 09:22:00,NSE,1967.65,1965.85,1967.65,ALKAMI,56
9,9,1968.3,2024-03-20 09:23:00,NSE,1968.3,1965.85,1965.85,ALKAMI,18
10,10,1966.2,2024-03-20 09:24:00,NSE,1968.3,1966.2,1968.3,ALKAMI,8
11,11,1969.0,2024-03-20 09:25:00,NSE,1969.0,1966.2,1966.2,ALKAMI,206
12,12,1965.85,2024-03-20 09:26:00,NSE,1969.0,1965.85,1969.0,ALKAMI,107
13,13,1964.1,2024-03-20 09:27:00,NSE,1967.3,1963.55,1965.85,ALKAMI,177
14,14,1960.9,2024-03-20 09:28:00,NSE,1961.95,1960.0,1961.25,ALKAMI,393
15,15,1960.5,2024-03-20 09:29:00,NSE,1962.4,1959.6,1959.6,ALKAMI,78
16,16,1960.7,2024-03-20 09:30:00,NSE,1963.35,1959.55,1961.85,ALKAMI,153
17,17,1960.3,2024-03-20 09:31:00,NSE,1960.7,1958.0,1960.7,ALKAMI,71
18,18,1959.7,2024-03-20 09:32:00,NSE,1961.95,1959.7,1960.3,ALKAMI,54
19,19,1961.25,2024-03-20 09:33:00,NSE,1961.45,1959.7,1959.7,ALKAMI,45
20,20,1958.8,2024-03-20 09:34:00,NSE,1961.4,1958.8,1961.25,ALKAMI,77
21,21,1957.5,2024-03-20 09:35:00,NSE,1960.1,1957.5,1958.8,ALKAMI,52
22,22,1955.15,2024-03-20 09:36:00,NSE,1957.5,1955.15,1957.5,ALKAMI,80
23,23,1955.0,2024-03-20 09:37:00,NSE,1957.15,1955.0,1955.15,ALKAMI,84
24,24,1955.0,2024-03-20 09:38:00,NSE,1956.85,1955.0,1955.0,ALKAMI,230
25,25,1952.05,2024-03-20 09:39:00,NSE,1955.0,1952.05,1955.0,ALKAMI,201
26,26,1951.85,2024-03-20 09:40:00,NSE,1952.05,1951.2,1952.05,ALKAMI,645
27,27,1949.05,2024-03-20 09:41:00,NSE,1953.7,1949.05,1951.85,ALKAMI,182
28,28,1951.8,2024-03-20 09:42:00,NSE,1953.8,1951.8,1953.8,ALKAMI,324
29,29,1953.0,2024-03-20 09:43:00,NSE,1953.0,1951.8,1951.8,ALKAMI,23
30,30,1951.0,2024-03-20 09:44:00,NSE,1953.0,1951.0,1953.0,ALKAMI,89
31,31,1951.2,2024-03-20 09:45:00,NSE,1951.7,1950.5,1951.0,ALKAMI,57
32,32,1950.2,2024-03-20 09:46:00,NSE,1951.2,1950.2,1951.2,ALKAMI,1
33,33,1950.15,2024-03-20 09:47:00,NSE,1950.15,1948.0,1950.0,ALKAMI,351
34,34,1950.0,2024-03-20 09:48:00,NSE,1952.2,1950.0,1950.15,ALKAMI,94
35,35,1951.55,2024-03-20 09:49:00,NSE,1951.95,1945.2,1950.0,ALKAMI,381
36,36,1949.75,2024-03-20 09:50:00,NSE,1952.0,1949.75,1951.55,ALKAMI,12
37,37,1950.0,2024-03-20 09:51:00,NSE,1951.65,1950.0,1951.65,ALKAMI,8
38,38,1949.1,2024-03-20 09:52:00,NSE,1951.45,1949.1,1951.45,ALKAMI,38
39,39,1949.1,2024-03-20 09:53:00,NSE,1949.65,1948.0,1949.65,ALKAMI,99
40,40,1949.7,2024-03-20 09:54:00,NSE,1949.9,1946.4,1949.1,ALKAMI,146
41,41,1950.0,2024-03-20 09:55:00,NSE,1950.0,1946.5,1949.7,ALKAMI,23
42,42,1949.7,2024-03-20 09:56:00,NSE,1950.0,1949.0,1950.0,ALKAMI,30
43,43,1951.5,2024-03-20 09:57:00,NSE,1951.6,1950.0,1951.6,ALKAMI,30
44,44,1950.25,2024-03-20 09:58:00,NSE,1951.5,1950.25,1951.5,ALKAMI,42
45,45,1949.75,2024-03-20 09:59:00,NSE,1951.1,1948.45,1950.25,ALKAMI,83
46,46,1949.25,2024-03-20 10:00:00,NSE,1949.25,1948.0,1948.0,ALKAMI,43
47,47,1948.0,2024-03-20 10:01:00,NSE,1951.5,1948.0,1949.25,ALKAMI,40
48,48,1947.25,2024-03-20 10:02:00,NSE,1949.3,1947.15,1948.0,ALKAMI,32
49,49,1948.25,2024-03-20 10:03:00,NSE,1948.8,1947.0,1947.25,ALKAMI,151
50,50,1947.0,2024-03-20 10:04:00,NSE,1949.6,1947.0,1949.6,ALKAMI,57
51,51,1945.0,2024-03-20 10:05:00,NSE,1949.95,1944.0,1947.0,ALKAMI,1087
52,52,1942.6,2024-03-20 10:06:00,NSE,1945.0,1941.9,1945.0,ALKAMI,73
53,53,1945.15,2024-03-20 10:07:00,NSE,1945.15,1942.25,1942.5,ALKAMI,433
54,54,1943.0,2024-03-20 10:08:00,NSE,1945.15,1943.0,1945.15,ALKAMI,4
55,55,1941.45,2024-03-20 10:09:00,NSE,1943.65,1941.45,1943.65,ALKAMI,57
56,56,1942.35,2024-03-20 10:10:00,NSE,1944.25,1941.45,1941.45,ALKAMI,28
57,57,1942.3,2024-03-20 10:11:00,NSE,1942.5,1942.0,1942.5,ALKAMI,114
58,58,1941.7,2024-03-20 10:12:00,NSE,1942.3,1940.0,1942.3,ALKAMI,55
59,59,1940.85,2024-03-20 10:13:00,NSE,1941.6,1940.05,1940.05,ALKAMI,300
60,60,1941.8,2024-03-20 10:14:00,NSE,1942.65,1940.0,1941.3,ALKAMI,173
61,61,1941.85,2024-03-20 10:15:00,NSE,1941.85,1940.0,1941.8,ALKAMI,5
62,62,1942.35,2024-03-20 10:16:00,NSE,1943.0,1940.55,1941.85,ALKAMI,36
63,63,1941.1,2024-03-20 10:17:00,NSE,1942.35,1941.1,1942.35,ALKAMI,8
64,64,1943.05,2024-03-20 10:18:00,NSE,1943.05,1941.1,1941.1,ALKAMI,542
65,65,1945.0,2024-03-20 10:19:00,NSE,1945.0,1943.0,1943.05,ALKAMI,94
66,66,1943.4,2024-03-20 10:20:00,NSE,1945.15,1943.4,1945.15,ALKAMI,77
67,67,1940.15,2024-03-20 10:21:00,NSE,1943.4,1940.0,1943.4,ALKAMI,56
68,68,1942.0,2024-03-20 10:22:00,NSE,1942.0,1940.0,1940.15,ALKAMI,40
69,69,1942.0,2024-03-20 10:23:00,NSE,1942.0,1940.0,1940.05,ALKAMI,96
70,70,1944.0,2024-03-20 10:24:00,NSE,1944.0,1942.0,1942.0,ALKAMI,1
71,71,1941.0,2024-03-20 10:25:00,NSE,1943.9,1941.0,1942.0,ALKAMI,43
72,72,1941.6,2024-03-20 10:26:00,NSE,1944.0,1941.3,1941.3,ALKAMI,35
73,73,1945.95,2024-03-20 10:27:00,NSE,1945.95,1942.3,1943.6,ALKAMI,316
74,74,1943.1,2024-03-20 10:28:00,NSE,1945.95,1943.1,1945.95,ALKAMI,69
75,75,1941.0,2024-03-20 10:29:00,NSE,1944.3,1940.25,1943.1,ALKAMI,393
76,76,1941.05,2024-03-20 10:30:00,NSE,1942.0,1940.25,1941.0,ALKAMI,20
77,77,1942.05,2024-03-20 10:31:00,NSE,1942.25,1941.0,1942.25,ALKAMI,32
78,78,1941.0,2024-03-20 10:32:00,NSE,1943.0,1941.0,1943.0,ALKAMI,123
79,79,1941.0,2024-03-20 10:33:00,NSE,1943.35,1941.0,1941.0,ALKAMI,46
80,80,1941.0,2024-03-20 10:34:00,NSE,1942.35,1941.0,1941.0,ALKAMI,15
81,81,1940.3,2024-03-20 10:35:00,NSE,1941.75,1940.3,1941.0,ALKAMI,54
82,82,1941.75,2024-03-20 10:36:00,NSE,1941.75,1940.3,1940.3,ALKAMI,21
83,83,1941.4,2024-03-20 10:37:00,NSE,1943.15,1941.4,1941.75,ALKAMI,24
84,84,1939.6,2024-03-20 10:38:00,NSE,1941.4,1939.6,1941.4,ALKAMI,369
85,85,1939.6,2024-03-20 10:39:00,NSE,1939.6,1939.6,1939.6,ALKAMI,0
86,86,1940.15,2024-03-20 10:40:00,NSE,1940.95,1939.6,1939.6,ALKAMI,28
87,87,1939.5,2024-03-20 10:41:00,NSE,1940.15,1939.0,1940.15,ALKAMI,190
88,88,1939.55,2024-03-20 10:42:00,NSE,1939.55,1938.4,1939.5,ALKAMI,118
89,89,1936.0,2024-03-20 10:43:00,NSE,1939.55,1936.0,1939.55,ALKAMI,100
90,90,1937.95,2024-03-20 10:44:00,NSE,1937.95,1935.25,1936.0,ALKAMI,135
91,91,1937.3,2024-03-20 10:45:00,NSE,1937.3,1935.0,1935.6,ALKAMI,75
92,92,1937.2,2024-03-20 10:46:00,NSE,1937.3,1937.15,1937.3,ALKAMI,2
93,93,1936.45,2024-03-20 10:47:00,NSE,1937.2,1936.0,1937.2,ALKAMI,24
94,94,1936.6,2024-03-20 10:48:00,NSE,1936.75,1935.0,1936.45,ALKAMI,13
95,95,1937.95,2024-03-20 10:49:00,NSE,1937.95,1936.8,1936.95,ALKAMI,295
96,96,1937.9,2024-03-20 10:50:00,NSE,1937.95,1936.05,1936.05,ALKAMI,42
97,97,1939.1,2024-03-20 10:51:00,NSE,1939.1,1936.1,1937.9,ALKAMI,41
98,98,1936.2,2024-03-20 10:52:00,NSE,1939.2,1936.2,1939.1,ALKAMI,189
99,99,1938.4,2024-03-20 10:53:00,NSE,1938.4,1934.05,1936.2,ALKAMI,189
100,100,1936.8,2024-03-20 10:54:00,NSE,1939.85,1936.8,1938.4,ALKAMI,122
101,101,1940.0,2024-03-20 10:55:00,NSE,1940.0,1936.8,1936.8,ALKAMI,10
102,102,1940.15,2024-03-20 10:56:00,NSE,1940.15,1940.0,1940.0,ALKAMI,91
103,103,1940.15,2024-03-20 10:57:00,NSE,1940.95,1940.15,1940.15,ALKAMI,3
104,104,1940.15,2024-03-20 10:58:00,NSE,1940.65,1940.15,1940.15,ALKAMI,28
105,105,1941.7,2024-03-20 10:59:00,NSE,1941.7,1940.0,1940.0,ALKAMI,328
106,106,1940.9,2024-03-20 11:00:00,NSE,1941.0,1940.85,1941.0,ALKAMI,9
107,107,1940.0,2024-03-20 11:01:00,NSE,1940.9,1939.05,1940.9,ALKAMI,110
108,108,1940.7,2024-03-20 11:02:00,NSE,1940.7,1940.0,1940.0,ALKAMI,185
109,109,1940.7,2024-03-20 11:03:00,NSE,1940.7,1938.0,1940.7,ALKAMI,109
110,110,1939.3,2024-03-20 11:04:00,NSE,1940.7,1938.0,1940.7,ALKAMI,48
111,111,1939.2,2024-03-20 11:05:00,NSE,1939.35,1937.0,1939.3,ALKAMI,351
112,112,1940.0,2024-03-20 11:06:00,NSE,1940.0,1937.4,1939.2,ALKAMI,74
113,113,1940.0,2024-03-20 11:07:00,NSE,1940.0,1938.1,1940.0,ALKAMI,39
114,114,1937.45,2024-03-20 11:08:00,NSE,1940.0,1936.25,1940.0,ALKAMI,426
115,115,1939.0,2024-03-20 11:09:00,NSE,1939.0,1936.95,1937.45,ALKAMI,30
116,116,1939.0,2024-03-20 11:10:00,NSE,1939.25,1938.25,1939.1,ALKAMI,96
117,117,1939.85,2024-03-20 11:11:00,NSE,1939.85,1939.0,1939.0,ALKAMI,45
118,118,1939.3,2024-03-20 11:12:00,NSE,1939.85,1939.2,1939.85,ALKAMI,23
119,119,1936.85,2024-03-20 11:13:00,NSE,1939.3,1936.85,1939.3,ALKAMI,116
120,120,1935.05,2024-03-20 11:14:00,NSE,1936.85,1935.05,1936.85,ALKAMI,50
121,121,1934.5,2024-03-20 11:15:00,NSE,1936.95,1934.5,1935.05,ALKAMI,133
122,122,1933.7,2024-03-20 11:16:00,NSE,1935.1,1933.7,1935.05,ALKAMI,78
123,123,1933.6,2024-03-20 11:17:00,NSE,1934.75,1933.6,1934.75,ALKAMI,19
124,124,1934.8,2024-03-20 11:18:00,NSE,1935.0,1933.6,1933.6,ALKAMI,9
125,125,1932.5,2024-03-20 11:19:00,NSE,1934.95,1932.5,1934.8,ALKAMI,104
126,126,1934.45,2024-03-20 11:20:00,NSE,1934.45,1932.5,1932.5,ALKAMI,18
127,127,1935.1,2024-03-20 11:21:00,NSE,1935.1,1933.05,1934.45,ALKAMI,31
128,128,1935.0,2024-03-20 11:22:00,NSE,1935.1,1935.0,1935.1,ALKAMI,3
129,129,1933.65,2024-03-20 11:23:00,NSE,1935.0,1933.65,1935.0,ALKAMI,13
130,130,1934.5,2024-03-20 11:24:00,NSE,1934.55,1933.65,1933.65,ALKAMI,26
131,131,1934.45,2024-03-20 11:25:00,NSE,1934.55,1934.4,1934.55,ALKAMI,25
132,132,1933.0,2024-03-20 11:26:00,NSE,1934.45,1933.0,1934.45,ALKAMI,5
133,133,1933.0,2024-03-20 11:27:00,NSE,1933.0,1933.0,1933.0,ALKAMI,0
134,134,1934.4,2024-03-20 11:28:00,NSE,1934.4,1934.4,1934.4,ALKAMI,703
135,135,1934.5,2024-03-20 11:29:00,NSE,1935.1,1934.4,1934.4,ALKAMI,22
136,136,1935.1,2024-03-20 11:30:00,NSE,1935.1,1934.5,1934.5,ALKAMI,292
137,137,1934.8,2024-03-20 11:31:00,NSE,1935.1,1934.0,1935.1,ALKAMI,10
138,138,1934.8,2024-03-20 11:32:00,NSE,1934.8,1934.8,1934.8,ALKAMI,1
139,139,1933.0,2024-03-20 11:33:00,NSE,1935.1,1933.0,1934.8,ALKAMI,67
140,140,1934.8,2024-03-20 11:34:00,NSE,1934.8,1933.0,1933.0,ALKAMI,3
141,141,1934.1,2024-03-20 11:35:00,NSE,1934.95,1934.05,1934.65,ALKAMI,24
142,142,1935.1,2024-03-20 11:36:00,NSE,1935.1,1934.1,1934.1,ALKAMI,18
143,143,1935.1,2024-03-20 11:37:00,NSE,1935.1,1935.0,1935.1,ALKAMI,24
144,144,1935.1,2024-03-20 11:38:00,NSE,1935.1,1935.1,1935.1,ALKAMI,6
145,145,1935.1,2024-03-20 11:39:00,NSE,1935.1,1934.1,1935.1,ALKAMI,14
146,146,1935.95,2024-03-20 11:40:00,NSE,1935.95,1934.15,1935.1,ALKAMI,128
147,147,1935.5,2024-03-20 11:41:00,NSE,1935.95,1935.5,1935.95,ALKAMI,80
148,148,1935.5,2024-03-20 11:42:00,NSE,1935.5,1935.0,1935.5,ALKAMI,40
149,149,1935.0,2024-03-20 11:43:00,NSE,1935.5,1935.0,1935.5,ALKAMI,32
150,150,1935.0,2024-03-20 11:44:00,NSE,1935.95,1935.0,1935.0,ALKAMI,95
151,151,1935.0,2024-03-20 11:45:00,NSE,1935.95,1935.0,1935.0,ALKAMI,121
152,152,1935.25,2024-03-20 11:46:00,NSE,1935.25,1934.2,1935.0,ALKAMI,280
153,153,1935.5,2024-03-20 11:47:00,NSE,1935.5,1934.0,1935.25,ALKAMI,193
154,154,1935.75,2024-03-20 11:48:00,NSE,1935.75,1935.5,1935.5,ALKAMI,73
155,155,1936.0,2024-03-20 11:49:00,NSE,1936.0,1935.75,1935.75,ALKAMI,34
156,156,1936.0,2024-03-20 11:50:00,NSE,1936.0,1936.0,1936.0,ALKAMI,53
157,157,1936.0,2024-03-20 11:51:00,NSE,1937.6,1936.0,1936.0,ALKAMI,16
158,158,1936.0,2024-03-20 11:52:00,NSE,1936.0,1936.0,1936.0,ALKAMI,0
159,159,1937.85,2024-03-20 11:53:00,NSE,1937.85,1936.0,1936.0,ALKAMI,11
160,160,1937.0,2024-03-20 11:54:00,NSE,1938.6,1937.0,1937.85,ALKAMI,44
161,161,1938.6,2024-03-20 11:55:00,NSE,1938.6,1937.0,1937.0,ALKAMI,102
162,162,1938.55,2024-03-20 11:56:00,NSE,1938.6,1938.55,1938.6,ALKAMI,1
163,163,1935.05,2024-03-20 11:57:00,NSE,1938.55,1935.05,1938.55,ALKAMI,115
164,164,1937.05,2024-03-20 11:58:00,NSE,1937.05,1935.05,1935.05,ALKAMI,20
165,165,1936.0,2024-03-20 11:59:00,NSE,1937.05,1936.0,1937.05,ALKAMI,22
166,166,1935.0,2024-03-20 12:00:00,NSE,1937.65,1935.0,1936.0,ALKAMI,74
167,167,1936.55,2024-03-20 12:01:00,NSE,1938.25,1935.0,1935.0,ALKAMI,56
168,168,1936.5,2024-03-20 12:02:00,NSE,1936.55,1934.2,1936.55,ALKAMI,55
169,169,1937.0,2024-03-20 12:03:00,NSE,1937.0,1936.5,1936.5,ALKAMI,9
170,170,1937.7,2024-03-20 12:04:00,NSE,1937.8,1936.5,1937.0,ALKAMI,140
171,171,1937.95,2024-03-20 12:05:00,NSE,1937.95,1937.6,1937.7,ALKAMI,54
172,172,1937.65,2024-03-20 12:06:00,NSE,1937.95,1937.65,1937.95,ALKAMI,1
173,173,1936.0,2024-03-20 12:07:00,NSE,1937.65,1936.0,1937.65,ALKAMI,4
174,174,1936.5,2024-03-20 12:08:00,NSE,1937.6,1935.9,1936.0,ALKAMI,128
175,175,1938.85,2024-03-20 12:09:00,NSE,1938.85,1936.5,1936.5,ALKAMI,31
176,176,1937.65,2024-03-20 12:10:00,NSE,1938.85,1934.9,1938.85,ALKAMI,293
177,177,1937.0,2024-03-20 12:11:00,NSE,1937.95,1937.0,1937.95,ALKAMI,15
178,178,1936.85,2024-03-20 12:12:00,NSE,1937.15,1936.85,1937.0,ALKAMI,17
179,179,1936.85,2024-03-20 12:13:00,NSE,1936.85,1936.8,1936.85,ALKAMI,3
180,180,1934.0,2024-03-20 12:14:00,NSE,1937.65,1934.0,1936.85,ALKAMI,276
181,181,1934.8,2024-03-20 12:15:00,NSE,1934.8,1933.25,1934.0,ALKAMI,32
182,182,1934.0,2024-03-20 12:16:00,NSE,1936.05,1934.0,1934.8,ALKAMI,59
183,183,1934.0,2024-03-20 12:17:00,NSE,1934.0,1934.0,1934.0,ALKAMI,0
184,184,1937.55,2024-03-20 12:18:00,NSE,1937.55,1934.0,1934.0,ALKAMI,25
185,185,1938.95,2024-03-20 12:19:00,NSE,1938.95,1937.55,1937.55,ALKAMI,116
186,186,1938.5,2024-03-20 12:20:00,NSE,1938.95,1938.5,1938.95,ALKAMI,6
187,187,1939.0,2024-03-20 12:21:00,NSE,1939.15,1938.5,1938.5,ALKAMI,29
188,188,1939.1,2024-03-20 12:22:00,NSE,1939.1,1939.0,1939.0,ALKAMI,11
189,189,1939.95,2024-03-20 12:23:00,NSE,1939.95,1939.1,1939.1,ALKAMI,1
190,190,1939.0,2024-03-20 12:24:00,NSE,1939.95,1939.0,1939.95,ALKAMI,7
191,191,1940.0,2024-03-20 12:25:00,NSE,1940.0,1939.9,1939.9,ALKAMI,14
192,192,1937.9,2024-03-20 12:26:00,NSE,1940.0,1937.9,1940.0,ALKAMI,38
193,193,1941.0,2024-03-20 12:27:00,NSE,1941.0,1937.85,1937.9,ALKAMI,805
194,194,1939.7,2024-03-20 12:28:00,NSE,1940.9,1936.15,1940.9,ALKAMI,165
195,195,1939.0,2024-03-20 12:29:00,NSE,1939.7,1939.0,1939.7,ALKAMI,4
196,196,1936.0,2024-03-20 12:30:00,NSE,1938.6,1936.0,1938.6,ALKAMI,11
197,197,1938.45,2024-03-20 12:31:00,NSE,1938.45,1936.0,1936.0,ALKAMI,5
198,198,1935.95,2024-03-20 12:32:00,NSE,1938.45,1935.95,1938.45,ALKAMI,10
199,199,1936.0,2024-03-20 12:33:00,NSE,1936.45,1936.0,1936.0,ALKAMI,131
200,200,1936.45,2024-03-20 12:34:00,NSE,1936.45,1936.0,1936.0,ALKAMI,286
201,201,1936.05,2024-03-20 12:35:00,NSE,1938.1,1936.05,1936.45,ALKAMI,22
202,202,1936.0,2024-03-20 12:36:00,NSE,1936.05,1935.8,1936.05,ALKAMI,12
203,203,1935.05,2024-03-20 12:37:00,NSE,1936.0,1935.05,1936.0,ALKAMI,7
204,204,1936.0,2024-03-20 12:38:00,NSE,1936.0,1934.0,1935.05,ALKAMI,154
205,205,1936.0,2024-03-20 12:39:00,NSE,1936.0,1935.0,1936.0,ALKAMI,22
206,206,1934.2,2024-03-20 12:40:00,NSE,1936.0,1934.2,1936.0,ALKAMI,22
207,207,1936.0,2024-03-20 12:41:00,NSE,1936.0,1934.2,1934.2,ALKAMI,33
208,208,1936.0,2024-03-20 12:42:00,NSE,1936.0,1936.0,1936.0,ALKAMI,0
209,209,1935.1,2024-03-20 12:43:00,NSE,1936.0,1935.1,1936.0,ALKAMI,2
