,close,datetime,exchange_code,high,low,open,stock_code,volume
0,872.0,2024-03-11 09:07:00,NSE,872.0,872.0,872.0,AMARAJ,0
1,871.0,2024-03-11 09:15:00,NSE,873.95,871.0,872.8,AMARAJ,3598
2,870.35,2024-03-11 09:16:00,NSE,871.75,867.75,871.75,AMARAJ,3802
3,870.35,2024-03-11 09:17:00,NSE,871.5,870.1,870.45,AMARAJ,1581
4,865.8,2024-03-11 09:18:00,NSE,869.4,865.8,869.4,AMARAJ,2199
5,867.25,2024-03-11 09:19:00,NSE,868.5,866.45,866.85,AMARAJ,3003
6,867.5,2024-03-11 09:20:00,NSE,868.15,866.45,868.15,AMARAJ,1191
7,866.5,2024-03-11 09:21:00,NSE,867.45,866.5,867.2,AMARAJ,821
8,864.65,2024-03-11 09:22:00,NSE,866.75,864.15,866.75,AMARAJ,2281
9,866.9,2024-03-11 09:23:00,NSE,867.0,865.05,865.95,AMARAJ,764
10,867.0,2024-03-11 09:24:00,NSE,867.0,865.0,866.35,AMARAJ,904
11,864.65,2024-03-11 09:25:00,NSE,866.95,864.65,866.05,AMARAJ,559
12,867.1,2024-03-11 09:26:00,NSE,867.1,864.9,865.85,AMARAJ,711
13,869.0,2024-03-11 09:27:00,NSE,869.0,867.1,867.1,AMARAJ,1387
14,872.75,2024-03-11 09:28:00,NSE,872.75,868.25,868.25,AMARAJ,1930
15,874.05,2024-03-11 09:29:00,NSE,874.95,871.95,872.75,AMARAJ,9381
16,872.55,2024-03-11 09:30:00,NSE,874.0,870.45,874.0,AMARAJ,2352
17,874.5,2024-03-11 09:31:00,NSE,874.5,873.0,873.0,AMARAJ,1035
18,874.2,2024-03-11 09:32:00,NSE,874.2,873.15,873.65,AMARAJ,718
19,875.0,2024-03-11 09:33:00,NSE,876.15,874.2,874.2,AMARAJ,8209
20,875.0,2024-03-11 09:34:00,NSE,875.0,873.45,874.5,AMARAJ,929
21,873.5,2024-03-11 09:35:00,NSE,875.0,873.45,875.0,AMARAJ,1571
22,872.15,2024-03-11 09:36:00,NSE,874.7,872.15,873.45,AMARAJ,1827
23,875.25,2024-03-11 09:37:00,NSE,876.05,872.85,872.85,AMARAJ,1662
24,875.0,2024-03-11 09:38:00,NSE,875.65,874.55,875.2,AMARAJ,3383
25,874.05,2024-03-11 09:39:00,NSE,875.5,874.0,874.05,AMARAJ,713
26,876.25,2024-03-11 09:40:00,NSE,877.0,874.55,875.25,AMARAJ,1410
27,875.95,2024-03-11 09:41:00,NSE,877.0,875.8,876.45,AMARAJ,1062
28,883.45,2024-03-11 09:42:00,NSE,884.85,875.95,875.95,AMARAJ,22214
29,882.45,2024-03-11 09:43:00,NSE,883.9,880.85,883.0,AMARAJ,12257
30,883.3,2024-03-11 09:44:00,NSE,883.3,878.95,878.95,AMARAJ,15030
31,882.35,2024-03-11 09:45:00,NSE,883.25,882.35,883.25,AMARAJ,3352
32,883.95,2024-03-11 09:46:00,NSE,883.95,881.5,882.15,AMARAJ,4732
33,882.0,2024-03-11 09:47:00,NSE,884.35,881.85,883.95,AMARAJ,2254
34,880.9,2024-03-11 09:48:00,NSE,882.0,879.75,882.0,AMARAJ,2607
35,878.9,2024-03-11 09:49:00,NSE,880.85,878.9,880.85,AMARAJ,1733
36,877.5,2024-03-11 09:50:00,NSE,878.0,877.1,877.65,AMARAJ,2035
37,878.4,2024-03-11 09:51:00,NSE,880.0,877.6,877.6,AMARAJ,2045
38,880.4,2024-03-11 09:52:00,NSE,880.4,878.55,878.6,AMARAJ,2397
39,879.75,2024-03-11 09:53:00,NSE,880.7,879.65,880.1,AMARAJ,2199
40,877.8,2024-03-11 09:54:00,NSE,879.75,877.8,879.15,AMARAJ,1723
41,879.0,2024-03-11 09:55:00,NSE,879.0,877.3,877.3,AMARAJ,2051
42,880.2,2024-03-11 09:56:00,NSE,880.2,878.25,879.0,AMARAJ,4005
43,879.4,2024-03-11 09:57:00,NSE,881.6,879.4,880.2,AMARAJ,2501
44,880.3,2024-03-11 09:58:00,NSE,880.5,879.05,879.95,AMARAJ,1436
45,878.25,2024-03-11 09:59:00,NSE,879.7,878.25,879.7,AMARAJ,1594
46,877.25,2024-03-11 10:00:00,NSE,878.3,876.15,878.3,AMARAJ,2917
47,877.85,2024-03-11 10:01:00,NSE,878.5,877.0,877.85,AMARAJ,1485
48,878.5,2024-03-11 10:02:00,NSE,878.5,877.8,877.8,AMARAJ,1122
49,882.0,2024-03-11 10:03:00,NSE,882.0,878.5,878.5,AMARAJ,2463
50,881.55,2024-03-11 10:04:00,NSE,882.0,881.15,881.15,AMARAJ,2091
51,889.25,2024-03-11 10:05:00,NSE,889.9,881.55,881.55,AMARAJ,27287
52,889.0,2024-03-11 10:06:00,NSE,889.9,888.2,889.05,AMARAJ,5572
