,Unnamed: 0,close,datetime,exchange_code,high,low,open,stock_code,volume
0,0,2487.9,2024-03-20 09:07:00,NSE,2487.9,2487.9,2487.9,ANGBRO,0
1,1,2519.95,2024-03-20 09:15:00,NSE,2521.8,2496.15,2496.15,ANGBRO,3848
2,2,2515.05,2024-03-20 09:16:00,NSE,2517.55,2511.95,2517.05,ANGBRO,3270
3,3,2517.1,2024-03-20 09:17:00,NSE,2520.0,2515.0,2517.0,ANGBRO,1848
4,4,2536.8,2024-03-20 09:18:00,NSE,2539.2,2519.5,2519.5,ANGBRO,4339
5,5,2530.75,2024-03-20 09:19:00,NSE,2535.0,2522.85,2532.35,ANGBRO,2807
6,6,2525.35,2024-03-20 09:20:00,NSE,2535.0,2523.0,2530.8,ANGBRO,895
7,7,2521.75,2024-03-20 09:21:00,NSE,2525.35,2520.4,2523.1,ANGBRO,385
8,8,2525.2,2024-03-20 09:22:00,NSE,2525.2,2512.15,2520.0,ANGBRO,2735
9,9,2525.5,2024-03-20 09:23:00,NSE,2525.5,2521.5,2525.2,ANGBRO,529
10,10,2526.3,2024-03-20 09:24:00,NSE,2526.3,2522.4,2525.5,ANGBRO,1057
11,11,2533.2,2024-03-20 09:25:00,NSE,2533.2,2526.3,2526.3,ANGBRO,1383
12,12,2546.5,2024-03-20 09:26:00,NSE,2547.0,2533.25,2535.0,ANGBRO,2826
13,13,2550.8,2024-03-20 09:27:00,NSE,2556.8,2547.05,2549.8,ANGBRO,2548
14,14,2535.0,2024-03-20 09:28:00,NSE,2550.1,2535.0,2550.1,ANGBRO,3937
15,15,2528.35,2024-03-20 09:29:00,NSE,2534.95,2524.0,2533.3,ANGBRO,3694
16,16,2534.65,2024-03-20 09:30:00,NSE,2534.95,2526.75,2526.75,ANGBRO,583
17,17,2531.8,2024-03-20 09:31:00,NSE,2537.85,2531.8,2534.4,ANGBRO,1404
18,18,2525.0,2024-03-20 09:32:00,NSE,2538.05,2525.0,2534.05,ANGBRO,979
19,19,2528.75,2024-03-20 09:33:00,NSE,2529.05,2524.6,2527.5,ANGBRO,2267
20,20,2537.95,2024-03-20 09:34:00,NSE,2537.95,2528.55,2528.55,ANGBRO,801
21,21,2531.95,2024-03-20 09:35:00,NSE,2538.9,2531.95,2535.1,ANGBRO,910
22,22,2540.35,2024-03-20 09:36:00,NSE,2540.35,2529.7,2530.05,ANGBRO,1517
23,23,2543.0,2024-03-20 09:37:00,NSE,2545.45,2539.65,2542.4,ANGBRO,1078
24,24,2541.1,2024-03-20 09:38:00,NSE,2543.2,2540.9,2540.95,ANGBRO,895
25,25,2536.55,2024-03-20 09:39:00,NSE,2541.1,2536.55,2541.1,ANGBRO,809
26,26,2533.3,2024-03-20 09:40:00,NSE,2536.3,2531.9,2536.3,ANGBRO,641
27,27,2535.7,2024-03-20 09:41:00,NSE,2536.55,2533.2,2533.7,ANGBRO,591
28,28,2532.35,2024-03-20 09:42:00,NSE,2536.5,2532.35,2535.7,ANGBRO,220
29,29,2531.1,2024-03-20 09:43:00,NSE,2533.25,2530.0,2532.85,ANGBRO,267
30,30,2528.45,2024-03-20 09:44:00,NSE,2531.1,2527.45,2531.05,ANGBRO,947
31,31,2528.65,2024-03-20 09:45:00,NSE,2529.7,2525.0,2528.45,ANGBRO,799
32,32,2523.0,2024-03-20 09:46:00,NSE,2527.95,2523.0,2527.95,ANGBRO,337
33,33,2515.9,2024-03-20 09:47:00,NSE,2523.0,2514.45,2523.0,ANGBRO,2336
34,34,2521.4,2024-03-20 09:48:00,NSE,2523.0,2518.0,2518.0,ANGBRO,858
35,35,2524.4,2024-03-20 09:49:00,NSE,2528.2,2521.4,2521.4,ANGBRO,639
36,36,2537.8,2024-03-20 09:50:00,NSE,2537.8,2522.4,2524.4,ANGBRO,5012
37,37,2536.5,2024-03-20 09:51:00,NSE,2544.7,2534.2,2537.9,ANGBRO,2399
38,38,2533.3,2024-03-20 09:52:00,NSE,2536.8,2531.6,2536.5,ANGBRO,177
39,39,2534.3,2024-03-20 09:53:00,NSE,2534.3,2526.0,2533.3,ANGBRO,450
40,40,2527.4,2024-03-20 09:54:00,NSE,2534.3,2525.8,2534.3,ANGBRO,243
41,41,2532.0,2024-03-20 09:55:00,NSE,2533.6,2527.05,2527.2,ANGBRO,844
42,42,2530.95,2024-03-20 09:56:00,NSE,2532.3,2527.15,2531.95,ANGBRO,372
43,43,2525.7,2024-03-20 09:57:00,NSE,2530.95,2525.7,2530.95,ANGBRO,192
44,44,2524.6,2024-03-20 09:58:00,NSE,2526.7,2522.55,2526.1,ANGBRO,764
45,45,2517.4,2024-03-20 09:59:00,NSE,2524.4,2514.05,2524.4,ANGBRO,1348
46,46,2517.5,2024-03-20 10:00:00,NSE,2523.3,2517.0,2517.0,ANGBRO,304
47,47,2513.5,2024-03-20 10:01:00,NSE,2518.0,2513.45,2516.7,ANGBRO,929
48,48,2519.8,2024-03-20 10:02:00,NSE,2519.8,2513.5,2514.75,ANGBRO,1720
49,49,2519.8,2024-03-20 10:03:00,NSE,2523.35,2519.05,2519.3,ANGBRO,401
50,50,2516.0,2024-03-20 10:04:00,NSE,2520.2,2516.0,2518.8,ANGBRO,577
51,51,2523.4,2024-03-20 10:05:00,NSE,2525.0,2514.4,2514.95,ANGBRO,1063
52,52,2519.25,2024-03-20 10:06:00,NSE,2523.25,2519.25,2523.25,ANGBRO,376
53,53,2516.35,2024-03-20 10:07:00,NSE,2519.3,2516.15,2519.25,ANGBRO,277
54,54,2511.9,2024-03-20 10:08:00,NSE,2516.35,2511.9,2516.35,ANGBRO,752
55,55,2503.0,2024-03-20 10:09:00,NSE,2513.5,2501.2,2511.5,ANGBRO,2491
56,56,2508.15,2024-03-20 10:10:00,NSE,2508.55,2501.0,2503.0,ANGBRO,2356
57,57,2501.15,2024-03-20 10:11:00,NSE,2508.15,2501.15,2506.95,ANGBRO,1067
58,58,2503.05,2024-03-20 10:12:00,NSE,2505.4,2501.0,2505.4,ANGBRO,431
59,59,2502.6,2024-03-20 10:13:00,NSE,2503.65,2500.5,2503.05,ANGBRO,770
60,60,2500.85,2024-03-20 10:14:00,NSE,2503.0,2500.55,2501.0,ANGBRO,747
61,61,2503.4,2024-03-20 10:15:00,NSE,2505.0,2498.95,2501.85,ANGBRO,2011
62,62,2495.15,2024-03-20 10:16:00,NSE,2500.0,2494.35,2500.0,ANGBRO,1125
63,63,2502.0,2024-03-20 10:17:00,NSE,2503.3,2496.0,2496.0,ANGBRO,343
64,64,2498.7,2024-03-20 10:18:00,NSE,2502.05,2496.0,2502.05,ANGBRO,1430
65,65,2502.8,2024-03-20 10:19:00,NSE,2503.0,2498.3,2498.7,ANGBRO,412
66,66,2501.8,2024-03-20 10:20:00,NSE,2503.0,2500.0,2503.0,ANGBRO,472
67,67,2501.0,2024-03-20 10:21:00,NSE,2501.8,2500.3,2501.8,ANGBRO,188
68,68,2495.6,2024-03-20 10:22:00,NSE,2501.0,2495.6,2501.0,ANGBRO,629
69,69,2502.9,2024-03-20 10:23:00,NSE,2503.0,2495.55,2496.6,ANGBRO,810
70,70,2501.45,2024-03-20 10:24:00,NSE,2502.75,2501.0,2502.7,ANGBRO,314
71,71,2499.8,2024-03-20 10:25:00,NSE,2501.45,2497.65,2501.45,ANGBRO,378
72,72,2500.35,2024-03-20 10:26:00,NSE,2502.35,2500.05,2502.35,ANGBRO,87
73,73,2504.55,2024-03-20 10:27:00,NSE,2506.95,2502.5,2502.5,ANGBRO,2373
74,74,2506.45,2024-03-20 10:28:00,NSE,2506.7,2503.9,2504.55,ANGBRO,1027
75,75,2501.2,2024-03-20 10:29:00,NSE,2506.45,2501.2,2506.45,ANGBRO,440
