,Unnamed: 0,close,datetime,exchange_code,high,low,open,stock_code,volume
0,0,6059.0,2024-03-07 09:07:00,NSE,6059.0,6059.0,6059.0,APAIND,0
1,1,6011.45,2024-03-07 09:15:00,NSE,6058.85,6011.45,6058.85,APAIND,825
2,2,6030.15,2024-03-07 09:16:00,NSE,6046.6,6019.3,6019.3,APAIND,477
3,3,6052.65,2024-03-07 09:17:00,NSE,6057.95,6028.8,6033.0,APAIND,451
4,4,6008.0,2024-03-07 09:18:00,NSE,6052.0,6008.0,6051.95,APAIND,646
5,5,6002.5,2024-03-07 09:19:00,NSE,6025.85,5997.05,6008.9,APAIND,865
6,6,6021.35,2024-03-07 09:20:00,NSE,6021.35,6000.05,6004.95,APAIND,608
7,7,6011.15,2024-03-07 09:21:00,NSE,6021.9,6010.15,6021.35,APAIND,358
8,8,6017.8,2024-03-07 09:22:00,NSE,6017.8,6005.0,6011.15,APAIND,107
9,9,6029.75,2024-03-07 09:23:00,NSE,6035.6,6025.5,6025.5,APAIND,250
10,10,6043.85,2024-03-07 09:24:00,NSE,6044.3,6035.0,6035.0,APAIND,211
11,11,6048.0,2024-03-07 09:25:00,NSE,6048.0,6033.55,6038.25,APAIND,475
12,12,6042.35,2024-03-07 09:26:00,NSE,6050.0,6040.85,6048.0,APAIND,279
13,13,6024.65,2024-03-07 09:27:00,NSE,6045.35,6005.0,6042.35,APAIND,1284
14,14,6037.85,2024-03-07 09:28:00,NSE,6037.85,6024.65,6024.65,APAIND,234
15,15,6038.6,2024-03-07 09:29:00,NSE,6042.95,6033.3,6036.1,APAIND,139
16,16,6045.9,2024-03-07 09:30:00,NSE,6046.9,6042.6,6046.9,APAIND,78
17,17,6055.9,2024-03-07 09:31:00,NSE,6060.0,6040.35,6040.35,APAIND,1003
18,18,6049.05,2024-03-07 09:32:00,NSE,6059.95,6047.65,6059.0,APAIND,120
19,19,6052.95,2024-03-07 09:33:00,NSE,6059.0,6045.0,6049.05,APAIND,152
20,20,6065.0,2024-03-07 09:34:00,NSE,6065.0,6053.75,6057.5,APAIND,83
21,21,6082.45,2024-03-07 09:35:00,NSE,6088.8,6058.1,6065.0,APAIND,744
22,22,6086.45,2024-03-07 09:36:00,NSE,6093.9,6085.05,6085.05,APAIND,758
23,23,6093.9,2024-03-07 09:37:00,NSE,6093.9,6084.0,6085.05,APAIND,244
24,24,6101.65,2024-03-07 09:38:00,NSE,6108.95,6091.3,6091.3,APAIND,526
25,25,6104.0,2024-03-07 09:39:00,NSE,6104.95,6102.0,6104.95,APAIND,66
26,26,6090.75,2024-03-07 09:40:00,NSE,6104.8,6088.55,6104.8,APAIND,224
27,27,6090.0,2024-03-07 09:41:00,NSE,6093.85,6086.2,6090.75,APAIND,165
28,28,6089.35,2024-03-07 09:42:00,NSE,6090.0,6082.5,6090.0,APAIND,218
29,29,6097.7,2024-03-07 09:43:00,NSE,6099.95,6083.45,6083.45,APAIND,362
30,30,6110.75,2024-03-07 09:44:00,NSE,6115.0,6097.7,6097.7,APAIND,155
31,31,6110.2,2024-03-07 09:45:00,NSE,6116.35,6109.35,6112.5,APAIND,462
32,32,6099.95,2024-03-07 09:46:00,NSE,6108.0,6099.95,6108.0,APAIND,92
33,33,6112.35,2024-03-07 09:47:00,NSE,6112.35,6099.95,6099.95,APAIND,100
34,34,6120.0,2024-03-07 09:48:00,NSE,6120.0,6108.55,6113.25,APAIND,147
35,35,6125.0,2024-03-07 09:49:00,NSE,6125.0,6122.0,6122.0,APAIND,93
