,Unnamed: 0,close,datetime,exchange_code,high,low,open,stock_code,volume
0,0,552.9,2024-02-12 09:07:00,NSE,552.9,552.9,552.9,ASAIND,0
1,1,550.05,2024-02-12 09:15:00,NSE,553.25,550.05,552.0,ASAIND,1990
2,2,549.0,2024-02-12 09:16:00,NSE,550.0,548.4,549.1,ASAIND,1043
3,3,547.35,2024-02-12 09:17:00,NSE,549.1,547.35,549.1,ASAIND,204
4,4,549.05,2024-02-12 09:18:00,NSE,549.8,548.0,548.0,ASAIND,188
5,5,552.0,2024-02-12 09:19:00,NSE,552.0,549.05,549.05,ASAIND,510
6,6,550.5,2024-02-12 09:20:00,NSE,550.9,550.5,550.85,ASAIND,386
7,7,550.3,2024-02-12 09:21:00,NSE,551.2,550.3,550.5,ASAIND,62
8,8,550.0,2024-02-12 09:22:00,NSE,550.45,550.0,550.3,ASAIND,129
9,9,549.2,2024-02-12 09:23:00,NSE,550.0,548.3,550.0,ASAIND,168
10,10,549.1,2024-02-12 09:24:00,NSE,549.6,548.85,549.2,ASAIND,334
11,11,548.25,2024-02-12 09:25:00,NSE,549.1,548.15,549.1,ASAIND,66
12,12,548.6,2024-02-12 09:26:00,NSE,548.65,548.0,548.25,ASAIND,42
13,13,548.3,2024-02-12 09:27:00,NSE,548.6,548.3,548.6,ASAIND,22
14,14,549.15,2024-02-12 09:28:00,NSE,549.15,547.9,548.3,ASAIND,766
15,15,550.2,2024-02-12 09:29:00,NSE,550.2,548.4,548.4,ASAIND,57
16,16,549.65,2024-02-12 09:30:00,NSE,550.2,549.65,550.2,ASAIND,230
17,17,549.65,2024-02-12 09:31:00,NSE,549.65,549.65,549.65,ASAIND,0
18,18,548.45,2024-02-12 09:32:00,NSE,549.65,548.45,549.65,ASAIND,169
19,19,548.45,2024-02-12 09:33:00,NSE,548.45,548.45,548.45,ASAIND,0
20,20,547.75,2024-02-12 09:34:00,NSE,548.0,547.75,548.0,ASAIND,133
21,21,548.7,2024-02-12 09:35:00,NSE,548.95,548.7,548.95,ASAIND,162
22,22,548.45,2024-02-12 09:36:00,NSE,548.7,548.45,548.7,ASAIND,8
23,23,547.3,2024-02-12 09:37:00,NSE,548.5,547.3,548.45,ASAIND,123
24,24,546.65,2024-02-12 09:38:00,NSE,547.3,546.65,547.3,ASAIND,270
25,25,545.9,2024-02-12 09:39:00,NSE,546.65,545.9,546.65,ASAIND,199
26,26,543.2,2024-02-12 09:40:00,NSE,545.9,543.2,545.9,ASAIND,1765
27,27,544.55,2024-02-12 09:41:00,NSE,544.55,542.75,543.05,ASAIND,1176
28,28,542.5,2024-02-12 09:42:00,NSE,544.55,542.5,544.55,ASAIND,285
29,29,542.3,2024-02-12 09:43:00,NSE,543.05,542.3,542.4,ASAIND,129
30,30,542.15,2024-02-12 09:44:00,NSE,542.3,542.1,542.3,ASAIND,2075
31,31,542.3,2024-02-12 09:45:00,NSE,542.3,542.15,542.15,ASAIND,100
32,32,541.45,2024-02-12 09:46:00,NSE,542.3,541.45,542.3,ASAIND,2
33,33,541.8,2024-02-12 09:47:00,NSE,542.0,541.2,542.0,ASAIND,56
34,34,542.65,2024-02-12 09:48:00,NSE,542.65,541.8,541.8,ASAIND,274
35,35,542.25,2024-02-12 09:49:00,NSE,543.0,541.25,541.25,ASAIND,704
36,36,544.5,2024-02-12 09:50:00,NSE,544.5,542.65,542.85,ASAIND,763
37,37,546.2,2024-02-12 09:51:00,NSE,546.4,544.9,544.9,ASAIND,409
38,38,547.15,2024-02-12 09:52:00,NSE,547.35,545.35,546.3,ASAIND,387
39,39,547.7,2024-02-12 09:53:00,NSE,547.7,547.05,547.15,ASAIND,452
40,40,548.1,2024-02-12 09:54:00,NSE,548.1,547.7,547.7,ASAIND,106
41,41,546.15,2024-02-12 09:55:00,NSE,547.95,546.05,547.95,ASAIND,574
42,42,546.3,2024-02-12 09:56:00,NSE,546.3,545.2,546.15,ASAIND,53
43,43,546.55,2024-02-12 09:57:00,NSE,547.25,546.35,546.35,ASAIND,152
44,44,545.7,2024-02-12 09:58:00,NSE,546.6,545.7,546.6,ASAIND,360
45,45,545.0,2024-02-12 09:59:00,NSE,545.7,545.0,545.7,ASAIND,144
46,46,543.95,2024-02-12 10:00:00,NSE,545.0,543.95,545.0,ASAIND,40
47,47,542.85,2024-02-12 10:01:00,NSE,543.95,542.85,543.95,ASAIND,14
48,48,543.2,2024-02-12 10:02:00,NSE,543.2,542.85,542.85,ASAIND,140
49,49,542.4,2024-02-12 10:03:00,NSE,544.2,542.4,543.2,ASAIND,600
50,50,542.55,2024-02-12 10:04:00,NSE,542.55,542.4,542.4,ASAIND,27
51,51,542.75,2024-02-12 10:05:00,NSE,543.0,542.55,542.55,ASAIND,12
52,52,542.9,2024-02-12 10:06:00,NSE,542.9,542.25,542.65,ASAIND,22
53,53,541.75,2024-02-12 10:07:00,NSE,543.25,541.75,543.25,ASAIND,267
54,54,542.9,2024-02-12 10:08:00,NSE,542.9,541.75,541.75,ASAIND,602
55,55,540.2,2024-02-12 10:09:00,NSE,543.0,540.2,542.9,ASAIND,1734
56,56,540.05,2024-02-12 10:10:00,NSE,540.2,540.05,540.2,ASAIND,1049
57,57,540.2,2024-02-12 10:11:00,NSE,540.2,538.15,538.15,ASAIND,851
58,58,541.0,2024-02-12 10:12:00,NSE,541.0,540.5,540.5,ASAIND,57
59,59,541.85,2024-02-12 10:13:00,NSE,541.85,540.8,541.0,ASAIND,35
60,60,542.45,2024-02-12 10:14:00,NSE,542.45,541.7,541.7,ASAIND,226
61,61,541.85,2024-02-12 10:15:00,NSE,542.45,541.3,542.45,ASAIND,96
62,62,542.75,2024-02-12 10:16:00,NSE,542.75,541.85,541.85,ASAIND,125
63,63,543.55,2024-02-12 10:17:00,NSE,543.55,542.75,542.75,ASAIND,25
64,64,541.85,2024-02-12 10:18:00,NSE,542.85,541.65,542.85,ASAIND,354
65,65,542.5,2024-02-12 10:19:00,NSE,542.5,541.85,541.85,ASAIND,100
66,66,539.7,2024-02-12 10:20:00,NSE,542.5,539.7,542.5,ASAIND,2925
67,67,536.8,2024-02-12 10:21:00,NSE,539.7,536.8,539.7,ASAIND,560
68,68,536.9,2024-02-12 10:22:00,NSE,537.0,536.6,536.6,ASAIND,257
69,69,536.2,2024-02-12 10:23:00,NSE,536.65,536.2,536.65,ASAIND,542
70,70,536.55,2024-02-12 10:24:00,NSE,536.55,535.5,536.2,ASAIND,1523
71,71,536.65,2024-02-12 10:25:00,NSE,536.8,535.6,536.55,ASAIND,335
72,72,535.95,2024-02-12 10:26:00,NSE,536.65,535.95,536.65,ASAIND,29
73,73,532.9,2024-02-12 10:27:00,NSE,533.45,532.65,533.15,ASAIND,9971
74,74,534.9,2024-02-12 10:28:00,NSE,534.9,532.65,533.45,ASAIND,337
75,75,534.5,2024-02-12 10:29:00,NSE,534.9,534.5,534.9,ASAIND,68
76,76,533.45,2024-02-12 10:30:00,NSE,534.5,533.45,534.5,ASAIND,170
77,77,535.3,2024-02-12 10:31:00,NSE,535.3,533.55,534.45,ASAIND,531
78,78,535.0,2024-02-12 10:32:00,NSE,535.3,535.0,535.3,ASAIND,1
79,79,535.0,2024-02-12 10:33:00,NSE,535.0,534.25,535.0,ASAIND,163
80,80,534.65,2024-02-12 10:34:00,NSE,535.5,534.65,535.0,ASAIND,77
81,81,534.65,2024-02-12 10:35:00,NSE,534.65,534.65,534.65,ASAIND,0
82,82,535.65,2024-02-12 10:36:00,NSE,535.65,534.65,534.65,ASAIND,17
83,83,535.5,2024-02-12 10:37:00,NSE,535.8,534.8,535.5,ASAIND,88
84,84,535.0,2024-02-12 10:38:00,NSE,536.05,535.0,535.9,ASAIND,125
85,85,533.85,2024-02-12 10:39:00,NSE,535.0,533.05,535.0,ASAIND,4170
86,86,534.1,2024-02-12 10:40:00,NSE,534.45,533.6,534.25,ASAIND,63
87,87,533.6,2024-02-12 10:41:00,NSE,534.15,533.6,534.1,ASAIND,16
88,88,534.25,2024-02-12 10:42:00,NSE,534.25,533.6,533.6,ASAIND,5
89,89,534.15,2024-02-12 10:43:00,NSE,534.8,534.15,534.25,ASAIND,336
90,90,533.7,2024-02-12 10:44:00,NSE,534.15,533.7,534.15,ASAIND,1
91,91,533.7,2024-02-12 10:45:00,NSE,533.7,533.2,533.7,ASAIND,45
92,92,533.55,2024-02-12 10:46:00,NSE,534.4,532.55,533.0,ASAIND,653
93,93,533.1,2024-02-12 10:47:00,NSE,533.7,533.0,533.55,ASAIND,170
94,94,533.45,2024-02-12 10:48:00,NSE,533.45,533.1,533.1,ASAIND,100
95,95,532.3,2024-02-12 10:49:00,NSE,533.45,532.3,533.45,ASAIND,47
96,96,531.25,2024-02-12 10:50:00,NSE,532.3,531.25,532.3,ASAIND,42
97,97,530.9,2024-02-12 10:51:00,NSE,531.95,530.0,531.25,ASAIND,3208
98,98,531.0,2024-02-12 10:52:00,NSE,531.35,530.9,530.9,ASAIND,209
99,99,531.55,2024-02-12 10:53:00,NSE,531.55,530.95,531.0,ASAIND,131
100,100,532.25,2024-02-12 10:54:00,NSE,532.45,531.55,531.55,ASAIND,110
101,101,533.1,2024-02-12 10:55:00,NSE,533.1,532.8,532.8,ASAIND,697
102,102,533.4,2024-02-12 10:56:00,NSE,533.55,533.1,533.1,ASAIND,155
103,103,533.45,2024-02-12 10:57:00,NSE,533.45,533.25,533.4,ASAIND,632
104,104,533.05,2024-02-12 10:58:00,NSE,533.45,531.95,533.45,ASAIND,528
105,105,533.75,2024-02-12 10:59:00,NSE,533.75,533.05,533.05,ASAIND,14
106,106,534.25,2024-02-12 11:00:00,NSE,534.3,533.75,533.75,ASAIND,21
107,107,534.5,2024-02-12 11:01:00,NSE,534.5,534.25,534.25,ASAIND,12
108,108,535.0,2024-02-12 11:02:00,NSE,535.0,534.35,534.5,ASAIND,284
109,109,534.5,2024-02-12 11:03:00,NSE,535.0,534.25,535.0,ASAIND,49
110,110,534.45,2024-02-12 11:04:00,NSE,534.5,534.45,534.5,ASAIND,19
111,111,533.55,2024-02-12 11:05:00,NSE,533.9,533.55,533.9,ASAIND,72
112,112,533.55,2024-02-12 11:06:00,NSE,533.55,533.55,533.55,ASAIND,0
113,113,533.3,2024-02-12 11:07:00,NSE,533.3,533.3,533.3,ASAIND,25
114,114,533.65,2024-02-12 11:08:00,NSE,535.0,533.3,533.3,ASAIND,320
115,115,534.5,2024-02-12 11:09:00,NSE,534.5,533.6,533.65,ASAIND,104
116,116,533.95,2024-02-12 11:10:00,NSE,533.95,533.95,533.95,ASAIND,10
117,117,533.95,2024-02-12 11:11:00,NSE,534.1,533.95,533.95,ASAIND,5
118,118,534.45,2024-02-12 11:12:00,NSE,534.45,533.95,533.95,ASAIND,88
119,119,534.45,2024-02-12 11:13:00,NSE,534.45,534.45,534.45,ASAIND,0
