,close,datetime,exchange_code,high,low,open,stock_code,volume
0,571.05,2024-04-19 09:15:00,NSE,573.8,571.05,571.1,ASAIND,365
1,568.05,2024-04-19 09:16:00,NSE,570.0,568.05,569.55,ASAIND,262
2,570.0,2024-04-19 09:17:00,NSE,570.2,568.4,568.4,ASAIND,326
3,568.4,2024-04-19 09:18:00,NSE,569.1,568.4,569.1,ASAIND,882
4,567.0,2024-04-19 09:19:00,NSE,568.85,567.0,568.85,ASAIND,57
5,564.4,2024-04-19 09:20:00,NSE,567.0,564.4,566.1,ASAIND,1675
6,565.75,2024-04-19 09:21:00,NSE,565.75,562.8,565.15,ASAIND,1727
7,566.15,2024-04-19 09:22:00,NSE,566.65,566.05,566.65,ASAIND,195
8,567.75,2024-04-19 09:23:00,NSE,567.9,567.1,567.1,ASAIND,187
9,567.65,2024-04-19 09:24:00,NSE,567.65,567.65,567.65,ASAIND,5
10,570.4,2024-04-19 09:25:00,NSE,570.4,567.65,567.65,ASAIND,728
11,569.65,2024-04-19 09:26:00,NSE,570.55,569.55,569.55,ASAIND,23
12,570.75,2024-04-19 09:27:00,NSE,570.75,569.85,569.85,ASAIND,12
13,569.65,2024-04-19 09:28:00,NSE,569.65,569.65,569.65,ASAIND,1
14,569.6,2024-04-19 09:29:00,NSE,570.5,569.6,569.6,ASAIND,35
15,569.45,2024-04-19 09:30:00,NSE,570.0,569.45,569.6,ASAIND,44
16,569.85,2024-04-19 09:31:00,NSE,569.85,569.45,569.45,ASAIND,5
17,570.0,2024-04-19 09:32:00,NSE,570.0,569.1,569.85,ASAIND,138
18,568.65,2024-04-19 09:33:00,NSE,570.0,568.65,570.0,ASAIND,115
19,569.6,2024-04-19 09:34:00,NSE,569.6,568.65,568.65,ASAIND,2
20,568.9,2024-04-19 09:35:00,NSE,569.6,568.9,569.6,ASAIND,20
21,569.55,2024-04-19 09:36:00,NSE,569.55,568.9,568.9,ASAIND,100
22,569.55,2024-04-19 09:37:00,NSE,569.55,569.55,569.55,ASAIND,0
23,571.75,2024-04-19 09:38:00,NSE,571.75,569.55,569.55,ASAIND,309
