,Unnamed: 0,close,datetime,exchange_code,high,low,open,stock_code,volume
0,0,3808.2,2024-02-02 09:07:00,NSE,3808.2,3808.2,3808.2,AVESUP,0
1,1,3796.3,2024-02-02 09:15:00,NSE,3814.25,3796.3,3809.0,AVESUP,2024
2,2,3794.2,2024-02-02 09:16:00,NSE,3799.5,3787.9,3792.5,AVESUP,617
3,3,3789.15,2024-02-02 09:17:00,NSE,3795.0,3789.15,3794.15,AVESUP,816
4,4,3794.8,2024-02-02 09:18:00,NSE,3794.8,3786.0,3786.85,AVESUP,214
5,5,3803.55,2024-02-02 09:19:00,NSE,3803.55,3790.8,3790.8,AVESUP,1823
6,6,3805.65,2024-02-02 09:20:00,NSE,3814.45,3805.65,3808.2,AVESUP,1411
7,7,3806.8,2024-02-02 09:21:00,NSE,3809.4,3806.4,3808.35,AVESUP,1378
8,8,3810.0,2024-02-02 09:22:00,NSE,3810.0,3806.35,3806.35,AVESUP,356
9,9,3811.9,2024-02-02 09:23:00,NSE,3813.55,3808.55,3808.65,AVESUP,352
10,10,3811.0,2024-02-02 09:24:00,NSE,3811.0,3810.0,3810.0,AVESUP,442
11,11,3810.15,2024-02-02 09:25:00,NSE,3812.95,3809.7,3811.0,AVESUP,168
12,12,3809.2,2024-02-02 09:26:00,NSE,3810.95,3809.2,3810.0,AVESUP,443
13,13,3810.0,2024-02-02 09:27:00,NSE,3810.0,3809.2,3809.2,AVESUP,230
14,14,3808.0,2024-02-02 09:28:00,NSE,3810.0,3808.0,3810.0,AVESUP,533
15,15,3808.5,2024-02-02 09:29:00,NSE,3808.5,3807.2,3808.0,AVESUP,237
16,16,3806.05,2024-02-02 09:30:00,NSE,3807.2,3805.0,3807.2,AVESUP,1042
17,17,3808.2,2024-02-02 09:31:00,NSE,3808.3,3805.0,3806.05,AVESUP,157
18,18,3808.2,2024-02-02 09:32:00,NSE,3809.55,3806.25,3809.0,AVESUP,100
19,19,3812.0,2024-02-02 09:33:00,NSE,3812.0,3808.2,3808.2,AVESUP,212
20,20,3809.65,2024-02-02 09:34:00,NSE,3812.9,3808.2,3812.0,AVESUP,234
21,21,3809.05,2024-02-02 09:35:00,NSE,3810.8,3807.65,3807.65,AVESUP,294
22,22,3809.0,2024-02-02 09:36:00,NSE,3812.1,3809.0,3812.1,AVESUP,192
23,23,3809.4,2024-02-02 09:37:00,NSE,3810.95,3809.0,3809.05,AVESUP,275
24,24,3811.55,2024-02-02 09:38:00,NSE,3811.55,3808.35,3810.0,AVESUP,577
