,Unnamed: 0,close,datetime,exchange_code,high,low,open,stock_code,volume
0,0,5020.0,2024-05-30 09:07:00,NSE,5020.0,5020.0,5020.0,BAYIND,0
1,1,5066.0,2024-05-30 09:15:00,NSE,5066.0,5025.05,5025.05,BAYIND,373
2,2,5052.5,2024-05-30 09:16:00,NSE,5065.95,5049.0,5049.9,BAYIND,71
3,3,5063.45,2024-05-30 09:17:00,NSE,5064.0,5049.7,5052.5,BAYIND,33
4,4,5045.65,2024-05-30 09:18:00,NSE,5063.45,5042.5,5063.45,BAYIND,81
5,5,5041.05,2024-05-30 09:19:00,NSE,5044.75,5030.0,5036.25,BAYIND,117
6,6,5063.25,2024-05-30 09:20:00,NSE,5063.25,5043.4,5045.5,BAYIND,112
7,7,5056.0,2024-05-30 09:21:00,NSE,5063.25,5047.85,5063.25,BAYIND,72
8,8,5063.25,2024-05-30 09:22:00,NSE,5063.25,5053.3,5060.0,BAYIND,51
9,9,5083.5,2024-05-30 09:23:00,NSE,5083.5,5063.25,5063.25,BAYIND,517
10,10,5063.05,2024-05-30 09:24:00,NSE,5083.55,5063.05,5083.55,BAYIND,79
11,11,5057.3,2024-05-30 09:25:00,NSE,5076.6,5057.3,5076.6,BAYIND,297
12,12,5074.95,2024-05-30 09:26:00,NSE,5074.95,5057.3,5057.3,BAYIND,160
13,13,5074.35,2024-05-30 09:27:00,NSE,5075.0,5063.45,5074.95,BAYIND,60
14,14,5076.1,2024-05-30 09:28:00,NSE,5076.1,5074.9,5074.9,BAYIND,90
15,15,5056.3,2024-05-30 09:29:00,NSE,5067.45,5056.3,5059.15,BAYIND,130
16,16,5030.1,2024-05-30 09:30:00,NSE,5056.3,5030.1,5056.3,BAYIND,99
17,17,5037.9,2024-05-30 09:31:00,NSE,5047.0,5030.1,5030.1,BAYIND,27
18,18,5056.0,2024-05-30 09:32:00,NSE,5056.45,5047.35,5050.75,BAYIND,66
19,19,5048.0,2024-05-30 09:33:00,NSE,5048.0,5048.0,5048.0,BAYIND,5
20,20,5040.4,2024-05-30 09:34:00,NSE,5048.0,5040.4,5048.0,BAYIND,22
21,21,5039.0,2024-05-30 09:35:00,NSE,5048.9,5037.9,5048.2,BAYIND,262
22,22,5025.0,2024-05-30 09:36:00,NSE,5039.1,5025.0,5039.0,BAYIND,110
23,23,5014.2,2024-05-30 09:37:00,NSE,5026.9,5014.2,5020.15,BAYIND,268
24,24,5018.35,2024-05-30 09:38:00,NSE,5018.35,5010.0,5014.2,BAYIND,55
25,25,5024.7,2024-05-30 09:39:00,NSE,5032.65,5014.5,5014.5,BAYIND,84
26,26,5026.0,2024-05-30 09:40:00,NSE,5035.45,5026.0,5035.45,BAYIND,118
27,27,5030.0,2024-05-30 09:41:00,NSE,5030.0,5023.8,5023.8,BAYIND,7
28,28,5023.9,2024-05-30 09:42:00,NSE,5023.9,5023.9,5023.9,BAYIND,10
29,29,5030.0,2024-05-30 09:43:00,NSE,5030.0,5023.9,5023.9,BAYIND,30
30,30,5030.0,2024-05-30 09:44:00,NSE,5030.0,5030.0,5030.0,BAYIND,38
31,31,5030.0,2024-05-30 09:45:00,NSE,5030.0,5030.0,5030.0,BAYIND,5
32,32,5031.25,2024-05-30 09:46:00,NSE,5031.25,5031.25,5031.25,BAYIND,28
33,33,5030.0,2024-05-30 09:47:00,NSE,5031.25,5030.0,5031.25,BAYIND,38
34,34,5033.0,2024-05-30 09:48:00,NSE,5033.0,5030.0,5030.0,BAYIND,127
35,35,5033.0,2024-05-30 09:49:00,NSE,5033.0,5033.0,5033.0,BAYIND,1
36,36,5029.2,2024-05-30 09:50:00,NSE,5029.2,5023.75,5023.75,BAYIND,119
37,37,5010.0,2024-05-30 09:51:00,NSE,5029.25,5010.0,5029.2,BAYIND,417
38,38,5003.1,2024-05-30 09:52:00,NSE,5014.8,5002.9,5010.0,BAYIND,62
39,39,5003.1,2024-05-30 09:53:00,NSE,5003.1,5003.1,5003.1,BAYIND,0
40,40,5013.45,2024-05-30 09:54:00,NSE,5013.45,5003.1,5003.1,BAYIND,30
41,41,5008.0,2024-05-30 09:55:00,NSE,5014.85,5008.0,5014.85,BAYIND,37
42,42,5008.0,2024-05-30 09:56:00,NSE,5017.95,5008.0,5017.95,BAYIND,32
43,43,5008.0,2024-05-30 09:57:00,NSE,5008.0,5008.0,5008.0,BAYIND,0
44,44,5020.7,2024-05-30 09:58:00,NSE,5020.7,5013.0,5013.0,BAYIND,25
45,45,5024.0,2024-05-30 09:59:00,NSE,5024.0,5020.7,5020.7,BAYIND,11
46,46,5026.0,2024-05-30 10:00:00,NSE,5030.0,5024.0,5024.0,BAYIND,18
47,47,5030.0,2024-05-30 10:01:00,NSE,5030.0,5026.0,5026.0,BAYIND,1
48,48,5026.0,2024-05-30 10:02:00,NSE,5026.0,5026.0,5026.0,BAYIND,66
49,49,5028.55,2024-05-30 10:03:00,NSE,5028.55,5028.4,5028.4,BAYIND,7
50,50,5028.55,2024-05-30 10:04:00,NSE,5028.55,5028.55,5028.55,BAYIND,6
51,51,5030.0,2024-05-30 10:05:00,NSE,5030.0,5028.55,5028.55,BAYIND,30
52,52,5037.8,2024-05-30 10:06:00,NSE,5037.8,5020.1,5030.0,BAYIND,287
53,53,5037.8,2024-05-30 10:07:00,NSE,5037.8,5037.8,5037.8,BAYIND,25
54,54,5037.75,2024-05-30 10:08:00,NSE,5037.8,5037.75,5037.8,BAYIND,20
55,55,5037.8,2024-05-30 10:09:00,NSE,5037.8,5037.75,5037.75,BAYIND,14
56,56,5033.0,2024-05-30 10:10:00,NSE,5037.8,5033.0,5037.8,BAYIND,5
57,57,5028.15,2024-05-30 10:11:00,NSE,5037.8,5028.15,5033.0,BAYIND,105
58,58,5027.6,2024-05-30 10:12:00,NSE,5028.15,5027.6,5028.15,BAYIND,14
59,59,5037.8,2024-05-30 10:13:00,NSE,5037.8,5027.6,5027.6,BAYIND,11
60,60,5027.2,2024-05-30 10:14:00,NSE,5027.2,5027.2,5027.2,BAYIND,6
61,61,5026.6,2024-05-30 10:15:00,NSE,5036.95,5026.6,5027.2,BAYIND,9
62,62,5023.85,2024-05-30 10:16:00,NSE,5023.85,5023.85,5023.85,BAYIND,5
63,63,5023.85,2024-05-30 10:17:00,NSE,5023.85,5023.85,5023.85,BAYIND,0
64,64,5023.85,2024-05-30 10:18:00,NSE,5023.85,5023.85,5023.85,BAYIND,0
65,65,5027.4,2024-05-30 10:19:00,NSE,5036.3,5023.85,5023.85,BAYIND,28
66,66,5037.0,2024-05-30 10:20:00,NSE,5037.0,5027.4,5027.4,BAYIND,1
67,67,5037.0,2024-05-30 10:21:00,NSE,5037.0,5037.0,5037.0,BAYIND,0
68,68,5037.0,2024-05-30 10:22:00,NSE,5037.0,5037.0,5037.0,BAYIND,0
69,69,5048.0,2024-05-30 10:23:00,NSE,5048.0,5037.0,5037.0,BAYIND,32
70,70,5039.9,2024-05-30 10:24:00,NSE,5048.0,5039.9,5048.0,BAYIND,3
71,71,5048.0,2024-05-30 10:25:00,NSE,5048.0,5048.0,5048.0,BAYIND,10
72,72,5047.9,2024-05-30 10:26:00,NSE,5048.0,5041.3,5041.3,BAYIND,4
73,73,5041.1,2024-05-30 10:27:00,NSE,5042.9,5041.1,5042.9,BAYIND,6
74,74,5048.0,2024-05-30 10:28:00,NSE,5048.0,5041.1,5041.1,BAYIND,6
75,75,5044.0,2024-05-30 10:29:00,NSE,5044.0,5044.0,5044.0,BAYIND,1
76,76,5048.0,2024-05-30 10:30:00,NSE,5048.0,5044.0,5044.0,BAYIND,1
77,77,5044.1,2024-05-30 10:31:00,NSE,5048.0,5044.1,5048.0,BAYIND,3
78,78,5048.0,2024-05-30 10:32:00,NSE,5048.0,5044.1,5044.1,BAYIND,3
79,79,5041.7,2024-05-30 10:33:00,NSE,5048.0,5041.7,5048.0,BAYIND,9
80,80,5047.9,2024-05-30 10:34:00,NSE,5047.9,5041.7,5041.7,BAYIND,1
81,81,5047.9,2024-05-30 10:35:00,NSE,5047.9,5047.9,5047.9,BAYIND,0
82,82,5048.0,2024-05-30 10:36:00,NSE,5048.0,5046.0,5047.9,BAYIND,3
83,83,5048.0,2024-05-30 10:37:00,NSE,5048.0,5048.0,5048.0,BAYIND,7
84,84,5037.95,2024-05-30 10:38:00,NSE,5048.0,5037.95,5048.0,BAYIND,9
85,85,5041.4,2024-05-30 10:39:00,NSE,5041.4,5037.95,5037.95,BAYIND,2
86,86,5039.25,2024-05-30 10:40:00,NSE,5046.7,5039.25,5041.4,BAYIND,14
87,87,5047.35,2024-05-30 10:41:00,NSE,5047.35,5038.85,5038.85,BAYIND,4
88,88,5044.0,2024-05-30 10:42:00,NSE,5047.35,5044.0,5047.35,BAYIND,1
89,89,5045.8,2024-05-30 10:43:00,NSE,5046.8,5038.95,5044.0,BAYIND,7
