,close,datetime,exchange_code,high,low,open,stock_code,volume
0,302.1,2024-05-07 09:07:00,NSE,302.1,302.1,302.1,BIOCON,0
1,300.4,2024-05-07 09:15:00,NSE,302.05,300.05,302.05,BIOCON,80476
2,297.75,2024-05-07 09:16:00,NSE,300.1,297.45,300.1,BIOCON,122023
3,298.5,2024-05-07 09:17:00,NSE,298.8,297.8,297.8,BIOCON,34989
4,298.2,2024-05-07 09:18:00,NSE,298.9,298.2,298.75,BIOCON,18352
5,297.55,2024-05-07 09:19:00,NSE,298.15,297.4,298.0,BIOCON,34356
6,297.0,2024-05-07 09:20:00,NSE,297.75,297.0,297.75,BIOCON,40679
7,297.6,2024-05-07 09:21:00,NSE,297.65,296.75,297.15,BIOCON,94591
8,298.95,2024-05-07 09:22:00,NSE,298.95,297.35,297.6,BIOCON,47449
9,299.55,2024-05-07 09:23:00,NSE,299.7,298.7,298.7,BIOCON,79239
10,300.0,2024-05-07 09:24:00,NSE,300.35,299.6,299.6,BIOCON,73877
11,300.2,2024-05-07 09:25:00,NSE,300.3,299.8,300.25,BIOCON,42628
12,299.4,2024-05-07 09:26:00,NSE,300.15,299.05,300.15,BIOCON,18509
13,300.2,2024-05-07 09:27:00,NSE,300.25,299.3,299.3,BIOCON,9993
14,300.45,2024-05-07 09:28:00,NSE,300.45,299.65,300.25,BIOCON,9602
15,300.8,2024-05-07 09:29:00,NSE,300.8,300.3,300.5,BIOCON,16647
16,300.75,2024-05-07 09:30:00,NSE,301.0,300.65,300.8,BIOCON,46432
17,301.3,2024-05-07 09:31:00,NSE,301.7,300.75,300.75,BIOCON,36807
18,300.9,2024-05-07 09:32:00,NSE,301.25,300.9,301.0,BIOCON,29621
19,301.15,2024-05-07 09:33:00,NSE,301.45,300.95,301.0,BIOCON,9296
20,301.75,2024-05-07 09:34:00,NSE,301.8,301.0,301.0,BIOCON,27548
21,301.65,2024-05-07 09:35:00,NSE,301.8,301.35,301.75,BIOCON,15538
22,301.5,2024-05-07 09:36:00,NSE,301.7,301.5,301.55,BIOCON,43729
23,301.5,2024-05-07 09:37:00,NSE,301.65,301.35,301.65,BIOCON,12914
24,301.55,2024-05-07 09:38:00,NSE,301.8,301.5,301.5,BIOCON,26396
25,301.8,2024-05-07 09:39:00,NSE,301.8,301.6,301.6,BIOCON,14423
26,301.75,2024-05-07 09:40:00,NSE,301.95,301.65,301.65,BIOCON,17085
27,301.3,2024-05-07 09:41:00,NSE,301.8,301.15,301.8,BIOCON,25616
28,300.95,2024-05-07 09:42:00,NSE,301.65,300.95,301.45,BIOCON,8350
29,300.8,2024-05-07 09:43:00,NSE,301.0,300.75,301.0,BIOCON,8304
30,299.5,2024-05-07 09:44:00,NSE,300.55,299.2,300.55,BIOCON,47119
31,299.5,2024-05-07 09:45:00,NSE,299.7,299.5,299.7,BIOCON,11880
32,300.25,2024-05-07 09:46:00,NSE,300.65,299.55,299.65,BIOCON,50430
33,300.0,2024-05-07 09:47:00,NSE,300.25,299.75,300.15,BIOCON,9194
34,300.45,2024-05-07 09:48:00,NSE,300.45,300.0,300.0,BIOCON,12981
35,301.0,2024-05-07 09:49:00,NSE,301.0,300.4,300.6,BIOCON,23086
36,302.5,2024-05-07 09:50:00,NSE,302.5,301.0,301.15,BIOCON,28879
37,303.25,2024-05-07 09:51:00,NSE,303.3,302.35,302.35,BIOCON,70069
38,304.0,2024-05-07 09:52:00,NSE,304.4,303.4,303.45,BIOCON,108281
39,304.4,2024-05-07 09:53:00,NSE,304.6,304.2,304.2,BIOCON,68813
40,305.7,2024-05-07 09:54:00,NSE,305.7,304.2,304.4,BIOCON,144257
41,306.2,2024-05-07 09:55:00,NSE,306.2,305.2,305.45,BIOCON,114220
42,307.65,2024-05-07 09:56:00,NSE,307.65,306.4,306.4,BIOCON,232220
43,307.35,2024-05-07 09:57:00,NSE,307.9,307.35,307.8,BIOCON,178794
44,306.95,2024-05-07 09:58:00,NSE,307.45,306.75,307.45,BIOCON,127766
45,306.7,2024-05-07 09:59:00,NSE,307.0,306.05,307.0,BIOCON,64959
46,305.1,2024-05-07 10:00:00,NSE,306.7,305.1,306.5,BIOCON,59001
47,304.3,2024-05-07 10:01:00,NSE,305.15,304.3,305.15,BIOCON,71169
48,303.7,2024-05-07 10:02:00,NSE,304.15,303.6,304.1,BIOCON,48513
49,303.65,2024-05-07 10:03:00,NSE,304.1,303.65,303.9,BIOCON,40763
50,303.45,2024-05-07 10:04:00,NSE,303.7,303.25,303.3,BIOCON,20768
51,302.4,2024-05-07 10:05:00,NSE,303.4,302.4,303.25,BIOCON,88871
52,303.05,2024-05-07 10:06:00,NSE,303.05,302.65,302.65,BIOCON,46246
53,303.75,2024-05-07 10:07:00,NSE,303.75,303.0,303.0,BIOCON,41031
54,303.25,2024-05-07 10:08:00,NSE,303.8,303.2,303.6,BIOCON,27425
55,304.15,2024-05-07 10:09:00,NSE,304.85,303.3,303.35,BIOCON,52427
56,303.9,2024-05-07 10:10:00,NSE,304.7,303.75,304.45,BIOCON,99403
57,303.6,2024-05-07 10:11:00,NSE,303.75,303.25,303.5,BIOCON,16237
58,303.6,2024-05-07 10:12:00,NSE,303.85,303.5,303.6,BIOCON,12718
59,303.7,2024-05-07 10:13:00,NSE,303.9,303.55,303.7,BIOCON,15759
60,302.6,2024-05-07 10:14:00,NSE,303.8,302.6,303.55,BIOCON,27234
61,302.8,2024-05-07 10:15:00,NSE,302.8,302.25,302.6,BIOCON,12251
62,302.75,2024-05-07 10:16:00,NSE,302.8,302.5,302.8,BIOCON,4782
63,302.0,2024-05-07 10:17:00,NSE,302.75,302.0,302.75,BIOCON,29855
64,302.1,2024-05-07 10:18:00,NSE,302.3,302.05,302.25,BIOCON,18053
65,301.1,2024-05-07 10:19:00,NSE,302.05,301.0,302.05,BIOCON,65463
66,301.3,2024-05-07 10:20:00,NSE,301.3,301.1,301.1,BIOCON,21451
67,300.6,2024-05-07 10:21:00,NSE,301.3,300.6,301.3,BIOCON,33342
68,301.3,2024-05-07 10:22:00,NSE,301.5,300.4,300.7,BIOCON,37406
69,301.65,2024-05-07 10:23:00,NSE,301.8,301.1,301.1,BIOCON,10824
70,301.65,2024-05-07 10:24:00,NSE,301.8,301.6,301.8,BIOCON,10675
71,301.65,2024-05-07 10:25:00,NSE,301.8,301.6,301.7,BIOCON,12815
72,301.7,2024-05-07 10:26:00,NSE,301.95,301.5,301.65,BIOCON,10213
73,301.95,2024-05-07 10:27:00,NSE,301.95,301.7,301.8,BIOCON,7247
74,301.6,2024-05-07 10:28:00,NSE,301.95,301.6,301.8,BIOCON,16531
75,301.5,2024-05-07 10:29:00,NSE,301.6,301.3,301.6,BIOCON,11112
76,301.6,2024-05-07 10:30:00,NSE,301.85,301.5,301.5,BIOCON,13622
