,Unnamed: 0,close,datetime,exchange_code,high,low,open,stock_code,volume
0,0,5942.8,2024-03-06 09:07:00,NSE,5942.8,5942.8,5942.8,BLUDAR,0
1,1,5939.8,2024-03-06 09:15:00,NSE,5959.0,5939.8,5958.95,BLUDAR,147
2,2,5948.0,2024-03-06 09:16:00,NSE,5948.95,5946.9,5948.95,BLUDAR,17
3,3,5933.0,2024-03-06 09:17:00,NSE,5950.55,5933.0,5948.0,BLUDAR,36
4,4,5939.1,2024-03-06 09:18:00,NSE,5939.1,5933.0,5933.0,BLUDAR,1
5,5,5933.05,2024-03-06 09:19:00,NSE,5933.05,5933.05,5933.05,BLUDAR,1
6,6,5933.05,2024-03-06 09:20:00,NSE,5933.05,5933.05,5933.05,BLUDAR,0
7,7,5944.0,2024-03-06 09:21:00,NSE,5944.0,5939.35,5939.35,BLUDAR,20
8,8,5944.0,2024-03-06 09:22:00,NSE,5944.0,5944.0,5944.0,BLUDAR,0
9,9,5951.0,2024-03-06 09:23:00,NSE,5951.0,5944.0,5944.0,BLUDAR,2
10,10,5950.0,2024-03-06 09:24:00,NSE,5952.6,5950.0,5951.0,BLUDAR,10
11,11,5955.0,2024-03-06 09:25:00,NSE,5955.0,5950.0,5950.0,BLUDAR,15
12,12,5940.0,2024-03-06 09:26:00,NSE,5955.0,5940.0,5955.0,BLUDAR,11
13,13,5935.0,2024-03-06 09:27:00,NSE,5940.0,5935.0,5940.0,BLUDAR,8
14,14,5948.0,2024-03-06 09:28:00,NSE,5948.0,5935.0,5935.0,BLUDAR,26
15,15,5948.0,2024-03-06 09:29:00,NSE,5948.0,5948.0,5948.0,BLUDAR,0
16,16,5940.0,2024-03-06 09:30:00,NSE,5948.0,5940.0,5948.0,BLUDAR,2
17,17,5940.0,2024-03-06 09:31:00,NSE,5940.0,5940.0,5940.0,BLUDAR,3
18,18,5940.0,2024-03-06 09:32:00,NSE,5940.0,5940.0,5940.0,BLUDAR,0
19,19,5940.0,2024-03-06 09:33:00,NSE,5944.95,5940.0,5940.0,BLUDAR,18
20,20,5934.35,2024-03-06 09:34:00,NSE,5940.0,5934.35,5940.0,BLUDAR,45
21,21,5934.35,2024-03-06 09:35:00,NSE,5938.3,5934.35,5934.35,BLUDAR,3
22,22,5925.0,2024-03-06 09:36:00,NSE,5934.35,5913.75,5934.35,BLUDAR,176
23,23,5927.35,2024-03-06 09:37:00,NSE,5927.35,5925.0,5925.0,BLUDAR,13
24,24,5932.9,2024-03-06 09:38:00,NSE,5932.9,5928.75,5928.75,BLUDAR,4
25,25,5929.3,2024-03-06 09:39:00,NSE,5932.9,5929.3,5932.9,BLUDAR,2
26,26,5933.3,2024-03-06 09:40:00,NSE,5933.3,5933.3,5933.3,BLUDAR,6
27,27,5944.7,2024-03-06 09:41:00,NSE,5944.7,5933.1,5933.3,BLUDAR,127
28,28,5944.7,2024-03-06 09:42:00,NSE,5944.7,5944.7,5944.7,BLUDAR,0
29,29,5937.3,2024-03-06 09:43:00,NSE,5944.7,5937.3,5944.7,BLUDAR,1
30,30,5937.3,2024-03-06 09:44:00,NSE,5937.3,5937.3,5937.3,BLUDAR,0
31,31,5944.7,2024-03-06 09:45:00,NSE,5944.7,5937.3,5937.3,BLUDAR,2
32,32,5948.5,2024-03-06 09:46:00,NSE,5948.5,5944.7,5944.7,BLUDAR,4
