,Unnamed: 0,close,datetime,exchange_code,high,low,open,stock_code,volume
0,0,1270.0,2024-03-15 09:07:00,NSE,1270.0,1270.0,1270.0,BLUSTA,0
1,1,1280.45,2024-03-15 09:15:00,NSE,1280.45,1267.45,1270.0,BLUSTA,966
2,2,1276.5,2024-03-15 09:16:00,NSE,1282.9,1276.5,1282.45,BLUSTA,908
3,3,1278.5,2024-03-15 09:17:00,NSE,1279.55,1277.3,1279.5,BLUSTA,185
4,4,1278.5,2024-03-15 09:18:00,NSE,1278.65,1276.45,1278.5,BLUSTA,282
5,5,1280.0,2024-03-15 09:19:00,NSE,1280.0,1277.7,1279.55,BLUSTA,1906
6,6,1276.45,2024-03-15 09:20:00,NSE,1280.0,1275.0,1280.0,BLUSTA,661
7,7,1278.2,2024-03-15 09:21:00,NSE,1278.2,1275.2,1276.45,BLUSTA,162
8,8,1284.1,2024-03-15 09:22:00,NSE,1284.1,1278.2,1278.2,BLUSTA,888
9,9,1287.35,2024-03-15 09:23:00,NSE,1288.55,1284.15,1284.15,BLUSTA,736
10,10,1282.15,2024-03-15 09:24:00,NSE,1288.0,1282.15,1288.0,BLUSTA,2660
11,11,1278.85,2024-03-15 09:25:00,NSE,1281.05,1276.05,1281.05,BLUSTA,3055
12,12,1274.3,2024-03-15 09:26:00,NSE,1275.5,1273.05,1275.5,BLUSTA,685
13,13,1272.5,2024-03-15 09:27:00,NSE,1275.25,1272.5,1272.5,BLUSTA,1204
14,14,1268.95,2024-03-15 09:28:00,NSE,1272.5,1268.95,1272.5,BLUSTA,1146
15,15,1264.9,2024-03-15 09:29:00,NSE,1268.6,1264.9,1268.6,BLUSTA,679
16,16,1266.95,2024-03-15 09:30:00,NSE,1268.85,1263.0,1264.0,BLUSTA,524
17,17,1270.2,2024-03-15 09:31:00,NSE,1270.5,1266.95,1269.9,BLUSTA,2082
18,18,1267.55,2024-03-15 09:32:00,NSE,1270.2,1266.55,1270.2,BLUSTA,435
19,19,1264.0,2024-03-15 09:33:00,NSE,1267.55,1264.0,1265.15,BLUSTA,782
20,20,1264.95,2024-03-15 09:34:00,NSE,1265.3,1263.4,1264.0,BLUSTA,456
21,21,1265.35,2024-03-15 09:35:00,NSE,1267.35,1264.05,1265.25,BLUSTA,60
22,22,1267.3,2024-03-15 09:36:00,NSE,1268.4,1265.5,1268.4,BLUSTA,157
23,23,1266.0,2024-03-15 09:37:00,NSE,1267.3,1264.45,1267.3,BLUSTA,838
24,24,1271.25,2024-03-15 09:38:00,NSE,1271.25,1266.0,1266.0,BLUSTA,224
25,25,1269.2,2024-03-15 09:39:00,NSE,1271.25,1268.55,1271.25,BLUSTA,80
26,26,1269.45,2024-03-15 09:40:00,NSE,1269.45,1267.85,1269.2,BLUSTA,82
27,27,1272.75,2024-03-15 09:41:00,NSE,1272.75,1269.45,1269.45,BLUSTA,336
28,28,1270.6,2024-03-15 09:42:00,NSE,1272.75,1269.3,1272.75,BLUSTA,242
29,29,1266.55,2024-03-15 09:43:00,NSE,1273.5,1265.45,1272.0,BLUSTA,1684
30,30,1268.55,2024-03-15 09:44:00,NSE,1268.55,1266.8,1267.85,BLUSTA,206
31,31,1270.0,2024-03-15 09:45:00,NSE,1270.0,1267.85,1269.1,BLUSTA,525
32,32,1273.35,2024-03-15 09:46:00,NSE,1273.45,1270.0,1270.0,BLUSTA,289
33,33,1273.4,2024-03-15 09:47:00,NSE,1273.4,1271.75,1273.3,BLUSTA,24
34,34,1270.15,2024-03-15 09:48:00,NSE,1273.4,1270.0,1273.4,BLUSTA,560
35,35,1269.95,2024-03-15 09:49:00,NSE,1270.2,1268.15,1270.15,BLUSTA,487
36,36,1270.5,2024-03-15 09:50:00,NSE,1270.5,1266.3,1269.95,BLUSTA,833
37,37,1268.45,2024-03-15 09:51:00,NSE,1270.5,1266.5,1270.5,BLUSTA,122
38,38,1268.05,2024-03-15 09:52:00,NSE,1268.45,1266.4,1268.45,BLUSTA,18
39,39,1268.0,2024-03-15 09:53:00,NSE,1268.0,1266.7,1266.8,BLUSTA,119
40,40,1267.95,2024-03-15 09:54:00,NSE,1268.0,1267.95,1268.0,BLUSTA,3
41,41,1266.75,2024-03-15 09:55:00,NSE,1268.0,1266.65,1267.95,BLUSTA,98
42,42,1266.3,2024-03-15 09:56:00,NSE,1267.7,1266.3,1267.7,BLUSTA,340
43,43,1265.85,2024-03-15 09:57:00,NSE,1266.5,1264.0,1266.5,BLUSTA,902
44,44,1265.45,2024-03-15 09:58:00,NSE,1265.85,1264.05,1265.85,BLUSTA,16
45,45,1263.0,2024-03-15 09:59:00,NSE,1265.45,1262.6,1265.45,BLUSTA,274
46,46,1262.85,2024-03-15 10:00:00,NSE,1264.25,1262.85,1263.0,BLUSTA,5
47,47,1266.75,2024-03-15 10:01:00,NSE,1267.5,1262.85,1262.85,BLUSTA,705
48,48,1267.7,2024-03-15 10:02:00,NSE,1269.0,1265.3,1266.75,BLUSTA,279
49,49,1267.7,2024-03-15 10:03:00,NSE,1267.7,1267.7,1267.7,BLUSTA,0
50,50,1271.6,2024-03-15 10:04:00,NSE,1271.6,1269.0,1269.0,BLUSTA,275
51,51,1270.1,2024-03-15 10:05:00,NSE,1272.95,1270.05,1272.85,BLUSTA,443
52,52,1270.15,2024-03-15 10:06:00,NSE,1270.15,1270.1,1270.1,BLUSTA,4
53,53,1270.25,2024-03-15 10:07:00,NSE,1271.75,1270.25,1270.25,BLUSTA,52
54,54,1270.0,2024-03-15 10:08:00,NSE,1271.65,1270.0,1270.25,BLUSTA,169
55,55,1272.6,2024-03-15 10:09:00,NSE,1272.6,1267.85,1270.0,BLUSTA,144
56,56,1270.45,2024-03-15 10:10:00,NSE,1272.6,1270.45,1272.6,BLUSTA,52
57,57,1271.85,2024-03-15 10:11:00,NSE,1271.85,1270.1,1270.45,BLUSTA,76
58,58,1270.05,2024-03-15 10:12:00,NSE,1271.85,1270.05,1271.85,BLUSTA,140
59,59,1270.2,2024-03-15 10:13:00,NSE,1271.75,1270.2,1271.75,BLUSTA,24
60,60,1272.55,2024-03-15 10:14:00,NSE,1272.55,1270.2,1270.2,BLUSTA,370
61,61,1272.3,2024-03-15 10:15:00,NSE,1272.3,1271.05,1271.05,BLUSTA,191
62,62,1271.1,2024-03-15 10:16:00,NSE,1272.3,1271.1,1272.3,BLUSTA,12
63,63,1272.55,2024-03-15 10:17:00,NSE,1272.55,1271.1,1271.1,BLUSTA,75
64,64,1272.45,2024-03-15 10:18:00,NSE,1272.55,1272.45,1272.55,BLUSTA,45
65,65,1272.5,2024-03-15 10:19:00,NSE,1272.5,1272.45,1272.45,BLUSTA,7
66,66,1265.25,2024-03-15 10:20:00,NSE,1274.05,1265.2,1274.05,BLUSTA,1508
67,67,1267.2,2024-03-15 10:21:00,NSE,1267.2,1265.25,1265.25,BLUSTA,31
68,68,1269.95,2024-03-15 10:22:00,NSE,1269.95,1267.2,1267.2,BLUSTA,344
69,69,1269.25,2024-03-15 10:23:00,NSE,1273.95,1268.45,1269.95,BLUSTA,771
70,70,1270.65,2024-03-15 10:24:00,NSE,1270.8,1269.2,1269.25,BLUSTA,180
71,71,1272.15,2024-03-15 10:25:00,NSE,1273.25,1270.65,1270.65,BLUSTA,56
72,72,1270.0,2024-03-15 10:26:00,NSE,1272.15,1270.0,1272.15,BLUSTA,15
