,exchange_code,product_type,stock_code,expiry_date,right,strike_price,ltp,ltt,best_bid_price,best_bid_quantity,best_offer_price,best_offer_quantity,open,high,low,previous_close,ltp_percent_change,upper_circuit,lower_circuit,total_quantity_traded,spot_price,ltq,open_interest,chnge_oi,total_buy_qty,total_sell_qty,rel_50,price_per_lot
0,NFO,Options,NIFTY,2023-12-07,Call,19800.0,352.7,29-Nov-2023 12:52:05,352.1,50,352.75,300,275.0,361.85,269.0,253.45,39.16,719.25,0.05,981100,20039.15,50,930050.0,-53050.0,57000,38200,5.0,17635.0
1,NFO,Options,NIFTY,2023-12-07,Call,19850.0,309.75,29-Nov-2023 12:51:46,309.65,550,310.55,400,253.85,318.75,234.3,217.75,42.25,660.8,0.05,483100,20039.15,50,239800.0,-80700.0,39400,22850,4.0,15487.5
2,NFO,Options,NIFTY,2023-12-07,Call,19900.0,271.0,29-Nov-2023 12:52:12,271.15,400,271.75,50,210.0,279.9,200.0,184.35,47.0,602.0,0.05,2953100,20039.15,100,1330650.0,-366700.0,90350,63750,3.0,13550.0
3,NFO,Options,NIFTY,2023-12-07,Call,19950.0,235.05,29-Nov-2023 12:52:10,234.45,50,235.15,1400,179.75,243.45,167.8,153.3,53.33,541.85,0.05,1716750,20039.15,50,315100.0,85450.0,62850,43050,2.0,11752.5
4,NFO,Options,NIFTY,2023-12-07,Call,20000.0,200.0,29-Nov-2023 12:52:07,200.0,3500,200.3,250,150.55,208.65,120.0,125.15,59.81,483.65,0.05,9187200,20039.15,100,1979200.0,583900.0,227800,212850,1.0,10000.0
5,NFO,Options,NIFTY,2023-12-07,Call,20050.0,167.65,29-Nov-2023 12:52:10,167.4,1550,167.8,150,127.75,174.9,107.95,98.15,70.81,426.55,0.05,2315600,20039.15,100,357800.0,105950.0,219800,72800,0.0,8382.5
6,NFO,Options,NIFTY,2023-12-07,Call,20100.0,137.9,29-Nov-2023 12:52:11,137.65,100,137.9,350,103.6,144.5,72.35,77.5,77.94,376.1,0.05,6040900,20039.15,200,1253900.0,256200.0,113050,137250,1.0,6895.0
7,NFO,Options,NIFTY,2023-12-07,Call,20150.0,110.9,29-Nov-2023 12:52:07,110.9,800,111.05,1150,78.35,116.8,65.0,58.9,88.29,328.35,0.05,2312400,20039.15,50,443500.0,78000.0,92900,76250,2.0,5545.0
8,NFO,Options,NIFTY,2023-12-07,Call,20200.0,87.55,29-Nov-2023 12:52:13,87.55,1050,87.75,100,64.7,92.8,51.0,44.3,97.63,285.55,0.05,6434900,20039.15,50,1519950.0,238100.0,151300,123800,3.0,4377.5
9,NFO,Options,NIFTY,2023-12-07,Call,20250.0,67.75,29-Nov-2023 12:52:10,67.55,1350,67.75,250,45.05,72.0,36.8,31.0,118.55,245.3,0.05,2164100,20039.15,50,447100.0,99950.0,118400,64300,4.0,3387.5
10,NFO,Options,NIFTY,2023-12-07,Call,20300.0,51.35,29-Nov-2023 12:52:10,51.35,950,51.45,100,27.65,55.15,26.4,22.1,132.35,210.95,0.05,4227500,20039.15,50,916050.0,204750.0,148450,109800,5.0,2567.5
