datetime,close,exchange_code,high,low,open,stock_code,volume
2020-05-12 09:30:00,607.35,NSE,607.4,606.55,606.55,CORINT,4
2020-05-12 09:31:00,606.85,NSE,607.25,606.5,607.25,CORINT,209
2020-05-12 09:32:00,607.05,NSE,607.15,606.85,606.85,CORINT,635
2020-05-12 09:33:00,606.75,NSE,609.25,606.75,607.4,CORINT,335
2020-05-12 09:34:00,605.5,NSE,606.95,605.5,606.95,CORINT,529
2020-05-12 09:35:00,606.0,NSE,606.3,605.5,605.5,CORINT,529
2020-05-12 09:36:00,606.0,NSE,607.2,606.0,606.3,CORINT,1542
2020-05-12 09:37:00,605.55,NSE,605.75,605.55,605.75,CORINT,15
2020-05-12 09:38:00,604.25,NSE,605.0,603.6,605.0,CORINT,1455
2020-05-12 09:39:00,604.3,NSE,604.3,604.25,604.25,CORINT,25
2020-05-12 09:40:00,604.4,NSE,604.75,604.4,604.75,CORINT,40
2020-05-12 09:41:00,604.4,NSE,604.4,604.3,604.3,CORINT,343
2020-05-12 09:42:00,605.0,NSE,605.6,604.4,604.7,CORINT,422
2020-05-12 09:43:00,605.1,NSE,605.1,605.1,605.1,CORINT,4
2020-05-12 09:44:00,605.3,NSE,605.45,605.3,605.45,CORINT,216
2020-05-12 09:45:00,605.15,NSE,605.55,605.15,605.55,CORINT,118
2020-05-12 09:46:00,602.15,NSE,604.9,601.15,604.9,CORINT,1501
2020-05-12 09:47:00,602.75,NSE,602.85,602.0,602.15,CORINT,506
2020-05-12 09:48:00,601.75,NSE,602.9,601.75,602.85,CORINT,213
2020-05-12 09:49:00,601.5,NSE,602.75,601.15,602.75,CORINT,808
2020-05-12 09:50:00,602.5,NSE,602.75,601.8,602.35,CORINT,405
2020-05-12 09:51:00,601.95,NSE,602.65,601.6,602.5,CORINT,651
2020-05-12 09:52:00,600.55,NSE,601.9,600.55,601.35,CORINT,1370
2020-05-12 09:53:00,600.6,NSE,600.9,600.55,600.8,CORINT,46
2020-05-12 09:54:00,600.55,NSE,600.6,600.55,600.55,CORINT,322
2020-05-12 09:55:00,601.05,NSE,601.05,600.55,600.6,CORINT,215
2020-05-12 09:56:00,602.6,NSE,602.6,601.05,601.05,CORINT,54
