,datetime,close,exchange_code,high,low,open,stock_code,volume
0,2023-11-15 09:30:00,280.3,NSE,280.3,280.15,280.15,CROGR,8627
1,2023-11-15 09:31:00,280.2,NSE,280.3,280.2,280.3,CROGR,2804
2,2023-11-15 09:32:00,280.45,NSE,280.45,280.2,280.3,CROGR,4732
3,2023-11-15 09:33:00,280.2,NSE,280.5,280.2,280.45,CROGR,23244
4,2023-11-15 09:34:00,280.25,NSE,280.4,280.2,280.2,CROGR,2607
5,2023-11-15 09:35:00,280.3,NSE,280.3,280.25,280.25,CROGR,3129
6,2023-11-15 09:36:00,280.3,NSE,280.35,280.25,280.35,CROGR,827
7,2023-11-15 09:37:00,280.4,NSE,280.4,280.25,280.3,CROGR,1465
8,2023-11-15 09:38:00,280.45,NSE,280.45,280.3,280.4,CROGR,506
9,2023-11-15 09:39:00,280.5,NSE,280.55,280.35,280.4,CROGR,1621
10,2023-11-15 09:40:00,280.35,NSE,280.55,280.35,280.45,CROGR,489
11,2023-11-15 09:41:00,280.15,NSE,280.5,280.15,280.35,CROGR,150263
12,2023-11-15 09:42:00,279.8,NSE,280.0,279.55,280.0,CROGR,61027
13,2023-11-15 09:43:00,279.85,NSE,280.0,279.75,279.8,CROGR,59633
14,2023-11-15 09:44:00,279.85,NSE,279.85,279.55,279.75,CROGR,4968
15,2023-11-15 09:45:00,279.7,NSE,279.85,279.55,279.85,CROGR,1160
16,2023-11-15 09:46:00,279.95,NSE,280.15,279.6,279.7,CROGR,7715
17,2023-11-15 09:47:00,280.2,NSE,280.2,279.95,279.95,CROGR,1164
18,2023-11-15 09:48:00,280.0,NSE,280.2,280.0,280.2,CROGR,430
19,2023-11-15 09:49:00,280.05,NSE,280.15,280.0,280.0,CROGR,415
20,2023-11-15 09:50:00,280.1,NSE,280.1,280.0,280.05,CROGR,1490
21,2023-11-15 09:51:00,279.6,NSE,280.15,279.6,280.1,CROGR,9001
22,2023-11-15 09:52:00,279.9,NSE,279.9,279.6,279.6,CROGR,7397
23,2023-11-15 09:53:00,279.75,NSE,280.0,279.55,279.8,CROGR,11509
24,2023-11-15 09:54:00,281.0,NSE,281.05,279.55,279.75,CROGR,1020046
25,2023-11-15 09:55:00,280.9,NSE,281.0,280.65,281.0,CROGR,12324
26,2023-11-15 09:56:00,281.7,NSE,281.95,280.85,280.85,CROGR,24366
27,2023-11-15 09:57:00,281.55,NSE,281.8,281.4,281.65,CROGR,3780
28,2023-11-15 09:58:00,282.75,NSE,282.9,281.3,281.3,CROGR,18386
29,2023-11-15 09:59:00,282.45,NSE,282.75,282.35,282.75,CROGR,7254
30,2023-11-15 10:00:00,282.55,NSE,282.75,282.3,282.45,CROGR,10391
31,2023-11-15 10:01:00,282.75,NSE,282.75,282.45,282.55,CROGR,2182
32,2023-11-15 10:02:00,282.4,NSE,282.75,282.4,282.75,CROGR,5215
33,2023-11-15 10:03:00,282.7,NSE,282.85,282.55,282.55,CROGR,5589
34,2023-11-15 10:04:00,282.75,NSE,282.75,282.45,282.55,CROGR,3161
35,2023-11-15 10:05:00,282.5,NSE,282.7,282.45,282.6,CROGR,1049
36,2023-11-15 10:06:00,282.5,NSE,282.6,282.5,282.5,CROGR,897
37,2023-11-15 10:07:00,282.1,NSE,282.6,282.1,282.5,CROGR,5321
38,2023-11-15 10:08:00,282.15,NSE,282.3,282.0,282.1,CROGR,5054
39,2023-11-15 10:09:00,282.6,NSE,282.6,282.15,282.15,CROGR,5279
40,2023-11-15 10:10:00,282.95,NSE,283.0,282.4,282.4,CROGR,11181
41,2023-11-15 10:11:00,282.8,NSE,282.95,282.55,282.95,CROGR,2696
42,2023-11-15 10:12:00,282.55,NSE,282.75,282.55,282.55,CROGR,2919
43,2023-11-15 10:13:00,282.75,NSE,282.75,282.5,282.55,CROGR,13847
44,2023-11-15 10:14:00,282.8,NSE,282.95,282.75,282.95,CROGR,4663
45,2023-11-15 10:15:00,282.75,NSE,282.9,282.55,282.6,CROGR,7283
46,2023-11-15 10:16:00,282.7,NSE,283.15,282.5,282.55,CROGR,22230
47,2023-11-15 10:17:00,282.7,NSE,282.9,282.7,282.7,CROGR,1403
48,2023-11-15 10:18:00,282.95,NSE,283.2,282.7,282.75,CROGR,22325
49,2023-11-15 10:19:00,282.9,NSE,283.0,282.75,283.0,CROGR,741
50,2023-11-15 10:20:00,282.85,NSE,282.9,282.7,282.75,CROGR,1478
51,2023-11-15 10:21:00,282.75,NSE,283.1,282.75,282.75,CROGR,1381
52,2023-11-15 10:22:00,282.7,NSE,282.95,282.7,282.75,CROGR,3720
53,2023-11-15 10:23:00,282.15,NSE,282.75,282.0,282.75,CROGR,11339
54,2023-11-15 10:24:00,282.2,NSE,282.2,282.0,282.1,CROGR,1356
55,2023-11-15 10:25:00,282.25,NSE,282.4,282.05,282.2,CROGR,1252
56,2023-11-15 10:26:00,282.2,NSE,282.3,282.15,282.25,CROGR,395
57,2023-11-15 10:27:00,282.25,NSE,282.4,282.05,282.2,CROGR,2861
58,2023-11-15 10:28:00,282.15,NSE,282.25,282.15,282.15,CROGR,755
59,2023-11-15 10:29:00,281.95,NSE,282.2,281.65,282.2,CROGR,11841
60,2023-11-15 10:30:00,282.0,NSE,282.1,281.8,281.8,CROGR,2189
61,2023-11-15 10:31:00,282.05,NSE,282.05,281.9,281.9,CROGR,612
62,2023-11-15 10:32:00,282.15,NSE,282.2,282.0,282.05,CROGR,1166
63,2023-11-15 10:33:00,282.1,NSE,282.5,282.0,282.0,CROGR,6965
64,2023-11-15 10:34:00,281.8,NSE,282.1,281.75,282.1,CROGR,8792
65,2023-11-15 10:35:00,281.65,NSE,281.85,281.5,281.8,CROGR,1791
