datetime,close,exchange_code,high,low,open,stock_code,volume
2023-04-27 09:30:00,578.1,NSE,578.9,578.1,578.55,GNFC,16742
2023-04-27 09:31:00,579.45,NSE,579.45,578.3,578.3,GNFC,28740
2023-04-27 09:32:00,578.5,NSE,579.45,578.5,579.45,GNFC,13139
2023-04-27 09:33:00,578.55,NSE,578.95,578.25,578.65,GNFC,6521
2023-04-27 09:34:00,580.5,NSE,580.5,578.7,578.95,GNFC,21065
2023-04-27 09:35:00,581.55,NSE,581.55,580.55,580.95,GNFC,27796
2023-04-27 09:36:00,581.15,NSE,581.85,580.9,581.65,GNFC,19713
2023-04-27 09:37:00,582.0,NSE,582.65,581.25,581.5,GNFC,28505
2023-04-27 09:38:00,582.25,NSE,582.5,581.75,581.85,GNFC,18741
2023-04-27 09:39:00,582.0,NSE,582.4,581.8,582.4,GNFC,9109
2023-04-27 09:40:00,581.6,NSE,582.0,581.55,581.65,GNFC,9520
2023-04-27 09:41:00,582.25,NSE,582.5,581.7,582.25,GNFC,6611
2023-04-27 09:42:00,582.8,NSE,582.95,582.05,582.05,GNFC,13917
2023-04-27 09:43:00,581.8,NSE,582.9,581.8,582.9,GNFC,21137
2023-04-27 09:44:00,582.25,NSE,582.35,581.5,582.0,GNFC,6663
2023-04-27 09:45:00,582.8,NSE,582.8,581.55,582.25,GNFC,15386
2023-04-27 09:46:00,582.65,NSE,582.9,582.5,582.85,GNFC,6783
2023-04-27 09:47:00,582.75,NSE,582.85,582.2,582.2,GNFC,7359
2023-04-27 09:48:00,581.8,NSE,582.55,581.6,582.55,GNFC,5377
2023-04-27 09:49:00,581.8,NSE,582.0,581.6,581.8,GNFC,8617
2023-04-27 09:50:00,581.0,NSE,581.7,581.0,581.7,GNFC,6537
2023-04-27 09:51:00,581.1,NSE,581.45,581.0,581.0,GNFC,4673
2023-04-27 09:52:00,580.7,NSE,581.15,580.4,581.0,GNFC,13126
2023-04-27 09:53:00,580.4,NSE,580.9,580.4,580.65,GNFC,2659
2023-04-27 09:54:00,580.3,NSE,580.4,579.55,580.4,GNFC,6946
2023-04-27 09:55:00,579.6,NSE,580.2,579.4,580.15,GNFC,7360
2023-04-27 09:56:00,579.8,NSE,580.0,579.5,579.6,GNFC,5620
2023-04-27 09:57:00,579.55,NSE,579.9,579.55,579.55,GNFC,4901
2023-04-27 09:58:00,579.9,NSE,580.0,579.65,579.95,GNFC,3552
2023-04-27 09:59:00,580.1,NSE,580.4,579.65,579.7,GNFC,3733
2023-04-27 10:00:00,580.15,NSE,580.65,580.1,580.1,GNFC,4680
2023-04-27 10:01:00,580.25,NSE,580.85,580.25,580.5,GNFC,3583
2023-04-27 10:02:00,580.25,NSE,580.75,580.25,580.3,GNFC,6498
2023-04-27 10:03:00,579.65,NSE,580.15,579.65,580.1,GNFC,5096
2023-04-27 10:04:00,579.0,NSE,580.1,579.0,579.7,GNFC,13985
2023-04-27 10:05:00,578.7,NSE,579.0,578.55,578.7,GNFC,46874
2023-04-27 10:06:00,577.3,NSE,578.6,577.2,578.6,GNFC,49159
2023-04-27 10:07:00,577.2,NSE,578.3,577.2,577.25,GNFC,15549
2023-04-27 10:08:00,577.4,NSE,577.5,577.1,577.5,GNFC,8912
2023-04-27 10:09:00,577.9,NSE,578.0,577.2,577.2,GNFC,16370
2023-04-27 10:10:00,578.2,NSE,578.25,577.6,577.8,GNFC,9298
2023-04-27 10:11:00,578.8,NSE,578.8,577.8,578.2,GNFC,4083
2023-04-27 10:12:00,578.25,NSE,578.9,578.25,578.8,GNFC,890
2023-04-27 10:13:00,578.8,NSE,578.8,578.15,578.25,GNFC,1376
2023-04-27 10:14:00,578.1,NSE,578.85,578.05,578.8,GNFC,2605
2023-04-27 10:15:00,578.3,NSE,578.85,578.1,578.1,GNFC,3866
