datetime,close,exchange_code,high,low,open,stock_code,volume
2023-03-27 09:30:00,419.7,NSE,420.2,419.6,419.9,ICIPRU,5318
2023-03-27 09:31:00,420.1,NSE,420.1,419.75,419.9,ICIPRU,4219
2023-03-27 09:32:00,419.7,NSE,420.5,419.7,420.25,ICIPRU,5867
2023-03-27 09:33:00,419.15,NSE,420.0,419.15,419.9,ICIPRU,6231
2023-03-27 09:34:00,419.5,NSE,419.65,419.15,419.15,ICIPRU,1465
2023-03-27 09:35:00,419.15,NSE,419.3,418.55,419.3,ICIPRU,5274
2023-03-27 09:36:00,419.0,NSE,419.35,418.75,419.15,ICIPRU,2011
2023-03-27 09:37:00,419.15,NSE,419.4,418.75,419.25,ICIPRU,1792
2023-03-27 09:38:00,419.65,NSE,419.65,419.0,419.15,ICIPRU,2718
2023-03-27 09:39:00,419.5,NSE,419.8,419.35,419.35,ICIPRU,1637
2023-03-27 09:40:00,419.45,NSE,419.7,419.25,419.7,ICIPRU,4605
2023-03-27 09:41:00,419.25,NSE,419.5,418.95,419.5,ICIPRU,14614
2023-03-27 09:42:00,419.2,NSE,419.7,419.2,419.2,ICIPRU,2025
2023-03-27 09:43:00,419.55,NSE,419.6,418.7,419.6,ICIPRU,4224
2023-03-27 09:44:00,419.45,NSE,419.8,418.65,419.2,ICIPRU,7334
2023-03-27 09:45:00,418.35,NSE,419.55,418.3,419.45,ICIPRU,1271
2023-03-27 09:46:00,418.8,NSE,418.9,418.4,418.75,ICIPRU,1722
2023-03-27 09:47:00,419.75,NSE,419.8,418.8,418.8,ICIPRU,1902
2023-03-27 09:48:00,419.95,NSE,419.95,419.3,419.75,ICIPRU,2881
2023-03-27 09:49:00,420.45,NSE,420.45,419.7,420.0,ICIPRU,5584
2023-03-27 09:50:00,420.75,NSE,420.8,420.45,420.45,ICIPRU,2522
2023-03-27 09:51:00,420.85,NSE,421.35,420.5,421.35,ICIPRU,9532
2023-03-27 09:52:00,420.0,NSE,420.85,419.75,420.85,ICIPRU,2004
2023-03-27 09:53:00,420.1,NSE,420.2,420.0,420.0,ICIPRU,1176
2023-03-27 09:54:00,420.15,NSE,420.4,420.0,420.1,ICIPRU,3403
2023-03-27 09:55:00,420.0,NSE,420.15,419.8,420.15,ICIPRU,2040
2023-03-27 09:56:00,420.0,NSE,420.1,419.8,420.0,ICIPRU,1721
2023-03-27 09:57:00,420.0,NSE,420.0,419.8,420.0,ICIPRU,1273
2023-03-27 09:58:00,419.95,NSE,420.0,419.8,420.0,ICIPRU,1197
2023-03-27 09:59:00,420.35,NSE,420.35,419.8,419.95,ICIPRU,2872
2023-03-27 10:00:00,420.55,NSE,421.2,420.35,420.35,ICIPRU,7381
2023-03-27 10:01:00,420.7,NSE,420.85,420.55,420.55,ICIPRU,1504
2023-03-27 10:02:00,420.6,NSE,420.7,420.6,420.7,ICIPRU,822
2023-03-27 10:03:00,419.85,NSE,420.6,419.65,420.6,ICIPRU,709
2023-03-27 10:04:00,419.7,NSE,419.85,419.55,419.85,ICIPRU,1066
2023-03-27 10:05:00,419.95,NSE,419.95,419.65,419.95,ICIPRU,729
2023-03-27 10:06:00,420.1,NSE,420.25,419.95,419.95,ICIPRU,1082
2023-03-27 10:07:00,419.75,NSE,420.15,419.75,420.1,ICIPRU,725
2023-03-27 10:08:00,419.65,NSE,420.0,419.5,419.6,ICIPRU,1526
2023-03-27 10:09:00,420.0,NSE,420.1,419.5,419.65,ICIPRU,785
2023-03-27 10:10:00,420.1,NSE,420.1,419.65,420.0,ICIPRU,754
2023-03-27 10:11:00,419.9,NSE,420.15,419.85,420.1,ICIPRU,461
2023-03-27 10:12:00,419.8,NSE,420.0,419.55,419.9,ICIPRU,2475
2023-03-27 10:13:00,419.9,NSE,419.9,419.6,419.8,ICIPRU,597
2023-03-27 10:14:00,419.9,NSE,419.9,419.6,419.9,ICIPRU,555
2023-03-27 10:15:00,420.15,NSE,420.15,419.7,419.9,ICIPRU,1885
2023-03-27 10:16:00,420.15,NSE,420.4,420.0,420.15,ICIPRU,973
2023-03-27 10:17:00,420.4,NSE,420.4,420.0,420.15,ICIPRU,2034
2023-03-27 10:18:00,420.5,NSE,420.5,420.2,420.4,ICIPRU,724
2023-03-27 10:19:00,420.05,NSE,420.5,420.05,420.5,ICIPRU,812
2023-03-27 10:20:00,420.5,NSE,420.5,420.0,420.05,ICIPRU,1143
2023-03-27 10:21:00,420.45,NSE,420.5,420.35,420.5,ICIPRU,615
2023-03-27 10:22:00,420.1,NSE,420.5,420.1,420.45,ICIPRU,3156
2023-03-27 10:23:00,420.15,NSE,420.4,420.0,420.1,ICIPRU,809
2023-03-27 10:24:00,419.7,NSE,420.0,419.55,420.0,ICIPRU,1579
2023-03-27 10:25:00,419.45,NSE,419.7,419.45,419.7,ICIPRU,835
2023-03-27 10:26:00,419.35,NSE,419.7,419.25,419.65,ICIPRU,1164
2023-03-27 10:27:00,419.7,NSE,419.95,419.45,419.45,ICIPRU,562
2023-03-27 10:28:00,419.65,NSE,419.7,419.5,419.7,ICIPRU,740
2023-03-27 10:29:00,419.65,NSE,419.65,419.2,419.65,ICIPRU,4402
2023-03-27 10:30:00,419.65,NSE,419.65,419.35,419.65,ICIPRU,1538
2023-03-27 10:31:00,419.5,NSE,419.7,419.25,419.65,ICIPRU,675
2023-03-27 10:32:00,419.45,NSE,419.5,419.2,419.5,ICIPRU,806
