,datetime,close,exchange_code,high,low,open,stock_code,volume
0,2023-10-17 09:30:00,530.85,NSE,530.95,530.1,530.6,ICIPRU,2434
1,2023-10-17 09:31:00,530.65,NSE,530.9,530.2,530.9,ICIPRU,6270
2,2023-10-17 09:32:00,531.8,NSE,531.8,530.65,530.65,ICIPRU,10625
3,2023-10-17 09:33:00,531.95,NSE,532.4,531.45,531.8,ICIPRU,7115
4,2023-10-17 09:34:00,531.4,NSE,531.95,531.1,531.95,ICIPRU,4148
5,2023-10-17 09:35:00,531.0,NSE,531.5,531.0,531.4,ICIPRU,2358
6,2023-10-17 09:36:00,531.75,NSE,531.75,531.25,531.35,ICIPRU,2509
7,2023-10-17 09:37:00,531.5,NSE,531.75,531.25,531.75,ICIPRU,3991
8,2023-10-17 09:38:00,531.55,NSE,531.65,531.25,531.5,ICIPRU,3352
9,2023-10-17 09:39:00,532.0,NSE,532.3,531.8,531.8,ICIPRU,6286
10,2023-10-17 09:40:00,531.2,NSE,532.0,531.2,531.8,ICIPRU,2315
11,2023-10-17 09:41:00,531.35,NSE,531.8,531.15,531.2,ICIPRU,2330
12,2023-10-17 09:42:00,532.15,NSE,532.4,531.35,531.35,ICIPRU,6757
13,2023-10-17 09:43:00,532.25,NSE,532.25,531.65,532.15,ICIPRU,2872
14,2023-10-17 09:44:00,532.75,NSE,533.6,531.9,532.3,ICIPRU,19339
15,2023-10-17 09:45:00,532.65,NSE,533.5,532.65,533.0,ICIPRU,6921
16,2023-10-17 09:46:00,531.55,NSE,533.0,531.55,532.65,ICIPRU,7380
17,2023-10-17 09:47:00,531.5,NSE,531.9,531.05,531.55,ICIPRU,7985
18,2023-10-17 09:48:00,531.6,NSE,531.85,531.35,531.85,ICIPRU,745
19,2023-10-17 09:49:00,532.8,NSE,533.0,531.3,531.35,ICIPRU,12509
20,2023-10-17 09:50:00,533.0,NSE,533.65,532.9,533.6,ICIPRU,12602
21,2023-10-17 09:51:00,532.0,NSE,533.0,531.85,533.0,ICIPRU,1913
22,2023-10-17 09:52:00,532.2,NSE,532.5,532.0,532.0,ICIPRU,1366
23,2023-10-17 09:53:00,532.8,NSE,532.85,532.05,532.2,ICIPRU,2140
24,2023-10-17 09:54:00,532.75,NSE,533.15,532.65,532.8,ICIPRU,4845
25,2023-10-17 09:55:00,532.35,NSE,533.0,532.35,533.0,ICIPRU,1873
26,2023-10-17 09:56:00,531.65,NSE,532.55,531.5,532.35,ICIPRU,4877
27,2023-10-17 09:57:00,532.0,NSE,532.0,531.65,531.65,ICIPRU,3447
28,2023-10-17 09:58:00,532.0,NSE,532.25,532.0,532.0,ICIPRU,1310
29,2023-10-17 09:59:00,531.95,NSE,532.05,531.1,532.05,ICIPRU,5551
30,2023-10-17 10:00:00,531.85,NSE,531.95,531.5,531.95,ICIPRU,2266
31,2023-10-17 10:01:00,531.85,NSE,531.95,531.5,531.85,ICIPRU,1842
32,2023-10-17 10:02:00,531.4,NSE,532.0,531.4,531.85,ICIPRU,1774
33,2023-10-17 10:03:00,531.55,NSE,531.8,531.4,531.4,ICIPRU,1656
34,2023-10-17 10:04:00,531.65,NSE,532.0,531.5,531.5,ICIPRU,3662
35,2023-10-17 10:05:00,531.35,NSE,531.85,531.15,531.65,ICIPRU,3110
36,2023-10-17 10:06:00,531.1,NSE,531.2,531.0,531.2,ICIPRU,1419
37,2023-10-17 10:07:00,531.5,NSE,531.5,531.25,531.25,ICIPRU,4698
38,2023-10-17 10:08:00,531.1,NSE,531.7,531.1,531.7,ICIPRU,969
39,2023-10-17 10:09:00,531.05,NSE,531.45,531.05,531.1,ICIPRU,1754
40,2023-10-17 10:10:00,531.35,NSE,531.35,531.1,531.2,ICIPRU,701
41,2023-10-17 10:11:00,531.25,NSE,531.45,531.0,531.35,ICIPRU,1862
42,2023-10-17 10:12:00,531.0,NSE,531.25,531.0,531.25,ICIPRU,2490
43,2023-10-17 10:13:00,531.0,NSE,531.2,531.0,531.0,ICIPRU,526
44,2023-10-17 10:14:00,531.5,NSE,531.5,531.0,531.0,ICIPRU,1540
45,2023-10-17 10:15:00,531.5,NSE,531.7,531.25,531.5,ICIPRU,2201
46,2023-10-17 10:16:00,532.05,NSE,532.1,531.5,531.5,ICIPRU,1590
47,2023-10-17 10:17:00,531.65,NSE,532.2,531.5,532.0,ICIPRU,1259
48,2023-10-17 10:18:00,533.0,NSE,533.0,531.6,531.65,ICIPRU,3822
49,2023-10-17 10:19:00,532.35,NSE,533.0,532.35,533.0,ICIPRU,1419
50,2023-10-17 10:20:00,532.1,NSE,532.5,532.1,532.35,ICIPRU,837
51,2023-10-17 10:21:00,533.45,NSE,533.55,532.15,532.15,ICIPRU,11501
52,2023-10-17 10:22:00,533.3,NSE,533.45,533.05,533.45,ICIPRU,1952
53,2023-10-17 10:23:00,533.0,NSE,533.5,532.7,533.45,ICIPRU,1941
54,2023-10-17 10:24:00,533.5,NSE,533.75,533.0,533.0,ICIPRU,8361
55,2023-10-17 10:25:00,533.35,NSE,533.5,533.1,533.5,ICIPRU,4237
56,2023-10-17 10:26:00,533.8,NSE,534.75,533.7,533.7,ICIPRU,18067
57,2023-10-17 10:27:00,533.4,NSE,533.9,533.3,533.8,ICIPRU,2887
58,2023-10-17 10:28:00,532.1,NSE,533.25,531.85,533.25,ICIPRU,8168
59,2023-10-17 10:29:00,532.4,NSE,532.85,532.1,532.1,ICIPRU,1121
60,2023-10-17 10:30:00,532.25,NSE,532.4,532.0,532.4,ICIPRU,3263
61,2023-10-17 10:31:00,532.6,NSE,532.65,532.25,532.25,ICIPRU,373
62,2023-10-17 10:32:00,533.3,NSE,533.45,532.4,532.6,ICIPRU,6560
63,2023-10-17 10:33:00,533.8,NSE,534.0,533.1,533.3,ICIPRU,4039
64,2023-10-17 10:34:00,534.0,NSE,534.55,533.75,533.8,ICIPRU,4656
65,2023-10-17 10:35:00,534.0,NSE,534.2,533.35,534.0,ICIPRU,4408
66,2023-10-17 10:36:00,533.5,NSE,534.0,533.1,534.0,ICIPRU,1050
