datetime,close,exchange_code,high,low,open,stock_code,volume
2024-07-10 09:30:00,17.07,NSE,17.07,16.98,16.98,IDECEL,4012890
2024-07-10 09:31:00,17.07,NSE,17.12,17.05,17.09,IDECEL,7344269
2024-07-10 09:32:00,17.13,NSE,17.13,17.07,17.08,IDECEL,3341905
2024-07-10 09:33:00,17.22,NSE,17.24,17.12,17.12,IDECEL,11286879
2024-07-10 09:34:00,17.25,NSE,17.27,17.22,17.25,IDECEL,11567170
2024-07-10 09:35:00,17.22,NSE,17.27,17.2,17.26,IDECEL,4524390
2024-07-10 09:36:00,17.17,NSE,17.23,17.17,17.22,IDECEL,3205977
2024-07-10 09:37:00,17.16,NSE,17.19,17.15,17.19,IDECEL,2654654
2024-07-10 09:38:00,17.17,NSE,17.18,17.15,17.18,IDECEL,2735457
2024-07-10 09:39:00,17.16,NSE,17.17,17.14,17.16,IDECEL,1956129
2024-07-10 09:40:00,17.16,NSE,17.16,17.15,17.16,IDECEL,1627565
2024-07-10 09:41:00,17.17,NSE,17.17,17.14,17.16,IDECEL,930112
2024-07-10 09:42:00,17.14,NSE,17.16,17.12,17.16,IDECEL,1233792
2024-07-10 09:43:00,17.09,NSE,17.15,17.08,17.14,IDECEL,2928129
2024-07-10 09:44:00,17.07,NSE,17.11,17.06,17.1,IDECEL,3629153
2024-07-10 09:45:00,17.04,NSE,17.07,17.02,17.06,IDECEL,3823966
2024-07-10 09:46:00,16.99,NSE,17.05,16.98,17.05,IDECEL,8586946
2024-07-10 09:47:00,17.02,NSE,17.04,16.98,16.99,IDECEL,1957559
2024-07-10 09:48:00,17.01,NSE,17.05,17.0,17.01,IDECEL,1857266
2024-07-10 09:49:00,17.01,NSE,17.03,16.99,17.02,IDECEL,1706539
2024-07-10 09:50:00,17.04,NSE,17.05,17.01,17.02,IDECEL,771685
2024-07-10 09:51:00,16.97,NSE,17.04,16.96,17.04,IDECEL,1874929
2024-07-10 09:52:00,16.94,NSE,16.98,16.94,16.98,IDECEL,1468045
2024-07-10 09:53:00,16.97,NSE,16.98,16.94,16.94,IDECEL,1427304
2024-07-10 09:54:00,16.96,NSE,16.98,16.94,16.98,IDECEL,1288273
2024-07-10 09:55:00,16.91,NSE,16.97,16.88,16.95,IDECEL,3715323
2024-07-10 09:56:00,16.89,NSE,16.92,16.88,16.91,IDECEL,1445251
2024-07-10 09:57:00,16.91,NSE,16.92,16.88,16.9,IDECEL,1139540
2024-07-10 09:58:00,16.91,NSE,16.92,16.89,16.91,IDECEL,1642164
2024-07-10 09:59:00,16.91,NSE,16.91,16.89,16.91,IDECEL,886433
2024-07-10 10:00:00,16.85,NSE,16.91,16.84,16.91,IDECEL,3298595
2024-07-10 10:01:00,16.82,NSE,16.85,16.81,16.85,IDECEL,3959477
2024-07-10 10:02:00,16.82,NSE,16.82,16.79,16.81,IDECEL,4810758
2024-07-10 10:03:00,16.9,NSE,16.91,16.81,16.82,IDECEL,2396573
2024-07-10 10:04:00,16.86,NSE,16.88,16.83,16.87,IDECEL,1999567
2024-07-10 10:05:00,16.85,NSE,16.89,16.85,16.86,IDECEL,1621740
2024-07-10 10:06:00,16.83,NSE,16.86,16.83,16.86,IDECEL,717974
2024-07-10 10:07:00,16.84,NSE,16.86,16.82,16.84,IDECEL,1383961
2024-07-10 10:08:00,16.82,NSE,16.85,16.8,16.84,IDECEL,1143578
2024-07-10 10:09:00,16.78,NSE,16.82,16.78,16.81,IDECEL,2933381
2024-07-10 10:10:00,16.74,NSE,16.78,16.73,16.78,IDECEL,4771072
2024-07-10 10:11:00,16.75,NSE,16.75,16.69,16.73,IDECEL,3025525
2024-07-10 10:12:00,16.74,NSE,16.75,16.71,16.74,IDECEL,1091566
2024-07-10 10:13:00,16.77,NSE,16.8,16.73,16.73,IDECEL,2162330
2024-07-10 10:14:00,16.77,NSE,16.8,16.73,16.77,IDECEL,2267351
2024-07-10 10:15:00,16.77,NSE,16.79,16.74,16.77,IDECEL,1232836
2024-07-10 10:16:00,16.79,NSE,16.79,16.72,16.77,IDECEL,3643018
2024-07-10 10:17:00,16.75,NSE,16.79,16.74,16.79,IDECEL,3669448
2024-07-10 10:18:00,16.75,NSE,16.75,16.72,16.75,IDECEL,2959407
2024-07-10 10:19:00,16.72,NSE,16.75,16.71,16.75,IDECEL,2626955
2024-07-10 10:20:00,16.68,NSE,16.72,16.67,16.72,IDECEL,1457251
2024-07-10 10:21:00,16.71,NSE,16.75,16.66,16.68,IDECEL,3320636
2024-07-10 10:22:00,16.68,NSE,16.71,16.68,16.71,IDECEL,934000
2024-07-10 10:23:00,16.66,NSE,16.69,16.66,16.68,IDECEL,1237980
2024-07-10 10:24:00,16.64,NSE,16.67,16.63,16.64,IDECEL,2364322
