datetime,close,exchange_code,high,low,open,stock_code,volume
2020-09-09 09:30:00,29.75,NSE,29.9,29.75,29.9,IDFBAN,195217
2020-09-09 09:31:00,29.8,NSE,29.8,29.7,29.8,IDFBAN,134189
2020-09-09 09:32:00,29.85,NSE,29.9,29.75,29.75,IDFBAN,97475
2020-09-09 09:33:00,29.9,NSE,29.9,29.85,29.85,IDFBAN,127702
2020-09-09 09:34:00,29.9,NSE,29.9,29.9,29.9,IDFBAN,30488
2020-09-09 09:35:00,29.85,NSE,29.95,29.85,29.9,IDFBAN,57096
2020-09-09 09:36:00,29.9,NSE,29.9,29.85,29.85,IDFBAN,65981
2020-09-09 09:37:00,29.85,NSE,29.9,29.85,29.9,IDFBAN,20594
2020-09-09 09:38:00,29.9,NSE,29.9,29.85,29.85,IDFBAN,48578
2020-09-09 09:39:00,29.95,NSE,29.95,29.9,29.9,IDFBAN,81499
2020-09-09 09:40:00,29.95,NSE,29.95,29.9,29.95,IDFBAN,47931
2020-09-09 09:41:00,29.95,NSE,30.0,29.95,30.0,IDFBAN,126002
2020-09-09 09:42:00,30.0,NSE,30.0,29.95,30.0,IDFBAN,72591
2020-09-09 09:43:00,29.85,NSE,30.0,29.85,30.0,IDFBAN,187857
2020-09-09 09:44:00,29.75,NSE,29.9,29.65,29.9,IDFBAN,530934
2020-09-09 09:45:00,29.75,NSE,29.8,29.75,29.8,IDFBAN,25908
2020-09-09 09:46:00,29.75,NSE,29.8,29.75,29.8,IDFBAN,19101
2020-09-09 09:47:00,29.85,NSE,29.9,29.75,29.75,IDFBAN,138328
2020-09-09 09:48:00,29.75,NSE,29.85,29.7,29.8,IDFBAN,163737
2020-09-09 09:49:00,29.65,NSE,29.75,29.6,29.75,IDFBAN,316334
2020-09-09 09:50:00,29.55,NSE,29.65,29.55,29.6,IDFBAN,111117
2020-09-09 09:51:00,29.55,NSE,29.6,29.55,29.55,IDFBAN,94444
2020-09-09 09:52:00,29.5,NSE,29.55,29.4,29.55,IDFBAN,447397
2020-09-09 09:53:00,29.5,NSE,29.55,29.5,29.55,IDFBAN,76575
2020-09-09 09:54:00,29.45,NSE,29.5,29.4,29.5,IDFBAN,182957
2020-09-09 09:55:00,29.4,NSE,29.5,29.35,29.5,IDFBAN,128645
2020-09-09 09:56:00,29.35,NSE,29.4,29.25,29.35,IDFBAN,250600
2020-09-09 09:57:00,29.3,NSE,29.35,29.3,29.3,IDFBAN,89843
2020-09-09 09:58:00,29.4,NSE,29.45,29.3,29.3,IDFBAN,102433
2020-09-09 09:59:00,29.35,NSE,29.45,29.35,29.4,IDFBAN,59567
2020-09-09 10:00:00,29.45,NSE,29.45,29.35,29.35,IDFBAN,116739
2020-09-09 10:01:00,29.45,NSE,29.5,29.4,29.4,IDFBAN,131300
2020-09-09 10:02:00,29.4,NSE,29.5,29.4,29.5,IDFBAN,180715
2020-09-09 10:03:00,29.3,NSE,29.5,29.25,29.45,IDFBAN,336039
2020-09-09 10:04:00,29.35,NSE,29.4,29.3,29.3,IDFBAN,159995
2020-09-09 10:05:00,29.4,NSE,29.4,29.35,29.4,IDFBAN,22539
2020-09-09 10:06:00,29.4,NSE,29.4,29.35,29.4,IDFBAN,21282
2020-09-09 10:07:00,29.4,NSE,29.4,29.35,29.4,IDFBAN,32425
2020-09-09 10:08:00,29.4,NSE,29.4,29.3,29.4,IDFBAN,281196
2020-09-09 10:09:00,29.35,NSE,29.4,29.25,29.35,IDFBAN,98957
2020-09-09 10:10:00,29.3,NSE,29.35,29.25,29.35,IDFBAN,150015
2020-09-09 10:11:00,29.35,NSE,29.4,29.3,29.3,IDFBAN,134072
2020-09-09 10:12:00,29.45,NSE,29.45,29.35,29.35,IDFBAN,256907
2020-09-09 10:13:00,29.45,NSE,29.45,29.4,29.4,IDFBAN,20532
2020-09-09 10:14:00,29.4,NSE,29.45,29.4,29.4,IDFBAN,64301
2020-09-09 10:15:00,29.4,NSE,29.5,29.35,29.4,IDFBAN,338094
2020-09-09 10:16:00,29.2,NSE,29.4,29.15,29.35,IDFBAN,327990
2020-09-09 10:17:00,29.25,NSE,29.3,29.15,29.15,IDFBAN,1008907
2020-09-09 10:18:00,29.25,NSE,29.25,29.2,29.25,IDFBAN,61711
2020-09-09 10:19:00,29.25,NSE,29.25,29.2,29.25,IDFBAN,49015
2020-09-09 10:20:00,29.1,NSE,29.25,29.1,29.2,IDFBAN,220321
2020-09-09 10:21:00,29.15,NSE,29.15,29.05,29.15,IDFBAN,143290
2020-09-09 10:22:00,29.1,NSE,29.15,29.05,29.15,IDFBAN,303767
2020-09-09 10:23:00,28.95,NSE,29.1,28.9,29.1,IDFBAN,681715
2020-09-09 10:24:00,28.9,NSE,29.0,28.9,28.9,IDFBAN,96064
2020-09-09 10:25:00,28.8,NSE,28.95,28.7,28.9,IDFBAN,619861
2020-09-09 10:26:00,28.8,NSE,28.85,28.75,28.85,IDFBAN,197687
2020-09-09 10:27:00,28.8,NSE,28.85,28.7,28.8,IDFBAN,370147
2020-09-09 10:28:00,28.85,NSE,28.85,28.75,28.85,IDFBAN,160069
2020-09-09 10:29:00,28.85,NSE,28.85,28.8,28.85,IDFBAN,309842
2020-09-09 10:30:00,28.85,NSE,28.85,28.8,28.85,IDFBAN,121495
2020-09-09 10:31:00,29.0,NSE,29.05,28.85,28.9,IDFBAN,606878
2020-09-09 10:32:00,28.9,NSE,29.0,28.85,29.0,IDFBAN,232362
2020-09-09 10:33:00,28.95,NSE,28.95,28.85,28.9,IDFBAN,226974
2020-09-09 10:34:00,28.9,NSE,28.95,28.85,28.95,IDFBAN,85476
2020-09-09 10:35:00,28.95,NSE,29.0,28.9,28.95,IDFBAN,196717
2020-09-09 10:36:00,28.95,NSE,29.05,28.9,29.0,IDFBAN,504263
2020-09-09 10:37:00,28.75,NSE,29.0,28.75,28.9,IDFBAN,626098
2020-09-09 10:38:00,28.9,NSE,28.9,28.75,28.85,IDFBAN,125248
2020-09-09 10:39:00,29.0,NSE,29.0,28.8,28.85,IDFBAN,100385
2020-09-09 10:40:00,29.0,NSE,29.0,28.95,29.0,IDFBAN,26475
2020-09-09 10:41:00,28.95,NSE,29.0,28.95,29.0,IDFBAN,50067
2020-09-09 10:42:00,28.95,NSE,29.0,28.9,29.0,IDFBAN,58532
2020-09-09 10:43:00,29.0,NSE,29.0,28.9,28.9,IDFBAN,86805
2020-09-09 10:44:00,29.0,NSE,29.0,28.95,28.95,IDFBAN,43355
2020-09-09 10:45:00,29.05,NSE,29.05,28.95,29.0,IDFBAN,44894
2020-09-09 10:46:00,29.1,NSE,29.1,29.05,29.05,IDFBAN,145062
2020-09-09 10:47:00,28.95,NSE,29.1,28.95,29.1,IDFBAN,191377
2020-09-09 10:48:00,29.0,NSE,29.0,28.95,29.0,IDFBAN,39472
2020-09-09 10:49:00,29.0,NSE,29.0,28.95,29.0,IDFBAN,22354
2020-09-09 10:50:00,29.05,NSE,29.1,29.0,29.0,IDFBAN,155027
2020-09-09 10:51:00,29.05,NSE,29.05,29.0,29.05,IDFBAN,22360
2020-09-09 10:52:00,29.05,NSE,29.05,29.05,29.05,IDFBAN,41108
2020-09-09 10:53:00,29.1,NSE,29.1,29.0,29.05,IDFBAN,274377
2020-09-09 10:54:00,29.1,NSE,29.1,29.05,29.05,IDFBAN,206901
2020-09-09 10:55:00,29.15,NSE,29.15,29.05,29.1,IDFBAN,62741
2020-09-09 10:56:00,29.15,NSE,29.15,29.05,29.1,IDFBAN,135557
2020-09-09 10:57:00,29.15,NSE,29.15,29.1,29.15,IDFBAN,21672
2020-09-09 10:58:00,29.1,NSE,29.15,29.05,29.15,IDFBAN,83205
2020-09-09 10:59:00,29.1,NSE,29.15,29.05,29.1,IDFBAN,60756
2020-09-09 11:00:00,29.1,NSE,29.15,29.1,29.1,IDFBAN,137606
2020-09-09 11:01:00,29.05,NSE,29.15,29.05,29.1,IDFBAN,334586
2020-09-09 11:02:00,29.1,NSE,29.1,29.05,29.1,IDFBAN,20579
2020-09-09 11:03:00,29.1,NSE,29.1,29.05,29.1,IDFBAN,62885
2020-09-09 11:04:00,29.1,NSE,29.1,29.05,29.1,IDFBAN,585794
2020-09-09 11:05:00,29.15,NSE,29.15,29.05,29.05,IDFBAN,205719
2020-09-09 11:06:00,29.15,NSE,29.2,29.1,29.15,IDFBAN,98633
2020-09-09 11:07:00,29.15,NSE,29.2,29.15,29.2,IDFBAN,65211
2020-09-09 11:08:00,29.15,NSE,29.2,29.15,29.15,IDFBAN,123803
2020-09-09 11:09:00,29.15,NSE,29.15,29.1,29.15,IDFBAN,14235
2020-09-09 11:10:00,29.15,NSE,29.15,29.1,29.15,IDFBAN,9927
2020-09-09 11:11:00,29.15,NSE,29.15,29.1,29.15,IDFBAN,8366
2020-09-09 11:12:00,29.15,NSE,29.15,29.1,29.15,IDFBAN,7964
2020-09-09 11:13:00,29.1,NSE,29.15,29.1,29.15,IDFBAN,17531
2020-09-09 11:14:00,29.15,NSE,29.15,29.1,29.15,IDFBAN,18112
2020-09-09 11:15:00,29.15,NSE,29.2,29.1,29.15,IDFBAN,229915
2020-09-09 11:16:00,29.2,NSE,29.2,29.1,29.15,IDFBAN,23136
2020-09-09 11:17:00,29.15,NSE,29.2,29.1,29.2,IDFBAN,86468
2020-09-09 11:18:00,29.15,NSE,29.15,29.1,29.15,IDFBAN,8016
2020-09-09 11:19:00,29.2,NSE,29.2,29.1,29.15,IDFBAN,13987
2020-09-09 11:20:00,29.15,NSE,29.2,29.1,29.2,IDFBAN,60496
2020-09-09 11:21:00,29.15,NSE,29.15,29.1,29.1,IDFBAN,21410
2020-09-09 11:22:00,29.15,NSE,29.15,29.1,29.15,IDFBAN,8324
2020-09-09 11:23:00,29.15,NSE,29.2,29.1,29.15,IDFBAN,30824
2020-09-09 11:24:00,29.15,NSE,29.15,29.1,29.15,IDFBAN,11152
2020-09-09 11:25:00,29.15,NSE,29.2,29.1,29.15,IDFBAN,5627
2020-09-09 11:26:00,29.2,NSE,29.2,29.15,29.15,IDFBAN,15488
2020-09-09 11:27:00,29.15,NSE,29.2,29.1,29.2,IDFBAN,49246
2020-09-09 11:28:00,29.2,NSE,29.2,29.1,29.15,IDFBAN,36109
2020-09-09 11:29:00,29.15,NSE,29.2,29.15,29.2,IDFBAN,56669
2020-09-09 11:30:00,29.15,NSE,29.15,29.1,29.1,IDFBAN,25770
2020-09-09 11:31:00,29.15,NSE,29.15,29.1,29.15,IDFBAN,7324
2020-09-09 11:32:00,29.2,NSE,29.2,29.1,29.15,IDFBAN,91651
2020-09-09 11:33:00,29.2,NSE,29.2,29.15,29.15,IDFBAN,11489
2020-09-09 11:34:00,29.2,NSE,29.2,29.15,29.15,IDFBAN,33805
2020-09-09 11:35:00,29.15,NSE,29.2,29.15,29.15,IDFBAN,14100
2020-09-09 11:36:00,29.25,NSE,29.35,29.15,29.2,IDFBAN,490013
2020-09-09 11:37:00,29.25,NSE,29.35,29.25,29.3,IDFBAN,107916
2020-09-09 11:38:00,29.3,NSE,29.3,29.25,29.25,IDFBAN,13273
2020-09-09 11:39:00,29.2,NSE,29.25,29.2,29.25,IDFBAN,77640
2020-09-09 11:40:00,29.25,NSE,29.25,29.2,29.2,IDFBAN,7389
2020-09-09 11:41:00,29.2,NSE,29.25,29.15,29.2,IDFBAN,61553
2020-09-09 11:42:00,29.2,NSE,29.2,29.15,29.15,IDFBAN,19544
2020-09-09 11:43:00,29.15,NSE,29.15,29.1,29.15,IDFBAN,101782
2020-09-09 11:44:00,29.15,NSE,29.15,29.1,29.1,IDFBAN,12534
2020-09-09 11:45:00,29.15,NSE,29.15,29.1,29.1,IDFBAN,24673
2020-09-09 11:46:00,29.15,NSE,29.15,29.1,29.15,IDFBAN,7059
2020-09-09 11:47:00,28.95,NSE,29.15,28.95,29.15,IDFBAN,647397
2020-09-09 11:48:00,29.05,NSE,29.05,28.95,28.95,IDFBAN,173999
2020-09-09 11:49:00,29.05,NSE,29.05,29.0,29.05,IDFBAN,110212
2020-09-09 11:50:00,28.95,NSE,29.05,28.9,29.0,IDFBAN,251311
2020-09-09 11:51:00,29.0,NSE,29.0,28.9,28.9,IDFBAN,168909
2020-09-09 11:52:00,29.0,NSE,29.0,28.95,28.95,IDFBAN,122143
2020-09-09 11:53:00,29.0,NSE,29.05,28.95,29.0,IDFBAN,252595
2020-09-09 11:54:00,28.95,NSE,29.0,28.95,29.0,IDFBAN,29417
2020-09-09 11:55:00,29.05,NSE,29.05,28.95,29.0,IDFBAN,24746
2020-09-09 11:56:00,29.05,NSE,29.05,29.0,29.05,IDFBAN,15870
2020-09-09 11:57:00,29.05,NSE,29.05,29.0,29.05,IDFBAN,34149
2020-09-09 11:58:00,29.05,NSE,29.05,29.0,29.05,IDFBAN,162783
2020-09-09 11:59:00,29.0,NSE,29.05,28.95,29.05,IDFBAN,109798
2020-09-09 12:00:00,29.05,NSE,29.05,29.0,29.0,IDFBAN,49030
2020-09-09 12:01:00,29.0,NSE,29.05,28.95,29.0,IDFBAN,52541
2020-09-09 12:02:00,29.0,NSE,29.05,29.0,29.0,IDFBAN,35372
2020-09-09 12:03:00,29.0,NSE,29.05,29.0,29.05,IDFBAN,87872
2020-09-09 12:04:00,29.05,NSE,29.05,29.0,29.05,IDFBAN,55064
2020-09-09 12:05:00,29.05,NSE,29.05,29.0,29.05,IDFBAN,40706
2020-09-09 12:06:00,29.05,NSE,29.05,29.0,29.0,IDFBAN,26971
2020-09-09 12:07:00,29.0,NSE,29.05,29.0,29.0,IDFBAN,52402
2020-09-09 12:08:00,29.05,NSE,29.05,29.0,29.0,IDFBAN,24289
2020-09-09 12:09:00,29.0,NSE,29.05,28.95,29.0,IDFBAN,77338
2020-09-09 12:10:00,28.95,NSE,29.0,28.9,29.0,IDFBAN,170370
2020-09-09 12:11:00,28.9,NSE,29.0,28.9,29.0,IDFBAN,34038
2020-09-09 12:12:00,29.0,NSE,29.0,28.9,28.9,IDFBAN,90128
2020-09-09 12:13:00,29.05,NSE,29.05,28.95,28.95,IDFBAN,110803
2020-09-09 12:14:00,29.0,NSE,29.05,29.0,29.0,IDFBAN,27138
2020-09-09 12:15:00,29.1,NSE,29.1,29.0,29.05,IDFBAN,145490
2020-09-09 12:16:00,29.1,NSE,29.1,29.05,29.1,IDFBAN,35620
2020-09-09 12:17:00,29.05,NSE,29.1,29.05,29.1,IDFBAN,53555
2020-09-09 12:18:00,29.1,NSE,29.1,29.05,29.1,IDFBAN,27674
2020-09-09 12:19:00,29.1,NSE,29.1,29.05,29.1,IDFBAN,10402
2020-09-09 12:20:00,29.15,NSE,29.15,29.1,29.15,IDFBAN,257690
2020-09-09 12:21:00,29.1,NSE,29.15,29.05,29.1,IDFBAN,22295
2020-09-09 12:22:00,29.05,NSE,29.1,29.05,29.1,IDFBAN,24590
2020-09-09 12:23:00,29.15,NSE,29.15,29.05,29.1,IDFBAN,44075
2020-09-09 12:24:00,29.15,NSE,29.15,29.1,29.15,IDFBAN,138048
2020-09-09 12:25:00,29.15,NSE,29.2,29.1,29.2,IDFBAN,48140
2020-09-09 12:26:00,29.1,NSE,29.15,29.05,29.15,IDFBAN,143554
2020-09-09 12:27:00,29.1,NSE,29.1,29.05,29.1,IDFBAN,16717
2020-09-09 12:28:00,29.0,NSE,29.1,29.0,29.05,IDFBAN,327512
2020-09-09 12:29:00,29.05,NSE,29.05,29.0,29.05,IDFBAN,47840
