datetime,close,exchange_code,high,low,open,stock_code,volume
2020-12-09 09:15:00,927.0,NSE,930.0,921.35,930.0,INDBA,130854
2020-12-09 09:16:00,924.1,NSE,927.35,922.1,927.3,INDBA,133016
2020-12-09 09:17:00,925.25,NSE,926.9,924.65,924.65,INDBA,86865
2020-12-09 09:18:00,927.55,NSE,927.7,924.95,925.25,INDBA,81810
2020-12-09 09:19:00,926.1,NSE,927.7,925.55,927.7,INDBA,63429
2020-12-09 09:20:00,929.05,NSE,929.15,925.6,926.0,INDBA,73505
2020-12-09 09:21:00,927.55,NSE,929.0,926.8,929.0,INDBA,41126
2020-12-09 09:22:00,924.8,NSE,927.5,924.8,927.1,INDBA,65069
2020-12-09 09:23:00,925.45,NSE,925.5,923.5,925.25,INDBA,64972
2020-12-09 09:24:00,924.8,NSE,925.75,924.05,925.35,INDBA,26623
2020-12-09 09:25:00,924.25,NSE,925.0,923.1,924.8,INDBA,40726
2020-12-09 09:26:00,923.45,NSE,924.65,923.0,924.6,INDBA,27259
2020-12-09 09:27:00,922.2,NSE,923.9,922.0,923.4,INDBA,65546
2020-12-09 09:28:00,922.65,NSE,923.0,920.25,922.2,INDBA,78989
2020-12-09 09:29:00,921.95,NSE,923.75,921.4,923.0,INDBA,34418
2020-12-09 09:30:00,923.3,NSE,923.7,921.5,921.95,INDBA,24869
2020-12-09 09:31:00,923.3,NSE,924.5,923.1,923.6,INDBA,102230
2020-12-09 09:32:00,922.5,NSE,923.4,921.7,923.4,INDBA,22656
2020-12-09 09:33:00,922.7,NSE,923.3,922.3,922.7,INDBA,16977
2020-12-09 09:34:00,923.7,NSE,923.95,922.55,922.7,INDBA,11345
2020-12-09 09:35:00,923.0,NSE,924.0,922.8,923.55,INDBA,22478
2020-12-09 09:36:00,923.0,NSE,923.3,922.3,923.15,INDBA,15910
2020-12-09 09:37:00,922.2,NSE,923.0,921.85,922.6,INDBA,18886
2020-12-09 09:38:00,922.05,NSE,922.9,921.7,922.2,INDBA,14280
2020-12-09 09:39:00,922.9,NSE,922.9,922.1,922.4,INDBA,16480
2020-12-09 09:40:00,921.8,NSE,922.9,921.6,922.8,INDBA,16782
2020-12-09 09:41:00,922.45,NSE,922.45,921.45,921.8,INDBA,21580
2020-12-09 09:42:00,923.45,NSE,923.6,922.35,922.35,INDBA,32296
2020-12-09 09:43:00,923.5,NSE,923.6,923.0,923.0,INDBA,16113
2020-12-09 09:44:00,923.5,NSE,923.6,922.8,923.5,INDBA,29766
2020-12-09 09:45:00,923.75,NSE,923.75,922.7,923.0,INDBA,15509
2020-12-09 09:46:00,924.1,NSE,924.5,923.55,923.75,INDBA,42715
2020-12-09 09:47:00,926.3,NSE,926.3,924.05,924.35,INDBA,85142
2020-12-09 09:48:00,925.95,NSE,926.5,925.6,926.35,INDBA,31295
2020-12-09 09:49:00,925.55,NSE,926.0,925.1,925.8,INDBA,16889
2020-12-09 09:50:00,925.8,NSE,926.0,925.15,925.6,INDBA,20496
2020-12-09 09:51:00,926.0,NSE,926.0,925.5,925.9,INDBA,16580
2020-12-09 09:52:00,926.8,NSE,927.3,925.55,925.65,INDBA,55846
2020-12-09 09:53:00,925.5,NSE,927.5,925.2,926.9,INDBA,44519
2020-12-09 09:54:00,925.05,NSE,925.85,925.0,925.3,INDBA,20312
2020-12-09 09:55:00,924.95,NSE,925.5,924.3,925.1,INDBA,31016
2020-12-09 09:56:00,924.3,NSE,925.45,924.3,925.0,INDBA,9163
2020-12-09 09:57:00,923.4,NSE,924.0,922.5,924.0,INDBA,42492
2020-12-09 09:58:00,923.5,NSE,923.9,923.3,923.9,INDBA,5552
2020-12-09 09:59:00,924.5,NSE,924.6,923.5,923.5,INDBA,8096
2020-12-09 10:00:00,924.4,NSE,925.45,924.0,924.6,INDBA,14426
2020-12-09 10:01:00,923.0,NSE,924.15,922.5,923.75,INDBA,29985
2020-12-09 10:02:00,922.9,NSE,923.0,922.5,923.0,INDBA,9332
2020-12-09 10:03:00,922.6,NSE,923.3,922.6,922.95,INDBA,15455
2020-12-09 10:04:00,922.05,NSE,923.0,922.05,922.6,INDBA,15599
2020-12-09 10:05:00,922.85,NSE,922.85,922.05,922.3,INDBA,13158
2020-12-09 10:06:00,923.35,NSE,923.6,922.5,922.5,INDBA,11420
2020-12-09 10:07:00,923.9,NSE,924.0,923.5,923.5,INDBA,6354
2020-12-09 10:08:00,923.45,NSE,924.0,923.0,923.75,INDBA,7579
2020-12-09 10:09:00,922.5,NSE,923.25,922.4,923.05,INDBA,17433
2020-12-09 10:10:00,922.8,NSE,923.4,922.2,922.35,INDBA,7392
2020-12-09 10:11:00,923.55,NSE,923.65,922.8,923.35,INDBA,6980
2020-12-09 10:12:00,923.45,NSE,923.9,923.1,923.1,INDBA,2863
2020-12-09 10:13:00,923.3,NSE,923.8,923.05,923.55,INDBA,6723
2020-12-09 10:14:00,923.5,NSE,923.8,923.0,923.8,INDBA,5948
2020-12-09 10:15:00,924.8,NSE,925.0,923.85,923.9,INDBA,20030
2020-12-09 10:16:00,924.65,NSE,924.85,924.0,924.8,INDBA,11233
2020-12-09 10:17:00,924.35,NSE,924.8,924.25,924.8,INDBA,7893
2020-12-09 10:18:00,923.9,NSE,924.6,923.4,923.9,INDBA,7204
2020-12-09 10:19:00,923.9,NSE,924.15,923.4,923.5,INDBA,10326
2020-12-09 10:20:00,923.4,NSE,924.0,923.4,923.8,INDBA,6764
2020-12-09 10:21:00,923.1,NSE,923.85,922.6,923.4,INDBA,16822
2020-12-09 10:22:00,923.2,NSE,923.2,922.5,922.5,INDBA,6118
2020-12-09 10:23:00,923.0,NSE,923.2,922.6,923.2,INDBA,5954
2020-12-09 10:24:00,922.9,NSE,923.0,922.65,922.85,INDBA,5130
2020-12-09 10:25:00,922.0,NSE,922.85,922.0,922.8,INDBA,32413
2020-12-09 10:26:00,922.0,NSE,922.45,922.0,922.0,INDBA,13759
2020-12-09 10:27:00,921.95,NSE,922.15,921.6,922.05,INDBA,17920
2020-12-09 10:28:00,919.55,NSE,922.0,918.7,921.95,INDBA,112144
2020-12-09 10:29:00,920.8,NSE,921.0,919.55,919.55,INDBA,22259
2020-12-09 10:30:00,921.1,NSE,921.5,920.45,920.8,INDBA,24648
2020-12-09 10:31:00,922.55,NSE,923.25,921.0,921.15,INDBA,16694
2020-12-09 10:32:00,922.3,NSE,922.9,921.85,922.55,INDBA,10005
2020-12-09 10:33:00,922.4,NSE,922.55,922.0,922.3,INDBA,2755
2020-12-09 10:34:00,922.5,NSE,923.0,922.0,922.4,INDBA,7395
2020-12-09 10:35:00,923.5,NSE,923.5,922.5,922.9,INDBA,10689
2020-12-09 10:36:00,923.4,NSE,923.5,922.95,923.25,INDBA,2791
2020-12-09 10:37:00,922.6,NSE,923.5,922.55,923.0,INDBA,3882
2020-12-09 10:38:00,923.25,NSE,923.25,922.6,923.05,INDBA,5880
2020-12-09 10:39:00,923.0,NSE,923.25,922.85,923.0,INDBA,5595
2020-12-09 10:40:00,923.05,NSE,923.4,922.85,923.0,INDBA,7344
2020-12-09 10:41:00,923.25,NSE,923.5,922.7,923.05,INDBA,9531
2020-12-09 10:42:00,923.0,NSE,923.5,922.7,923.25,INDBA,3754
2020-12-09 10:43:00,923.0,NSE,923.15,923.0,923.15,INDBA,2581
2020-12-09 10:44:00,923.05,NSE,923.3,923.0,923.1,INDBA,3320
2020-12-09 10:45:00,923.25,NSE,923.5,923.0,923.05,INDBA,3098
2020-12-09 10:46:00,923.1,NSE,923.45,923.0,923.0,INDBA,13141
2020-12-09 10:47:00,924.35,NSE,924.5,923.1,923.25,INDBA,25459
2020-12-09 10:48:00,924.45,NSE,924.9,924.3,924.6,INDBA,11217
2020-12-09 10:49:00,924.35,NSE,924.5,923.95,924.3,INDBA,7516
2020-12-09 10:50:00,924.0,NSE,924.5,924.0,924.3,INDBA,4898
2020-12-09 10:51:00,924.8,NSE,924.8,924.0,924.3,INDBA,8871
2020-12-09 10:52:00,925.45,NSE,925.45,924.35,924.9,INDBA,46981
2020-12-09 10:53:00,924.5,NSE,925.45,924.45,925.25,INDBA,12389
2020-12-09 10:54:00,924.95,NSE,924.95,924.45,924.45,INDBA,4212
