,datetime,close,exchange_code,high,low,open,stock_code,volume
0,2022-04-19 09:30:00,217.55,NSE,218.4,217.55,217.95,INDCEM,13701
1,2022-04-19 09:31:00,217.8,NSE,217.9,217.55,217.65,INDCEM,4381
2,2022-04-19 09:32:00,217.65,NSE,217.85,217.6,217.65,INDCEM,4282
3,2022-04-19 09:33:00,217.45,NSE,217.65,217.1,217.65,INDCEM,10012
4,2022-04-19 09:34:00,217.25,NSE,217.45,217.05,217.45,INDCEM,8818
5,2022-04-19 09:35:00,217.1,NSE,217.35,217.1,217.1,INDCEM,2728
6,2022-04-19 09:36:00,216.45,NSE,217.0,216.35,216.85,INDCEM,14235
7,2022-04-19 09:37:00,216.2,NSE,216.3,215.85,216.25,INDCEM,19936
8,2022-04-19 09:38:00,216.6,NSE,216.7,216.1,216.1,INDCEM,5442
9,2022-04-19 09:39:00,216.4,NSE,216.7,216.4,216.55,INDCEM,4097
10,2022-04-19 09:40:00,216.75,NSE,216.75,216.0,216.65,INDCEM,9171
11,2022-04-19 09:41:00,217.0,NSE,217.3,216.8,216.8,INDCEM,3290
12,2022-04-19 09:42:00,217.1,NSE,217.3,217.1,217.1,INDCEM,14033
13,2022-04-19 09:43:00,217.6,NSE,217.6,217.15,217.15,INDCEM,3458
14,2022-04-19 09:44:00,217.45,NSE,217.55,217.45,217.55,INDCEM,1759
15,2022-04-19 09:45:00,217.35,NSE,217.6,217.35,217.55,INDCEM,2935
16,2022-04-19 09:46:00,217.6,NSE,217.6,217.5,217.5,INDCEM,1245
17,2022-04-19 09:47:00,217.75,NSE,217.8,217.5,217.5,INDCEM,7778
18,2022-04-19 09:48:00,217.4,NSE,217.85,217.4,217.85,INDCEM,2375
19,2022-04-19 09:49:00,217.3,NSE,217.4,217.15,217.35,INDCEM,3535
20,2022-04-19 09:50:00,217.1,NSE,217.3,217.05,217.3,INDCEM,2904
21,2022-04-19 09:51:00,217.05,NSE,217.3,217.05,217.1,INDCEM,2032
22,2022-04-19 09:52:00,217.05,NSE,217.3,217.05,217.2,INDCEM,3436
23,2022-04-19 09:53:00,216.9,NSE,217.05,216.9,217.05,INDCEM,2956
24,2022-04-19 09:54:00,216.9,NSE,216.9,216.55,216.65,INDCEM,3611
25,2022-04-19 09:55:00,216.95,NSE,217.1,216.75,216.95,INDCEM,3170
26,2022-04-19 09:56:00,216.85,NSE,216.95,216.75,216.75,INDCEM,1725
27,2022-04-19 09:57:00,216.75,NSE,216.85,216.7,216.7,INDCEM,2571
28,2022-04-19 09:58:00,217.0,NSE,217.0,216.8,216.85,INDCEM,1910
29,2022-04-19 09:59:00,216.85,NSE,217.0,216.8,217.0,INDCEM,97
30,2022-04-19 10:00:00,217.25,NSE,217.25,216.85,216.85,INDCEM,1586
31,2022-04-19 10:01:00,217.7,NSE,217.75,217.2,217.35,INDCEM,5169
32,2022-04-19 10:02:00,217.6,NSE,217.8,217.55,217.55,INDCEM,1559
33,2022-04-19 10:03:00,217.7,NSE,217.75,217.5,217.6,INDCEM,2982
34,2022-04-19 10:04:00,217.45,NSE,217.7,217.3,217.7,INDCEM,2820
35,2022-04-19 10:05:00,217.7,NSE,217.7,217.6,217.6,INDCEM,681
36,2022-04-19 10:06:00,217.5,NSE,217.75,217.5,217.7,INDCEM,941
37,2022-04-19 10:07:00,217.55,NSE,217.85,217.55,217.75,INDCEM,4253
38,2022-04-19 10:08:00,217.45,NSE,217.5,217.25,217.5,INDCEM,2702
39,2022-04-19 10:09:00,217.3,NSE,217.6,217.3,217.4,INDCEM,1046
40,2022-04-19 10:10:00,217.4,NSE,217.6,217.4,217.45,INDCEM,1618
41,2022-04-19 10:11:00,217.55,NSE,217.65,217.5,217.5,INDCEM,252
42,2022-04-19 10:12:00,217.6,NSE,217.85,217.6,217.7,INDCEM,9311
43,2022-04-19 10:13:00,217.55,NSE,217.9,217.55,217.6,INDCEM,5359
44,2022-04-19 10:14:00,217.4,NSE,217.55,217.3,217.55,INDCEM,620
45,2022-04-19 10:15:00,216.9,NSE,217.5,216.9,217.45,INDCEM,8896
46,2022-04-19 10:16:00,217.3,NSE,217.45,216.9,216.9,INDCEM,4870
47,2022-04-19 10:17:00,217.0,NSE,217.35,217.0,217.3,INDCEM,1551
