datetime,close,exchange_code,high,low,open,stock_code,volume
2020-02-19 09:30:00,186.35,NSE,186.45,186.35,186.4,INDEN,250
2020-02-19 09:31:00,186.35,NSE,186.35,186.05,186.05,INDEN,165
2020-02-19 09:32:00,186.35,NSE,186.4,186.35,186.4,INDEN,88
2020-02-19 09:33:00,186.25,NSE,186.3,186.1,186.3,INDEN,125
2020-02-19 09:34:00,186.25,NSE,186.25,186.25,186.25,INDEN,8
2020-02-19 09:35:00,185.85,NSE,185.9,185.8,185.85,INDEN,773
2020-02-19 09:36:00,185.55,NSE,185.8,185.55,185.8,INDEN,474
2020-02-19 09:37:00,185.65,NSE,185.65,185.5,185.5,INDEN,202
2020-02-19 09:38:00,185.0,NSE,185.55,185.0,185.55,INDEN,92
2020-02-19 09:39:00,184.7,NSE,184.7,184.7,184.7,INDEN,113
2020-02-19 09:40:00,183.65,NSE,184.7,183.4,184.7,INDEN,1019
2020-02-19 09:41:00,183.9,NSE,183.9,183.55,183.7,INDEN,380
2020-02-19 09:42:00,184.3,NSE,184.3,183.75,183.8,INDEN,383
2020-02-19 09:43:00,184.6,NSE,184.75,184.3,184.3,INDEN,243
2020-02-19 09:44:00,184.8,NSE,184.95,184.55,184.6,INDEN,2687
2020-02-19 09:45:00,184.8,NSE,184.9,184.8,184.9,INDEN,30
2020-02-19 09:47:00,184.9,NSE,185.0,184.85,184.9,INDEN,214
2020-02-19 09:48:00,184.85,NSE,184.9,184.85,184.9,INDEN,1462
2020-02-19 09:49:00,184.8,NSE,184.85,184.8,184.85,INDEN,399
2020-02-19 09:50:00,184.8,NSE,184.85,184.8,184.85,INDEN,783
2020-02-19 09:51:00,184.8,NSE,184.85,184.8,184.8,INDEN,348
2020-02-19 09:52:00,184.8,NSE,184.8,184.8,184.8,INDEN,428
2020-02-19 09:54:00,184.2,NSE,184.5,184.2,184.45,INDEN,105
2020-02-19 09:55:00,184.25,NSE,184.25,184.05,184.1,INDEN,901
2020-02-19 09:56:00,184.25,NSE,184.25,184.25,184.25,INDEN,89
2020-02-19 09:57:00,184.25,NSE,184.25,184.25,184.25,INDEN,768
2020-02-19 09:58:00,184.25,NSE,184.25,184.25,184.25,INDEN,146
2020-02-19 09:59:00,184.05,NSE,184.05,184.05,184.05,INDEN,250
2020-02-19 10:00:00,184.05,NSE,184.05,184.05,184.05,INDEN,189
2020-02-19 10:01:00,184.05,NSE,184.05,184.05,184.05,INDEN,136
2020-02-19 10:02:00,184.1,NSE,184.1,184.1,184.1,INDEN,211
2020-02-19 10:03:00,184.1,NSE,184.1,184.1,184.1,INDEN,4
2020-02-19 10:05:00,184.95,NSE,184.95,184.1,184.1,INDEN,901
2020-02-19 10:06:00,185.2,NSE,185.2,185.0,185.0,INDEN,497
2020-02-19 10:08:00,185.15,NSE,185.25,185.15,185.25,INDEN,98
