,datetime,close,exchange_code,high,low,open,stock_code,volume
0,2020-06-12 09:30:00,86.2,NSE,86.4,86.1,86.4,INDOIL,78244
1,2020-06-12 09:31:00,86.3,NSE,86.35,86.05,86.2,INDOIL,136091
2,2020-06-12 09:32:00,86.35,NSE,86.4,86.15,86.25,INDOIL,77643
3,2020-06-12 09:33:00,86.55,NSE,86.55,86.25,86.4,INDOIL,99719
4,2020-06-12 09:34:00,86.45,NSE,86.55,86.25,86.55,INDOIL,93557
5,2020-06-12 09:35:00,86.5,NSE,86.5,86.35,86.35,INDOIL,33121
6,2020-06-12 09:36:00,86.45,NSE,86.5,86.25,86.5,INDOIL,71879
7,2020-06-12 09:37:00,86.5,NSE,86.55,86.35,86.4,INDOIL,84747
8,2020-06-12 09:38:00,86.6,NSE,86.65,86.5,86.55,INDOIL,85204
9,2020-06-12 09:39:00,86.8,NSE,86.8,86.55,86.6,INDOIL,144974
10,2020-06-12 09:40:00,86.65,NSE,86.9,86.65,86.8,INDOIL,124360
11,2020-06-12 09:41:00,86.6,NSE,86.75,86.4,86.65,INDOIL,136411
12,2020-06-12 09:42:00,86.6,NSE,86.7,86.55,86.6,INDOIL,61909
13,2020-06-12 09:43:00,86.75,NSE,86.75,86.45,86.6,INDOIL,67756
14,2020-06-12 09:44:00,86.85,NSE,86.85,86.6,86.75,INDOIL,59217
15,2020-06-12 09:45:00,86.8,NSE,87.0,86.8,86.85,INDOIL,108877
16,2020-06-12 09:46:00,86.55,NSE,86.9,86.55,86.85,INDOIL,117022
17,2020-06-12 09:47:00,86.7,NSE,86.75,86.55,86.55,INDOIL,42628
18,2020-06-12 09:48:00,86.65,NSE,86.7,86.55,86.7,INDOIL,51692
19,2020-06-12 09:49:00,86.65,NSE,86.7,86.55,86.65,INDOIL,25164
20,2020-06-12 09:50:00,86.35,NSE,86.6,86.35,86.55,INDOIL,140353
21,2020-06-12 09:51:00,86.35,NSE,86.45,86.3,86.45,INDOIL,42568
22,2020-06-12 09:52:00,86.45,NSE,86.5,86.35,86.35,INDOIL,52464
23,2020-06-12 09:53:00,86.4,NSE,86.45,86.3,86.4,INDOIL,69794
24,2020-06-12 09:54:00,86.2,NSE,86.4,86.2,86.4,INDOIL,54398
25,2020-06-12 09:55:00,86.1,NSE,86.25,86.05,86.25,INDOIL,83468
26,2020-06-12 09:56:00,86.15,NSE,86.25,86.05,86.1,INDOIL,128169
27,2020-06-12 09:57:00,86.35,NSE,86.4,86.15,86.2,INDOIL,48842
28,2020-06-12 09:58:00,87.0,NSE,87.0,86.35,86.35,INDOIL,209549
29,2020-06-12 09:59:00,86.95,NSE,87.15,86.9,87.15,INDOIL,187632
30,2020-06-12 10:00:00,86.8,NSE,87.0,86.75,86.95,INDOIL,77404
31,2020-06-12 10:01:00,87.1,NSE,87.1,86.7,86.7,INDOIL,124558
32,2020-06-12 10:02:00,87.2,NSE,87.2,87.0,87.1,INDOIL,93817
33,2020-06-12 10:03:00,87.5,NSE,87.5,87.15,87.2,INDOIL,147017
34,2020-06-12 10:04:00,87.45,NSE,87.5,87.25,87.5,INDOIL,150426
35,2020-06-12 10:05:00,87.1,NSE,87.5,87.1,87.45,INDOIL,125818
36,2020-06-12 10:06:00,87.25,NSE,87.3,87.1,87.15,INDOIL,44888
37,2020-06-12 10:07:00,87.3,NSE,87.35,87.2,87.25,INDOIL,52641
38,2020-06-12 10:08:00,87.5,NSE,87.5,87.25,87.3,INDOIL,72143
39,2020-06-12 10:09:00,87.65,NSE,87.7,87.45,87.5,INDOIL,274341
40,2020-06-12 10:10:00,87.55,NSE,87.65,87.5,87.65,INDOIL,103726
41,2020-06-12 10:11:00,87.65,NSE,87.75,87.5,87.5,INDOIL,105315
42,2020-06-12 10:12:00,87.65,NSE,87.7,87.55,87.6,INDOIL,78501
43,2020-06-12 10:13:00,87.55,NSE,87.7,87.5,87.6,INDOIL,76498
