,datetime,close,exchange_code,high,low,open,stock_code,volume
0,2022-07-13 09:07:00,293.0,NSE,293.0,293.0,293.0,ITC,15801
1,2022-07-13 09:15:00,293.8,NSE,293.95,293.3,293.95,ITC,61966
2,2022-07-13 09:16:00,293.6,NSE,293.85,293.5,293.85,ITC,96199
3,2022-07-13 09:17:00,293.55,NSE,293.55,293.4,293.5,ITC,45704
4,2022-07-13 09:18:00,293.8,NSE,293.8,293.45,293.55,ITC,32239
5,2022-07-13 09:19:00,293.35,NSE,293.8,293.2,293.8,ITC,27936
6,2022-07-13 09:20:00,293.35,NSE,293.4,293.1,293.35,ITC,33303
7,2022-07-13 09:21:00,293.2,NSE,293.35,293.2,293.35,ITC,13124
8,2022-07-13 09:22:00,293.25,NSE,293.3,293.2,293.25,ITC,10843
9,2022-07-13 09:23:00,294.05,NSE,294.35,293.15,293.2,ITC,118522
10,2022-07-13 09:24:00,293.6,NSE,293.95,293.5,293.95,ITC,78815
11,2022-07-13 09:25:00,293.5,NSE,293.7,293.35,293.6,ITC,35442
12,2022-07-13 09:26:00,293.6,NSE,293.6,293.4,293.5,ITC,32131
13,2022-07-13 09:27:00,293.65,NSE,293.7,293.5,293.6,ITC,21965
14,2022-07-13 09:28:00,293.6,NSE,293.65,293.5,293.65,ITC,18356
15,2022-07-13 09:29:00,293.7,NSE,293.75,293.55,293.6,ITC,20132
16,2022-07-13 09:30:00,294.0,NSE,294.05,293.65,293.7,ITC,60124
17,2022-07-13 09:31:00,294.2,NSE,294.2,293.95,293.95,ITC,28180
18,2022-07-13 09:32:00,294.2,NSE,294.3,294.15,294.2,ITC,25041
19,2022-07-13 09:33:00,294.25,NSE,294.3,294.15,294.15,ITC,19744
20,2022-07-13 09:34:00,293.85,NSE,294.2,293.85,294.2,ITC,35899
21,2022-07-13 09:35:00,293.65,NSE,293.9,293.65,293.85,ITC,10865
22,2022-07-13 09:36:00,293.6,NSE,293.65,293.6,293.65,ITC,16542
23,2022-07-13 09:37:00,293.65,NSE,293.75,293.6,293.7,ITC,8594
24,2022-07-13 09:38:00,293.4,NSE,293.65,293.4,293.65,ITC,25064
25,2022-07-13 09:39:00,293.55,NSE,293.6,293.35,293.35,ITC,12182
26,2022-07-13 09:40:00,293.4,NSE,293.55,293.4,293.45,ITC,10416
27,2022-07-13 09:41:00,293.55,NSE,293.65,293.4,293.4,ITC,16240
