,datetime,close,exchange_code,high,low,open,stock_code,volume
0,2022-06-23 09:07:00,1675.0,NSE,1675.0,1675.0,1675.0,KOTMAH,1752
1,2022-06-23 09:15:00,1665.9,NSE,1674.9,1663.25,1670.35,KOTMAH,18116
2,2022-06-23 09:16:00,1667.65,NSE,1669.2,1664.8,1664.8,KOTMAH,4967
3,2022-06-23 09:17:00,1667.45,NSE,1669.25,1666.6,1668.25,KOTMAH,5798
4,2022-06-23 09:18:00,1665.0,NSE,1668.85,1665.0,1668.35,KOTMAH,7356
5,2022-06-23 09:19:00,1668.25,NSE,1669.0,1665.7,1665.7,KOTMAH,4594
6,2022-06-23 09:20:00,1672.55,NSE,1673.85,1667.5,1669.0,KOTMAH,9612
7,2022-06-23 09:21:00,1674.25,NSE,1675.35,1672.2,1673.05,KOTMAH,4897
8,2022-06-23 09:22:00,1674.05,NSE,1674.6,1673.0,1674.0,KOTMAH,3603
9,2022-06-23 09:23:00,1673.6,NSE,1674.25,1672.2,1674.05,KOTMAH,3163
10,2022-06-23 09:24:00,1675.3,NSE,1675.5,1672.6,1672.6,KOTMAH,5096
11,2022-06-23 09:25:00,1677.65,NSE,1677.85,1675.5,1675.85,KOTMAH,2032
12,2022-06-23 09:26:00,1679.1,NSE,1681.9,1677.9,1677.9,KOTMAH,5342
13,2022-06-23 09:27:00,1679.5,NSE,1680.0,1678.4,1679.0,KOTMAH,2990
14,2022-06-23 09:28:00,1679.05,NSE,1679.5,1678.05,1679.45,KOTMAH,2405
15,2022-06-23 09:29:00,1679.0,NSE,1679.5,1677.95,1679.15,KOTMAH,1260
16,2022-06-23 09:30:00,1682.7,NSE,1682.7,1679.65,1679.85,KOTMAH,11624
17,2022-06-23 09:31:00,1682.95,NSE,1683.85,1682.0,1683.0,KOTMAH,3369
18,2022-06-23 09:32:00,1682.2,NSE,1684.0,1682.0,1684.0,KOTMAH,2133
19,2022-06-23 09:33:00,1683.25,NSE,1684.0,1681.6,1681.6,KOTMAH,2233
20,2022-06-23 09:34:00,1684.0,NSE,1684.8,1683.25,1683.5,KOTMAH,1596
21,2022-06-23 09:35:00,1684.0,NSE,1684.9,1682.85,1684.1,KOTMAH,10151
22,2022-06-23 09:36:00,1683.35,NSE,1684.45,1683.0,1683.65,KOTMAH,1647
23,2022-06-23 09:37:00,1685.0,NSE,1685.0,1683.3,1683.3,KOTMAH,2360
24,2022-06-23 09:38:00,1682.75,NSE,1684.9,1681.5,1684.9,KOTMAH,2817
25,2022-06-23 09:39:00,1681.0,NSE,1682.15,1680.25,1681.75,KOTMAH,2360
26,2022-06-23 09:40:00,1681.0,NSE,1681.6,1680.85,1681.6,KOTMAH,262
27,2022-06-23 09:41:00,1680.85,NSE,1681.05,1680.35,1680.35,KOTMAH,1454
28,2022-06-23 09:42:00,1681.85,NSE,1681.85,1680.5,1680.5,KOTMAH,509
29,2022-06-23 09:43:00,1683.0,NSE,1684.05,1682.0,1682.0,KOTMAH,1418
30,2022-06-23 09:44:00,1684.0,NSE,1684.75,1683.1,1683.65,KOTMAH,662
31,2022-06-23 09:45:00,1687.0,NSE,1688.0,1684.35,1684.8,KOTMAH,8212
