,datetime,close,exchange_code,high,low,open,stock_code,volume
0,2020-02-28 09:30:00,98.25,NSE,98.25,97.55,97.75,KPITEC,10891
1,2020-02-28 09:31:00,98.85,NSE,98.85,98.1,98.3,KPITEC,12934
2,2020-02-28 09:32:00,98.6,NSE,98.9,98.45,98.9,KPITEC,6052
3,2020-02-28 09:33:00,98.8,NSE,98.8,98.6,98.6,KPITEC,5402
4,2020-02-28 09:34:00,98.75,NSE,98.8,98.6,98.8,KPITEC,6068
5,2020-02-28 09:35:00,98.65,NSE,98.75,98.6,98.75,KPITEC,2527
6,2020-02-28 09:36:00,98.5,NSE,98.75,98.3,98.65,KPITEC,5165
7,2020-02-28 09:37:00,98.0,NSE,98.4,98.0,98.4,KPITEC,14878
8,2020-02-28 09:38:00,97.7,NSE,98.1,97.7,98.05,KPITEC,4277
9,2020-02-28 09:39:00,97.85,NSE,97.9,97.35,97.7,KPITEC,10161
10,2020-02-28 09:40:00,98.1,NSE,98.3,97.5,97.85,KPITEC,13610
11,2020-02-28 09:41:00,98.1,NSE,98.25,98.0,98.25,KPITEC,5514
12,2020-02-28 09:42:00,98.25,NSE,98.6,98.1,98.15,KPITEC,8040
13,2020-02-28 09:43:00,97.95,NSE,98.2,97.8,98.2,KPITEC,8308
14,2020-02-28 09:44:00,98.0,NSE,98.0,97.75,97.95,KPITEC,4276
15,2020-02-28 09:45:00,98.0,NSE,98.0,97.75,98.0,KPITEC,5725
16,2020-02-28 09:46:00,97.8,NSE,98.0,97.7,98.0,KPITEC,1248
17,2020-02-28 09:47:00,97.55,NSE,97.8,97.55,97.75,KPITEC,14372
18,2020-02-28 09:48:00,97.3,NSE,97.6,97.25,97.55,KPITEC,19090
19,2020-02-28 09:49:00,97.5,NSE,97.5,97.25,97.3,KPITEC,2270
20,2020-02-28 09:50:00,97.3,NSE,97.5,97.3,97.4,KPITEC,17280
21,2020-02-28 09:51:00,97.15,NSE,97.25,97.15,97.25,KPITEC,941
22,2020-02-28 09:52:00,97.2,NSE,97.2,97.05,97.1,KPITEC,1383
23,2020-02-28 09:53:00,97.0,NSE,97.2,97.0,97.2,KPITEC,6248
24,2020-02-28 09:54:00,96.3,NSE,96.9,96.25,96.6,KPITEC,32715
25,2020-02-28 09:55:00,94.7,NSE,96.15,94.5,96.15,KPITEC,28572
26,2020-02-28 09:56:00,95.5,NSE,95.65,94.5,94.7,KPITEC,19783
27,2020-02-28 09:57:00,95.9,NSE,95.9,95.2,95.2,KPITEC,3904
28,2020-02-28 09:58:00,96.65,NSE,96.65,96.0,96.0,KPITEC,8987
29,2020-02-28 09:59:00,95.8,NSE,96.7,95.75,96.5,KPITEC,22714
30,2020-02-28 10:00:00,95.25,NSE,95.7,95.0,95.5,KPITEC,5945
31,2020-02-28 10:01:00,95.75,NSE,95.8,95.1,95.1,KPITEC,3221
32,2020-02-28 10:02:00,95.95,NSE,95.95,95.5,95.55,KPITEC,1842
33,2020-02-28 10:03:00,96.25,NSE,96.25,96.0,96.0,KPITEC,1160
34,2020-02-28 10:04:00,96.15,NSE,96.15,96.0,96.0,KPITEC,4916
35,2020-02-28 10:05:00,96.15,NSE,96.2,96.0,96.2,KPITEC,6906
36,2020-02-28 10:06:00,96.15,NSE,96.2,96.0,96.1,KPITEC,2933
37,2020-02-28 10:07:00,95.95,NSE,96.25,95.95,96.0,KPITEC,9286
38,2020-02-28 10:08:00,96.0,NSE,96.15,95.95,96.05,KPITEC,589
39,2020-02-28 10:09:00,95.8,NSE,96.1,95.5,96.1,KPITEC,3362
40,2020-02-28 10:10:00,95.75,NSE,95.8,95.7,95.8,KPITEC,1760
41,2020-02-28 10:11:00,95.95,NSE,96.0,95.8,95.8,KPITEC,2544
42,2020-02-28 10:12:00,96.2,NSE,96.2,95.9,96.0,KPITEC,880
43,2020-02-28 10:13:00,96.15,NSE,96.2,96.15,96.2,KPITEC,516
44,2020-02-28 10:14:00,96.05,NSE,96.25,96.0,96.15,KPITEC,3446
45,2020-02-28 10:15:00,95.85,NSE,96.25,95.85,96.05,KPITEC,3449
