datetime,close,exchange_code,expiry_date,high,low,open,open_interest,product_type,right,stock_code,strike_price,volume
2023-05-31 09:15:00,9.45,NFO,15-JUN-2023,9.45,9.45,9.45,0,Options,Put,NIFTY,17600.0,0.0
2023-05-31 09:16:00,9.45,NFO,15-JUN-2023,9.45,9.45,9.45,0,Options,Put,NIFTY,17600.0,0.0
2023-05-31 09:17:00,9.45,NFO,15-JUN-2023,9.45,9.45,9.45,0,Options,Put,NIFTY,17600.0,0.0
2023-05-31 09:18:00,9.45,NFO,15-JUN-2023,9.45,9.45,9.45,0,Options,Put,NIFTY,17600.0,0.0
2023-05-31 09:19:00,9.5,NFO,15-JUN-2023,9.5,9.45,9.45,0,Options,Put,NIFTY,17600.0,300.0
2023-05-31 09:20:00,9.5,NFO,15-JUN-2023,9.5,9.5,9.5,0,Options,Put,NIFTY,17600.0,0.0
2023-05-31 09:21:00,9.5,NFO,15-JUN-2023,9.5,9.5,9.5,0,Options,Put,NIFTY,17600.0,0.0
2023-05-31 09:22:00,9.5,NFO,15-JUN-2023,9.5,9.5,9.5,0,Options,Put,NIFTY,17600.0,0.0
2023-05-31 09:23:00,11.4,NFO,15-JUN-2023,11.4,9.5,9.5,11350,Options,Put,NIFTY,17600.0,100.0
2023-05-31 09:24:00,11.4,NFO,15-JUN-2023,11.4,11.4,11.4,11350,Options,Put,NIFTY,17600.0,0.0
2023-05-31 09:25:00,11.4,NFO,15-JUN-2023,11.4,11.4,11.4,11350,Options,Put,NIFTY,17600.0,0.0
2023-05-31 09:26:00,11.4,NFO,15-JUN-2023,11.4,11.4,11.4,11350,Options,Put,NIFTY,17600.0,0.0
2023-05-31 09:27:00,11.4,NFO,15-JUN-2023,11.4,11.4,11.4,11350,Options,Put,NIFTY,17600.0,0.0
2023-05-31 09:28:00,11.4,NFO,15-JUN-2023,11.4,11.4,11.4,11350,Options,Put,NIFTY,17600.0,0.0
2023-05-31 09:29:00,11.1,NFO,15-JUN-2023,11.4,11.1,11.4,11350,Options,Put,NIFTY,17600.0,50.0
2023-05-31 09:30:00,11.1,NFO,15-JUN-2023,11.1,11.1,11.1,11350,Options,Put,NIFTY,17600.0,0.0
2023-05-31 09:31:00,10.75,NFO,15-JUN-2023,10.75,9.65,9.65,11350,Options,Put,NIFTY,17600.0,550.0
2023-05-31 09:32:00,10.75,NFO,15-JUN-2023,10.75,10.75,10.75,11350,Options,Put,NIFTY,17600.0,0.0
2023-05-31 09:33:00,10.75,NFO,15-JUN-2023,10.75,10.75,10.75,11350,Options,Put,NIFTY,17600.0,0.0
2023-05-31 09:34:00,10.75,NFO,15-JUN-2023,10.75,10.75,10.75,11350,Options,Put,NIFTY,17600.0,0.0
2023-05-31 09:35:00,10.75,NFO,15-JUN-2023,10.75,10.75,10.75,11350,Options,Put,NIFTY,17600.0,0.0
