datetime,close,exchange_code,expiry_date,high,low,open,open_interest,product_type,right,stock_code,strike_price,volume
2023-06-01 09:15:00,94.65,NFO,15-JUN-2023,99.3,92.1,99.3,116550,Options,Call,NIFTY,18700.0,800.0
2023-06-01 09:16:00,94.85,NFO,15-JUN-2023,95.65,92.4,94.65,116550,Options,Call,NIFTY,18700.0,650.0
2023-06-01 09:17:00,97.2,NFO,15-JUN-2023,101.2,94.85,94.85,117700,Options,Call,NIFTY,18700.0,4650.0
2023-06-01 09:18:00,98.9,NFO,15-JUN-2023,98.9,94.4,97.2,117700,Options,Call,NIFTY,18700.0,3850.0
2023-06-01 09:19:00,99.6,NFO,15-JUN-2023,101.25,96.8,98.9,117700,Options,Call,NIFTY,18700.0,2750.0
2023-06-01 09:20:00,98.0,NFO,15-JUN-2023,101.25,96.95,99.6,119700,Options,Call,NIFTY,18700.0,2150.0
2023-06-01 09:21:00,97.0,NFO,15-JUN-2023,98.7,97.0,98.0,119700,Options,Call,NIFTY,18700.0,1000.0
2023-06-01 09:22:00,97.45,NFO,15-JUN-2023,97.45,95.05,97.0,119700,Options,Call,NIFTY,18700.0,2850.0
2023-06-01 09:23:00,95.6,NFO,15-JUN-2023,97.45,94.9,97.45,119700,Options,Call,NIFTY,18700.0,1300.0
2023-06-01 09:24:00,94.25,NFO,15-JUN-2023,95.6,92.85,95.6,121400,Options,Call,NIFTY,18700.0,1200.0
2023-06-01 09:25:00,90.75,NFO,15-JUN-2023,94.25,90.75,94.25,121400,Options,Call,NIFTY,18700.0,13450.0
2023-06-01 09:26:00,89.75,NFO,15-JUN-2023,91.4,89.2,90.75,125850,Options,Call,NIFTY,18700.0,2050.0
2023-06-01 09:27:00,89.3,NFO,15-JUN-2023,89.75,89.0,89.75,125850,Options,Call,NIFTY,18700.0,1500.0
2023-06-01 09:28:00,89.55,NFO,15-JUN-2023,89.95,88.55,89.0,125850,Options,Call,NIFTY,18700.0,2150.0
2023-06-01 09:29:00,88.0,NFO,15-JUN-2023,89.55,88.0,89.55,125100,Options,Call,NIFTY,18700.0,1600.0
2023-06-01 09:30:00,89.0,NFO,15-JUN-2023,89.0,86.5,86.6,125100,Options,Call,NIFTY,18700.0,3650.0
2023-06-01 09:31:00,91.7,NFO,15-JUN-2023,91.95,89.0,89.0,125100,Options,Call,NIFTY,18700.0,2150.0
2023-06-01 09:32:00,92.45,NFO,15-JUN-2023,93.15,91.7,91.7,126800,Options,Call,NIFTY,18700.0,1200.0
2023-06-01 09:33:00,96.0,NFO,15-JUN-2023,98.0,92.45,92.45,126800,Options,Call,NIFTY,18700.0,4100.0
2023-06-01 09:34:00,99.25,NFO,15-JUN-2023,101.7,96.0,96.0,126800,Options,Call,NIFTY,18700.0,4650.0
2023-06-01 09:35:00,99.0,NFO,15-JUN-2023,99.75,97.75,99.25,124550,Options,Call,NIFTY,18700.0,2900.0
2023-06-01 09:36:00,101.25,NFO,15-JUN-2023,102.0,98.0,99.0,124550,Options,Call,NIFTY,18700.0,3800.0
2023-06-01 09:37:00,99.75,NFO,15-JUN-2023,101.25,98.65,101.25,124550,Options,Call,NIFTY,18700.0,2100.0
2023-06-01 09:38:00,98.25,NFO,15-JUN-2023,100.4,98.25,99.75,125300,Options,Call,NIFTY,18700.0,900.0
2023-06-01 09:39:00,99.5,NFO,15-JUN-2023,99.5,97.95,98.25,125300,Options,Call,NIFTY,18700.0,2200.0
2023-06-01 09:40:00,97.0,NFO,15-JUN-2023,99.5,96.3,99.5,125300,Options,Call,NIFTY,18700.0,2950.0
2023-06-01 09:41:00,101.9,NFO,15-JUN-2023,101.9,97.0,97.0,127850,Options,Call,NIFTY,18700.0,1000.0
2023-06-01 09:42:00,103.6,NFO,15-JUN-2023,104.9,101.05,101.9,127850,Options,Call,NIFTY,18700.0,2750.0
2023-06-01 09:43:00,103.45,NFO,15-JUN-2023,103.65,101.3,103.6,127850,Options,Call,NIFTY,18700.0,1900.0
2023-06-01 09:44:00,103.15,NFO,15-JUN-2023,104.0,103.15,103.45,127650,Options,Call,NIFTY,18700.0,350.0
2023-06-01 09:45:00,100.7,NFO,15-JUN-2023,104.05,100.7,103.15,127650,Options,Call,NIFTY,18700.0,2450.0
2023-06-01 09:46:00,103.75,NFO,15-JUN-2023,104.9,100.7,100.7,127650,Options,Call,NIFTY,18700.0,2100.0
2023-06-01 09:47:00,104.0,NFO,15-JUN-2023,104.9,103.35,103.75,130450,Options,Call,NIFTY,18700.0,1900.0
2023-06-01 09:48:00,103.6,NFO,15-JUN-2023,104.0,103.3,104.0,130450,Options,Call,NIFTY,18700.0,700.0
2023-06-01 09:49:00,105.0,NFO,15-JUN-2023,105.5,103.6,103.6,130450,Options,Call,NIFTY,18700.0,7950.0
2023-06-01 09:50:00,104.0,NFO,15-JUN-2023,105.95,104.0,105.0,130450,Options,Call,NIFTY,18700.0,1450.0
2023-06-01 09:51:00,105.4,NFO,15-JUN-2023,106.75,104.0,104.0,130950,Options,Call,NIFTY,18700.0,800.0
2023-06-01 09:52:00,105.4,NFO,15-JUN-2023,105.4,105.4,105.4,130950,Options,Call,NIFTY,18700.0,100.0
2023-06-01 09:53:00,105.2,NFO,15-JUN-2023,105.4,105.2,105.4,130950,Options,Call,NIFTY,18700.0,500.0
2023-06-01 09:54:00,107.7,NFO,15-JUN-2023,108.5,105.2,105.2,131050,Options,Call,NIFTY,18700.0,800.0
2023-06-01 09:55:00,108.2,NFO,15-JUN-2023,109.05,106.65,107.7,131050,Options,Call,NIFTY,18700.0,2100.0
2023-06-01 09:56:00,104.1,NFO,15-JUN-2023,108.2,104.1,108.2,131050,Options,Call,NIFTY,18700.0,150.0
2023-06-01 09:57:00,106.65,NFO,15-JUN-2023,106.65,104.1,104.1,130000,Options,Call,NIFTY,18700.0,1700.0
2023-06-01 09:58:00,107.75,NFO,15-JUN-2023,107.75,105.4,106.65,130000,Options,Call,NIFTY,18700.0,300.0
2023-06-01 09:59:00,106.0,NFO,15-JUN-2023,108.15,106.0,107.75,130000,Options,Call,NIFTY,18700.0,1600.0
2023-06-01 10:00:00,105.1,NFO,15-JUN-2023,106.5,105.1,106.0,131350,Options,Call,NIFTY,18700.0,150.0
2023-06-01 10:01:00,104.0,NFO,15-JUN-2023,105.1,102.5,105.1,131350,Options,Call,NIFTY,18700.0,2100.0
2023-06-01 10:02:00,103.15,NFO,15-JUN-2023,104.0,103.0,104.0,131300,Options,Call,NIFTY,18700.0,350.0
2023-06-01 10:03:00,104.05,NFO,15-JUN-2023,104.05,103.0,103.15,131300,Options,Call,NIFTY,18700.0,250.0
2023-06-01 10:04:00,105.7,NFO,15-JUN-2023,106.0,105.7,106.0,131300,Options,Call,NIFTY,18700.0,150.0
2023-06-01 10:05:00,106.45,NFO,15-JUN-2023,106.85,105.7,105.7,131300,Options,Call,NIFTY,18700.0,650.0
2023-06-01 10:06:00,104.2,NFO,15-JUN-2023,106.45,103.45,106.45,131250,Options,Call,NIFTY,18700.0,350.0
2023-06-01 10:07:00,101.0,NFO,15-JUN-2023,104.2,101.0,104.2,131250,Options,Call,NIFTY,18700.0,500.0
2023-06-01 10:08:00,102.0,NFO,15-JUN-2023,102.0,100.85,101.0,131250,Options,Call,NIFTY,18700.0,300.0
2023-06-01 10:09:00,103.65,NFO,15-JUN-2023,103.65,102.0,102.0,131750,Options,Call,NIFTY,18700.0,500.0
2023-06-01 10:10:00,102.2,NFO,15-JUN-2023,103.65,101.75,103.65,131750,Options,Call,NIFTY,18700.0,750.0
2023-06-01 10:11:00,102.6,NFO,15-JUN-2023,102.8,101.55,102.2,132350,Options,Call,NIFTY,18700.0,600.0
2023-06-01 10:12:00,102.0,NFO,15-JUN-2023,102.6,102.0,102.6,132350,Options,Call,NIFTY,18700.0,1200.0
2023-06-01 10:13:00,99.85,NFO,15-JUN-2023,102.0,99.85,102.0,132350,Options,Call,NIFTY,18700.0,2750.0
2023-06-01 10:14:00,100.0,NFO,15-JUN-2023,101.0,99.85,99.85,133400,Options,Call,NIFTY,18700.0,1450.0
2023-06-01 10:15:00,98.2,NFO,15-JUN-2023,100.0,97.45,100.0,133400,Options,Call,NIFTY,18700.0,2400.0
2023-06-01 10:16:00,99.45,NFO,15-JUN-2023,99.7,98.1,98.2,133400,Options,Call,NIFTY,18700.0,350.0
2023-06-01 10:17:00,98.25,NFO,15-JUN-2023,99.55,98.15,99.45,133400,Options,Call,NIFTY,18700.0,1700.0
2023-06-01 10:18:00,98.6,NFO,15-JUN-2023,98.65,98.25,98.25,133750,Options,Call,NIFTY,18700.0,650.0
2023-06-01 10:19:00,98.0,NFO,15-JUN-2023,98.6,97.5,98.6,133750,Options,Call,NIFTY,18700.0,750.0
2023-06-01 10:20:00,99.3,NFO,15-JUN-2023,99.3,98.0,98.0,133750,Options,Call,NIFTY,18700.0,250.0
2023-06-01 10:21:00,99.2,NFO,15-JUN-2023,100.95,99.2,99.3,135250,Options,Call,NIFTY,18700.0,400.0
2023-06-01 10:22:00,98.6,NFO,15-JUN-2023,99.2,98.6,99.2,135250,Options,Call,NIFTY,18700.0,50.0
2023-06-01 10:23:00,97.0,NFO,15-JUN-2023,98.95,95.0,98.6,135200,Options,Call,NIFTY,18700.0,4850.0
2023-06-01 10:24:00,97.8,NFO,15-JUN-2023,97.8,96.6,97.0,135200,Options,Call,NIFTY,18700.0,400.0
2023-06-01 10:25:00,98.0,NFO,15-JUN-2023,98.0,96.85,97.8,135200,Options,Call,NIFTY,18700.0,150.0
2023-06-01 10:26:00,99.6,NFO,15-JUN-2023,99.6,98.0,98.0,135700,Options,Call,NIFTY,18700.0,650.0
2023-06-01 10:27:00,100.05,NFO,15-JUN-2023,100.05,99.6,99.6,135700,Options,Call,NIFTY,18700.0,50.0
2023-06-01 10:28:00,100.05,NFO,15-JUN-2023,101.2,100.05,100.05,135700,Options,Call,NIFTY,18700.0,200.0
2023-06-01 10:29:00,100.45,NFO,15-JUN-2023,100.5,100.05,100.05,135700,Options,Call,NIFTY,18700.0,450.0
2023-06-01 10:30:00,99.75,NFO,15-JUN-2023,100.45,99.75,100.45,135250,Options,Call,NIFTY,18700.0,100.0
2023-06-01 10:31:00,98.05,NFO,15-JUN-2023,99.75,96.0,99.75,135250,Options,Call,NIFTY,18700.0,1350.0
2023-06-01 10:32:00,99.9,NFO,15-JUN-2023,99.9,98.05,98.05,135250,Options,Call,NIFTY,18700.0,750.0
2023-06-01 10:33:00,99.65,NFO,15-JUN-2023,99.9,99.65,99.9,135250,Options,Call,NIFTY,18700.0,50.0
