,datetime,close,exchange_code,high,low,open,stock_code,volume
0,2020-06-29 09:30:00,624.45,NSE,626.45,624.45,626.45,PERSYS,80
1,2020-06-29 09:31:00,624.0,NSE,624.45,624.0,624.45,PERSYS,191
2,2020-06-29 09:32:00,624.95,NSE,626.45,624.0,624.0,PERSYS,444
3,2020-06-29 09:33:00,625.0,NSE,625.0,625.0,625.0,PERSYS,113
4,2020-06-29 09:34:00,625.7,NSE,625.7,624.0,624.25,PERSYS,128
5,2020-06-29 09:35:00,625.0,NSE,625.95,625.0,625.95,PERSYS,95
6,2020-06-29 09:37:00,625.0,NSE,625.95,625.0,625.0,PERSYS,87
7,2020-06-29 09:38:00,625.75,NSE,625.75,625.0,625.0,PERSYS,80
8,2020-06-29 09:39:00,627.4,NSE,627.4,627.0,627.1,PERSYS,128
9,2020-06-29 09:40:00,627.8,NSE,627.8,627.0,627.5,PERSYS,17
10,2020-06-29 09:41:00,628.45,NSE,628.45,627.8,627.8,PERSYS,101
11,2020-06-29 09:42:00,628.7,NSE,629.65,628.45,628.7,PERSYS,61
12,2020-06-29 09:43:00,629.6,NSE,629.6,628.75,629.6,PERSYS,66
13,2020-06-29 09:44:00,628.0,NSE,629.5,628.0,629.5,PERSYS,156
14,2020-06-29 09:45:00,627.95,NSE,627.95,627.0,627.6,PERSYS,228
15,2020-06-29 09:46:00,628.5,NSE,628.55,627.0,627.0,PERSYS,168
16,2020-06-29 09:47:00,627.05,NSE,628.85,627.0,627.0,PERSYS,98
17,2020-06-29 09:48:00,628.45,NSE,628.45,627.05,627.05,PERSYS,65
18,2020-06-29 09:49:00,628.3,NSE,628.4,627.5,627.5,PERSYS,9
19,2020-06-29 09:50:00,627.25,NSE,627.25,627.25,627.25,PERSYS,143
20,2020-06-29 09:51:00,625.0,NSE,629.2,625.0,627.3,PERSYS,575
21,2020-06-29 09:52:00,625.0,NSE,625.0,625.0,625.0,PERSYS,35
22,2020-06-29 09:53:00,625.0,NSE,625.7,625.0,625.7,PERSYS,39
23,2020-06-29 09:54:00,625.0,NSE,625.0,625.0,625.0,PERSYS,122
24,2020-06-29 09:55:00,626.3,NSE,626.3,625.0,625.0,PERSYS,172
25,2020-06-29 09:56:00,625.0,NSE,625.0,625.0,625.0,PERSYS,11
26,2020-06-29 09:57:00,628.0,NSE,628.0,626.3,626.35,PERSYS,971
27,2020-06-29 09:58:00,628.1,NSE,629.2,628.1,629.2,PERSYS,96
28,2020-06-29 09:59:00,628.2,NSE,628.2,627.95,628.0,PERSYS,186
29,2020-06-29 10:00:00,629.45,NSE,629.45,628.5,628.5,PERSYS,35
30,2020-06-29 10:01:00,627.5,NSE,629.45,627.5,629.45,PERSYS,458
31,2020-06-29 10:02:00,627.55,NSE,628.4,627.55,627.95,PERSYS,89
32,2020-06-29 10:03:00,629.95,NSE,630.0,628.1,628.1,PERSYS,527
33,2020-06-29 10:04:00,629.95,NSE,629.95,629.95,629.95,PERSYS,17
34,2020-06-29 10:05:00,628.8,NSE,628.8,628.7,628.7,PERSYS,35
35,2020-06-29 10:06:00,628.3,NSE,628.3,628.3,628.3,PERSYS,18
36,2020-06-29 10:07:00,628.95,NSE,629.55,628.15,628.15,PERSYS,24
37,2020-06-29 10:08:00,628.55,NSE,629.0,628.15,629.0,PERSYS,580
38,2020-06-29 10:09:00,628.95,NSE,628.95,628.9,628.9,PERSYS,28
39,2020-06-29 10:10:00,628.1,NSE,628.1,628.1,628.1,PERSYS,35
40,2020-06-29 10:11:00,628.65,NSE,629.65,628.65,629.65,PERSYS,3
41,2020-06-29 10:13:00,629.2,NSE,629.2,629.2,629.2,PERSYS,1
42,2020-06-29 10:14:00,629.2,NSE,629.2,628.1,628.1,PERSYS,61
43,2020-06-29 10:15:00,628.15,NSE,629.1,628.15,629.1,PERSYS,3
44,2020-06-29 10:16:00,628.15,NSE,628.15,628.15,628.15,PERSYS,5
45,2020-06-29 10:17:00,629.25,NSE,629.25,629.0,629.0,PERSYS,106
46,2020-06-29 10:18:00,629.05,NSE,629.7,628.65,629.7,PERSYS,23
47,2020-06-29 10:19:00,628.7,NSE,628.7,628.7,628.7,PERSYS,5
48,2020-06-29 10:20:00,629.6,NSE,629.6,629.6,629.6,PERSYS,4
49,2020-06-29 10:21:00,629.55,NSE,629.55,629.55,629.55,PERSYS,7
50,2020-06-29 10:22:00,631.45,NSE,631.45,630.4,630.7,PERSYS,195
51,2020-06-29 10:23:00,630.35,NSE,631.7,630.15,631.0,PERSYS,96
52,2020-06-29 10:24:00,633.95,NSE,633.95,632.35,632.35,PERSYS,1239
53,2020-06-29 10:25:00,633.75,NSE,634.6,633.75,634.1,PERSYS,1084
54,2020-06-29 10:26:00,632.65,NSE,634.0,632.65,634.0,PERSYS,62
55,2020-06-29 10:27:00,634.45,NSE,634.45,631.5,632.5,PERSYS,383
56,2020-06-29 10:28:00,632.1,NSE,632.15,632.0,632.15,PERSYS,70
57,2020-06-29 10:29:00,631.85,NSE,633.75,631.85,631.95,PERSYS,55
58,2020-06-29 10:30:00,632.95,NSE,633.45,631.6,633.45,PERSYS,36
59,2020-06-29 10:31:00,632.95,NSE,632.95,631.6,632.9,PERSYS,65
60,2020-06-29 10:32:00,631.6,NSE,632.9,631.6,632.9,PERSYS,25
61,2020-06-29 10:33:00,631.05,NSE,631.5,630.75,631.5,PERSYS,63
62,2020-06-29 10:34:00,631.95,NSE,631.95,630.75,630.75,PERSYS,24
63,2020-06-29 10:35:00,630.3,NSE,631.85,630.3,630.8,PERSYS,540
64,2020-06-29 10:36:00,631.25,NSE,631.25,630.1,630.1,PERSYS,42
65,2020-06-29 10:37:00,630.3,NSE,631.25,630.3,631.25,PERSYS,73
66,2020-06-29 10:38:00,630.9,NSE,630.9,630.4,630.4,PERSYS,39
67,2020-06-29 10:39:00,631.0,NSE,631.25,631.0,631.0,PERSYS,329
68,2020-06-29 10:40:00,631.25,NSE,631.25,630.4,630.4,PERSYS,28
69,2020-06-29 10:41:00,631.85,NSE,632.0,631.0,632.0,PERSYS,130
70,2020-06-29 10:42:00,630.85,NSE,631.85,630.8,631.85,PERSYS,47
71,2020-06-29 10:43:00,631.85,NSE,631.85,631.85,631.85,PERSYS,1
72,2020-06-29 10:44:00,631.0,NSE,632.0,630.8,631.95,PERSYS,52
73,2020-06-29 10:45:00,631.1,NSE,631.9,630.85,631.0,PERSYS,27
74,2020-06-29 10:46:00,631.05,NSE,631.05,631.05,631.05,PERSYS,20
75,2020-06-29 10:47:00,630.9,NSE,631.1,630.9,631.1,PERSYS,26
76,2020-06-29 10:48:00,630.7,NSE,630.9,630.55,630.9,PERSYS,42
77,2020-06-29 10:49:00,630.7,NSE,630.7,630.7,630.7,PERSYS,3
78,2020-06-29 10:50:00,630.95,NSE,630.95,630.9,630.9,PERSYS,40
79,2020-06-29 10:51:00,631.05,NSE,631.45,631.05,631.45,PERSYS,18
80,2020-06-29 10:52:00,631.1,NSE,631.5,631.1,631.5,PERSYS,21
81,2020-06-29 10:54:00,631.1,NSE,631.1,631.05,631.05,PERSYS,70
82,2020-06-29 10:56:00,630.5,NSE,631.0,630.5,631.0,PERSYS,128
83,2020-06-29 10:57:00,630.4,NSE,631.0,630.4,630.95,PERSYS,106
84,2020-06-29 10:58:00,630.95,NSE,630.95,630.4,630.4,PERSYS,38
85,2020-06-29 10:59:00,630.45,NSE,630.45,630.45,630.45,PERSYS,2
86,2020-06-29 11:00:00,631.6,NSE,631.8,631.6,631.75,PERSYS,460
87,2020-06-29 11:01:00,631.25,NSE,631.25,631.25,631.25,PERSYS,19
88,2020-06-29 11:02:00,631.15,NSE,632.0,631.15,631.25,PERSYS,48
89,2020-06-29 11:04:00,631.5,NSE,631.95,631.5,631.95,PERSYS,32
90,2020-06-29 11:05:00,631.6,NSE,631.6,631.15,631.5,PERSYS,36
91,2020-06-29 11:06:00,631.45,NSE,631.6,631.15,631.6,PERSYS,71
92,2020-06-29 11:07:00,632.0,NSE,632.0,631.45,631.45,PERSYS,116
93,2020-06-29 11:08:00,631.15,NSE,632.0,631.15,632.0,PERSYS,147
94,2020-06-29 11:11:00,632.0,NSE,632.0,631.5,631.5,PERSYS,29
95,2020-06-29 11:12:00,631.25,NSE,632.0,631.25,632.0,PERSYS,19
96,2020-06-29 11:13:00,631.15,NSE,632.0,631.15,631.3,PERSYS,131
97,2020-06-29 11:14:00,630.4,NSE,630.45,630.4,630.45,PERSYS,28
98,2020-06-29 11:15:00,631.0,NSE,631.0,630.0,630.0,PERSYS,1052
99,2020-06-29 11:16:00,629.75,NSE,631.0,629.75,631.0,PERSYS,156
100,2020-06-29 11:17:00,630.05,NSE,630.05,630.05,630.05,PERSYS,20
101,2020-06-29 11:18:00,630.0,NSE,630.8,630.0,630.8,PERSYS,27
102,2020-06-29 11:19:00,630.15,NSE,630.8,630.0,630.0,PERSYS,38
103,2020-06-29 11:20:00,631.1,NSE,631.1,630.0,630.15,PERSYS,72
104,2020-06-29 11:21:00,630.35,NSE,630.35,630.15,630.15,PERSYS,26
105,2020-06-29 11:22:00,630.3,NSE,630.3,630.3,630.3,PERSYS,31
106,2020-06-29 11:23:00,630.0,NSE,630.05,629.8,630.05,PERSYS,1806
107,2020-06-29 11:24:00,631.6,NSE,631.65,630.0,630.0,PERSYS,93
108,2020-06-29 11:25:00,630.6,NSE,631.2,630.05,630.05,PERSYS,46
109,2020-06-29 11:26:00,630.0,NSE,631.4,630.0,630.0,PERSYS,326
110,2020-06-29 11:27:00,630.0,NSE,630.0,630.0,630.0,PERSYS,111
111,2020-06-29 11:28:00,631.0,NSE,631.0,630.0,630.0,PERSYS,59
112,2020-06-29 11:29:00,630.05,NSE,630.05,630.05,630.05,PERSYS,39
113,2020-06-29 11:30:00,630.0,NSE,630.0,630.0,630.0,PERSYS,22
114,2020-06-29 11:31:00,630.0,NSE,630.0,630.0,630.0,PERSYS,58
115,2020-06-29 11:32:00,630.95,NSE,631.3,630.0,630.0,PERSYS,159
116,2020-06-29 11:33:00,630.8,NSE,630.8,630.1,630.1,PERSYS,24
117,2020-06-29 11:34:00,630.15,NSE,630.8,630.15,630.8,PERSYS,19
118,2020-06-29 11:35:00,630.05,NSE,630.75,630.0,630.0,PERSYS,112
119,2020-06-29 11:36:00,630.0,NSE,630.95,630.0,630.95,PERSYS,536
120,2020-06-29 11:37:00,630.6,NSE,630.6,630.0,630.0,PERSYS,1050
121,2020-06-29 11:38:00,631.4,NSE,632.05,631.4,631.5,PERSYS,372
122,2020-06-29 11:39:00,631.5,NSE,631.5,630.9,630.9,PERSYS,132
123,2020-06-29 11:40:00,630.95,NSE,631.0,630.95,631.0,PERSYS,42
124,2020-06-29 11:41:00,630.8,NSE,632.25,630.8,632.25,PERSYS,35
125,2020-06-29 11:42:00,630.35,NSE,630.35,630.35,630.35,PERSYS,27
126,2020-06-29 11:43:00,630.1,NSE,631.5,630.05,631.5,PERSYS,55
127,2020-06-29 11:44:00,631.0,NSE,631.0,630.05,630.05,PERSYS,3
128,2020-06-29 11:45:00,630.85,NSE,630.85,630.85,630.85,PERSYS,5
129,2020-06-29 11:46:00,630.05,NSE,630.05,630.05,630.05,PERSYS,13
130,2020-06-29 11:47:00,630.05,NSE,630.8,630.05,630.8,PERSYS,624
131,2020-06-29 11:48:00,630.05,NSE,630.05,630.05,630.05,PERSYS,21
132,2020-06-29 11:49:00,630.15,NSE,630.15,630.05,630.05,PERSYS,25
133,2020-06-29 11:51:00,630.2,NSE,630.8,630.2,630.8,PERSYS,72
134,2020-06-29 11:52:00,630.8,NSE,630.8,630.8,630.8,PERSYS,3
135,2020-06-29 11:56:00,630.5,NSE,630.8,630.2,630.2,PERSYS,66
136,2020-06-29 11:57:00,630.5,NSE,630.5,630.5,630.5,PERSYS,2
137,2020-06-29 11:58:00,630.2,NSE,630.8,630.2,630.8,PERSYS,21
138,2020-06-29 12:00:00,630.05,NSE,630.2,630.05,630.2,PERSYS,69
139,2020-06-29 12:01:00,630.8,NSE,631.0,630.05,630.05,PERSYS,126
140,2020-06-29 12:02:00,630.1,NSE,630.1,630.1,630.1,PERSYS,9
141,2020-06-29 12:03:00,630.05,NSE,630.05,630.05,630.05,PERSYS,54
142,2020-06-29 12:04:00,630.0,NSE,630.0,630.0,630.0,PERSYS,169
