,datetime,close,exchange_code,high,low,open,stock_code,volume
0,2024-05-31 09:30:00,502.6,NSE,505.1,502.6,505.05,POWFIN,140974
1,2024-05-31 09:31:00,501.95,NSE,502.7,501.55,502.5,POWFIN,168331
2,2024-05-31 09:32:00,502.25,NSE,502.85,500.75,502.05,POWFIN,156240
3,2024-05-31 09:33:00,502.0,NSE,502.75,501.75,502.4,POWFIN,181548
4,2024-05-31 09:34:00,501.25,NSE,502.0,500.55,502.0,POWFIN,144359
5,2024-05-31 09:35:00,499.75,NSE,501.3,499.75,501.3,POWFIN,178037
6,2024-05-31 09:36:00,501.05,NSE,501.15,499.15,499.95,POWFIN,120194
7,2024-05-31 09:37:00,499.45,NSE,501.45,499.3,501.4,POWFIN,140322
8,2024-05-31 09:38:00,499.65,NSE,499.9,498.7,499.7,POWFIN,79380
9,2024-05-31 09:39:00,498.2,NSE,499.4,498.2,499.4,POWFIN,104273
10,2024-05-31 09:40:00,499.55,NSE,499.9,497.7,498.0,POWFIN,121428
11,2024-05-31 09:41:00,497.5,NSE,499.25,497.5,499.15,POWFIN,127888
12,2024-05-31 09:42:00,496.05,NSE,497.45,495.15,497.45,POWFIN,149275
13,2024-05-31 09:43:00,496.5,NSE,496.5,495.4,496.0,POWFIN,89426
14,2024-05-31 09:44:00,495.45,NSE,496.55,494.8,496.5,POWFIN,79889
15,2024-05-31 09:45:00,493.6,NSE,495.9,493.6,495.25,POWFIN,71074
16,2024-05-31 09:46:00,493.8,NSE,494.2,492.75,493.7,POWFIN,258392
17,2024-05-31 09:47:00,492.3,NSE,493.85,492.0,493.5,POWFIN,105333
18,2024-05-31 09:48:00,491.35,NSE,492.25,491.0,492.1,POWFIN,114195
19,2024-05-31 09:49:00,493.4,NSE,493.4,491.0,491.05,POWFIN,100199
20,2024-05-31 09:50:00,492.55,NSE,493.5,491.75,493.4,POWFIN,75138
21,2024-05-31 09:51:00,490.1,NSE,492.5,490.1,492.5,POWFIN,110588
22,2024-05-31 09:52:00,489.5,NSE,491.45,489.5,490.15,POWFIN,136854
23,2024-05-31 09:53:00,489.65,NSE,489.9,488.85,489.2,POWFIN,197345
24,2024-05-31 09:54:00,489.25,NSE,489.95,488.95,489.55,POWFIN,97658
25,2024-05-31 09:55:00,489.6,NSE,490.0,488.05,489.2,POWFIN,210976
26,2024-05-31 09:56:00,490.0,NSE,490.7,489.35,489.75,POWFIN,116351
27,2024-05-31 09:57:00,489.1,NSE,490.0,489.0,490.0,POWFIN,75694
28,2024-05-31 09:58:00,486.85,NSE,489.15,486.85,489.15,POWFIN,163851
29,2024-05-31 09:59:00,486.15,NSE,486.8,485.7,486.8,POWFIN,182675
30,2024-05-31 10:00:00,485.2,NSE,486.8,485.2,486.0,POWFIN,113951
31,2024-05-31 10:01:00,485.45,NSE,486.0,485.05,485.15,POWFIN,185803
32,2024-05-31 10:02:00,486.6,NSE,487.75,485.45,485.45,POWFIN,169171
33,2024-05-31 10:03:00,484.6,NSE,486.55,484.6,486.45,POWFIN,86773
34,2024-05-31 10:04:00,484.2,NSE,484.6,484.0,484.55,POWFIN,117855
35,2024-05-31 10:05:00,483.8,NSE,485.4,483.5,484.35,POWFIN,141128
36,2024-05-31 10:06:00,485.05,NSE,485.55,483.6,483.8,POWFIN,137755
37,2024-05-31 10:07:00,484.2,NSE,484.9,484.05,484.85,POWFIN,80557
38,2024-05-31 10:08:00,484.6,NSE,484.85,483.05,484.0,POWFIN,161547
39,2024-05-31 10:09:00,484.0,NSE,485.1,483.6,484.8,POWFIN,130966
40,2024-05-31 10:10:00,482.3,NSE,484.25,482.2,483.7,POWFIN,210827
41,2024-05-31 10:11:00,481.7,NSE,483.0,481.45,482.9,POWFIN,584322
42,2024-05-31 10:12:00,481.4,NSE,482.15,481.0,481.7,POWFIN,225577
43,2024-05-31 10:13:00,480.2,NSE,481.5,480.0,481.45,POWFIN,178445
44,2024-05-31 10:14:00,480.15,NSE,480.55,479.8,480.35,POWFIN,162975
45,2024-05-31 10:15:00,480.05,NSE,480.5,479.55,479.9,POWFIN,103521
46,2024-05-31 10:16:00,483.6,NSE,483.6,479.9,480.05,POWFIN,138449
47,2024-05-31 10:17:00,483.4,NSE,483.95,482.55,483.25,POWFIN,182333
48,2024-05-31 10:18:00,485.0,NSE,485.35,483.5,483.5,POWFIN,160194
49,2024-05-31 10:19:00,484.65,NSE,485.25,484.05,485.05,POWFIN,124027
