,datetime,close,exchange_code,high,low,open,stock_code,volume
0,2021-07-05 09:15:00,171.83,NSE,172.13,171.26,171.98,POWGRI,254364
1,2021-07-05 09:16:00,172.2,NSE,172.39,171.83,171.9,POWGRI,101712
2,2021-07-05 09:17:00,172.01,NSE,172.16,171.98,171.98,POWGRI,83832
3,2021-07-05 09:18:00,172.2,NSE,172.24,172.01,172.01,POWGRI,100788
4,2021-07-05 09:19:00,172.13,NSE,172.2,172.05,172.2,POWGRI,33149
5,2021-07-05 09:20:00,172.09,NSE,172.16,172.09,172.16,POWGRI,60077
6,2021-07-05 09:21:00,172.16,NSE,172.16,172.09,172.09,POWGRI,65588
7,2021-07-05 09:22:00,172.09,NSE,172.13,172.05,172.13,POWGRI,33492
8,2021-07-05 09:23:00,172.28,NSE,172.28,172.13,172.13,POWGRI,41792
9,2021-07-05 09:24:00,172.39,NSE,172.39,172.24,172.24,POWGRI,30809
10,2021-07-05 09:25:00,172.54,NSE,172.65,172.35,172.35,POWGRI,122697
11,2021-07-05 09:26:00,172.8,NSE,172.84,172.5,172.5,POWGRI,78180
12,2021-07-05 09:27:00,172.88,NSE,172.88,172.65,172.8,POWGRI,93573
13,2021-07-05 09:28:00,172.76,NSE,172.88,172.76,172.88,POWGRI,29693
14,2021-07-05 09:29:00,172.84,NSE,172.84,172.73,172.73,POWGRI,25993
15,2021-07-05 09:30:00,172.73,NSE,172.99,172.73,172.84,POWGRI,61183
16,2021-07-05 09:31:00,172.58,NSE,172.73,172.54,172.73,POWGRI,37109
17,2021-07-05 09:32:00,172.54,NSE,172.58,172.5,172.58,POWGRI,9425
18,2021-07-05 09:33:00,172.43,NSE,172.58,172.43,172.54,POWGRI,62999
19,2021-07-05 09:34:00,172.35,NSE,172.5,172.31,172.39,POWGRI,42127
20,2021-07-05 09:35:00,172.2,NSE,172.35,172.16,172.31,POWGRI,26755
21,2021-07-05 09:36:00,172.13,NSE,172.2,172.13,172.16,POWGRI,28265
22,2021-07-05 09:37:00,172.16,NSE,172.2,172.13,172.13,POWGRI,28855
23,2021-07-05 09:38:00,172.31,NSE,172.31,172.16,172.2,POWGRI,19027
24,2021-07-05 09:39:00,172.39,NSE,172.39,172.28,172.31,POWGRI,13627
25,2021-07-05 09:40:00,172.2,NSE,172.39,172.2,172.39,POWGRI,23109
26,2021-07-05 09:41:00,172.28,NSE,172.28,172.2,172.2,POWGRI,5133
27,2021-07-05 09:42:00,172.2,NSE,172.28,172.2,172.28,POWGRI,22036
28,2021-07-05 09:43:00,172.2,NSE,172.2,172.13,172.2,POWGRI,9849
29,2021-07-05 09:44:00,172.16,NSE,172.2,172.16,172.2,POWGRI,8253
30,2021-07-05 09:45:00,172.13,NSE,172.2,172.13,172.16,POWGRI,25005
31,2021-07-05 09:46:00,172.16,NSE,172.16,172.01,172.01,POWGRI,16229
32,2021-07-05 09:47:00,172.2,NSE,172.2,172.13,172.13,POWGRI,12629
33,2021-07-05 09:48:00,172.09,NSE,172.16,172.09,172.13,POWGRI,11081
34,2021-07-05 09:49:00,172.09,NSE,172.13,172.09,172.09,POWGRI,5779
35,2021-07-05 09:50:00,172.16,NSE,172.16,172.09,172.09,POWGRI,9295
36,2021-07-05 09:51:00,172.16,NSE,172.16,172.13,172.13,POWGRI,17825
37,2021-07-05 09:52:00,172.16,NSE,172.2,172.13,172.16,POWGRI,4072
38,2021-07-05 09:53:00,172.2,NSE,172.2,172.16,172.16,POWGRI,1116
39,2021-07-05 09:54:00,172.31,NSE,172.31,172.24,172.24,POWGRI,19268
40,2021-07-05 09:55:00,172.31,NSE,172.31,172.28,172.28,POWGRI,2864
41,2021-07-05 09:56:00,172.24,NSE,172.28,172.24,172.28,POWGRI,13476
42,2021-07-05 09:57:00,172.35,NSE,172.43,172.24,172.24,POWGRI,10389
43,2021-07-05 09:58:00,172.46,NSE,172.46,172.39,172.39,POWGRI,5960
44,2021-07-05 09:59:00,172.5,NSE,172.54,172.46,172.46,POWGRI,14831
45,2021-07-05 10:00:00,172.65,NSE,172.65,172.5,172.58,POWGRI,13617
46,2021-07-05 10:01:00,172.76,NSE,172.76,172.61,172.65,POWGRI,32163
47,2021-07-05 10:02:00,172.84,NSE,172.84,172.76,172.76,POWGRI,16064
48,2021-07-05 10:03:00,172.76,NSE,172.8,172.61,172.8,POWGRI,13053
49,2021-07-05 10:04:00,172.8,NSE,172.8,172.69,172.76,POWGRI,28587
50,2021-07-05 10:05:00,172.69,NSE,172.8,172.65,172.76,POWGRI,9181
51,2021-07-05 10:06:00,172.65,NSE,172.73,172.61,172.73,POWGRI,9845
52,2021-07-05 10:07:00,172.65,NSE,172.69,172.61,172.65,POWGRI,9605
53,2021-07-05 10:08:00,172.65,NSE,172.69,172.61,172.61,POWGRI,4984
54,2021-07-05 10:09:00,172.65,NSE,172.69,172.65,172.65,POWGRI,5736
55,2021-07-05 10:10:00,172.61,NSE,172.65,172.58,172.65,POWGRI,6476
56,2021-07-05 10:11:00,172.61,NSE,172.61,172.58,172.58,POWGRI,8601
57,2021-07-05 10:12:00,172.61,NSE,172.61,172.58,172.61,POWGRI,8533
58,2021-07-05 10:13:00,172.8,NSE,172.88,172.58,172.58,POWGRI,26440
59,2021-07-05 10:14:00,172.61,NSE,172.88,172.61,172.88,POWGRI,13367
60,2021-07-05 10:15:00,172.58,NSE,172.65,172.5,172.65,POWGRI,4555
61,2021-07-05 10:16:00,172.5,NSE,172.54,172.5,172.5,POWGRI,2559
62,2021-07-05 10:17:00,172.43,NSE,172.46,172.39,172.46,POWGRI,11177
63,2021-07-05 10:18:00,172.46,NSE,172.46,172.43,172.46,POWGRI,3811
64,2021-07-05 10:19:00,172.46,NSE,172.5,172.43,172.43,POWGRI,17168
65,2021-07-05 10:20:00,172.46,NSE,172.54,172.43,172.5,POWGRI,13677
66,2021-07-05 10:21:00,172.58,NSE,172.61,172.43,172.43,POWGRI,14061
67,2021-07-05 10:22:00,172.61,NSE,172.65,172.5,172.61,POWGRI,19468
68,2021-07-05 10:23:00,172.61,NSE,172.65,172.54,172.54,POWGRI,6700
69,2021-07-05 10:24:00,172.8,NSE,172.88,172.58,172.61,POWGRI,24788
70,2021-07-05 10:25:00,172.88,NSE,172.88,172.76,172.84,POWGRI,12452
71,2021-07-05 10:26:00,172.84,NSE,172.91,172.8,172.8,POWGRI,33635
72,2021-07-05 10:27:00,172.76,NSE,172.88,172.76,172.88,POWGRI,10891
73,2021-07-05 10:28:00,172.88,NSE,172.88,172.76,172.76,POWGRI,11377
74,2021-07-05 10:29:00,172.91,NSE,172.91,172.76,172.8,POWGRI,9251
75,2021-07-05 10:30:00,172.91,NSE,172.95,172.88,172.88,POWGRI,16717
76,2021-07-05 10:31:00,172.95,NSE,172.99,172.88,172.95,POWGRI,31423
77,2021-07-05 10:32:00,172.99,NSE,172.99,172.91,172.91,POWGRI,28627
78,2021-07-05 10:33:00,173.1,NSE,173.1,172.95,172.95,POWGRI,30892
79,2021-07-05 10:34:00,173.06,NSE,173.1,173.03,173.06,POWGRI,29307
80,2021-07-05 10:35:00,173.18,NSE,173.18,173.03,173.06,POWGRI,18307
81,2021-07-05 10:36:00,173.1,NSE,173.14,173.06,173.14,POWGRI,10601
82,2021-07-05 10:37:00,173.1,NSE,173.14,173.1,173.1,POWGRI,13975
83,2021-07-05 10:38:00,173.1,NSE,173.14,173.1,173.14,POWGRI,14080
84,2021-07-05 10:39:00,173.06,NSE,173.14,173.06,173.1,POWGRI,10548
85,2021-07-05 10:40:00,173.06,NSE,173.1,172.99,173.1,POWGRI,7699
86,2021-07-05 10:41:00,172.91,NSE,173.1,172.91,173.1,POWGRI,14676
87,2021-07-05 10:42:00,172.88,NSE,172.91,172.88,172.91,POWGRI,4813
88,2021-07-05 10:43:00,172.91,NSE,172.91,172.88,172.88,POWGRI,6195
89,2021-07-05 10:44:00,172.88,NSE,172.91,172.88,172.91,POWGRI,2823
90,2021-07-05 10:45:00,172.88,NSE,172.91,172.88,172.91,POWGRI,9205
91,2021-07-05 10:46:00,172.91,NSE,172.91,172.76,172.91,POWGRI,27620
92,2021-07-05 10:47:00,172.95,NSE,173.03,172.91,172.95,POWGRI,8292
93,2021-07-05 10:48:00,172.95,NSE,172.99,172.91,172.95,POWGRI,12741
94,2021-07-05 10:49:00,172.95,NSE,173.03,172.95,172.95,POWGRI,6684
95,2021-07-05 10:50:00,172.95,NSE,172.99,172.88,172.99,POWGRI,3291
96,2021-07-05 10:51:00,172.91,NSE,172.91,172.88,172.88,POWGRI,2273
97,2021-07-05 10:52:00,172.91,NSE,172.91,172.88,172.91,POWGRI,2185
98,2021-07-05 10:53:00,172.84,NSE,172.88,172.84,172.88,POWGRI,12203
99,2021-07-05 10:54:00,172.91,NSE,172.95,172.8,172.84,POWGRI,34995
