datetime,close,exchange_code,high,low,open,stock_code,volume
2020-09-03 09:30:00,717.7,NSE,718.95,717.7,718.95,RAMCEM,1899
2020-09-03 09:31:00,717.95,NSE,717.95,717.0,717.7,RAMCEM,1821
2020-09-03 09:32:00,717.95,NSE,717.95,717.2,717.25,RAMCEM,52
2020-09-03 09:33:00,718.5,NSE,718.5,717.35,717.35,RAMCEM,257
2020-09-03 09:34:00,719.85,NSE,719.95,718.8,719.5,RAMCEM,6704
2020-09-03 09:35:00,720.15,NSE,721.2,720.0,720.0,RAMCEM,1986
2020-09-03 09:36:00,720.4,NSE,721.0,720.25,720.25,RAMCEM,1040
2020-09-03 09:37:00,720.5,NSE,721.4,720.4,720.4,RAMCEM,720
2020-09-03 09:38:00,721.0,NSE,721.5,720.3,720.7,RAMCEM,2912
2020-09-03 09:39:00,720.85,NSE,720.9,720.0,720.9,RAMCEM,676
2020-09-03 09:40:00,719.5,NSE,720.8,719.25,720.8,RAMCEM,749
2020-09-03 09:41:00,719.0,NSE,719.0,718.85,718.85,RAMCEM,223
2020-09-03 09:42:00,718.6,NSE,719.0,718.6,718.6,RAMCEM,262
2020-09-03 09:43:00,719.05,NSE,719.35,718.55,718.55,RAMCEM,511
2020-09-03 09:44:00,719.85,NSE,720.0,719.35,720.0,RAMCEM,343
2020-09-03 09:45:00,719.05,NSE,719.15,719.05,719.15,RAMCEM,40
2020-09-03 09:46:00,719.1,NSE,719.1,719.1,719.1,RAMCEM,125
2020-09-03 09:47:00,719.8,NSE,720.0,719.8,719.9,RAMCEM,443
2020-09-03 09:48:00,719.95,NSE,719.95,719.6,719.6,RAMCEM,152
2020-09-03 09:49:00,719.95,NSE,719.95,719.95,719.95,RAMCEM,100
2020-09-03 09:50:00,720.2,NSE,720.2,719.2,719.35,RAMCEM,1304
2020-09-03 09:51:00,720.45,NSE,720.5,719.7,720.5,RAMCEM,475
2020-09-03 09:52:00,719.55,NSE,720.55,719.55,720.55,RAMCEM,530
2020-09-03 09:53:00,720.25,NSE,720.3,719.95,720.0,RAMCEM,321
2020-09-03 09:54:00,719.7,NSE,720.3,719.6,720.3,RAMCEM,254
2020-09-03 09:55:00,718.6,NSE,720.2,718.6,720.2,RAMCEM,1519
2020-09-03 09:56:00,719.25,NSE,719.25,718.6,718.6,RAMCEM,67
2020-09-03 09:57:00,717.85,NSE,719.2,717.3,719.2,RAMCEM,1637
2020-09-03 09:58:00,717.0,NSE,717.9,716.35,717.85,RAMCEM,1769
2020-09-03 09:59:00,718.0,NSE,718.0,716.25,716.25,RAMCEM,1322
2020-09-03 10:00:00,717.0,NSE,718.0,717.0,718.0,RAMCEM,474
2020-09-03 10:01:00,717.15,NSE,717.15,717.0,717.0,RAMCEM,113
2020-09-03 10:02:00,717.0,NSE,717.0,717.0,717.0,RAMCEM,181
2020-09-03 10:03:00,717.9,NSE,717.9,716.5,716.5,RAMCEM,695
2020-09-03 10:04:00,718.55,NSE,718.8,717.5,717.9,RAMCEM,903
2020-09-03 10:05:00,719.05,NSE,719.05,718.8,718.8,RAMCEM,159
2020-09-03 10:06:00,718.6,NSE,719.6,718.6,719.6,RAMCEM,232
2020-09-03 10:07:00,720.85,NSE,720.85,719.65,719.65,RAMCEM,529
2020-09-03 10:08:00,721.5,NSE,721.5,720.6,720.85,RAMCEM,1870
2020-09-03 10:09:00,721.35,NSE,721.5,720.65,721.5,RAMCEM,270
2020-09-03 10:10:00,722.15,NSE,722.95,721.85,721.85,RAMCEM,2861
2020-09-03 10:11:00,721.1,NSE,722.0,721.1,722.0,RAMCEM,921
2020-09-03 10:12:00,720.1,NSE,721.1,720.1,721.1,RAMCEM,1557
2020-09-03 10:13:00,720.75,NSE,721.05,720.45,720.45,RAMCEM,740
2020-09-03 10:14:00,720.8,NSE,721.5,720.8,721.0,RAMCEM,533
2020-09-03 10:15:00,721.45,NSE,721.45,720.8,721.2,RAMCEM,324
2020-09-03 10:16:00,721.4,NSE,722.15,721.4,721.6,RAMCEM,260
2020-09-03 10:17:00,719.7,NSE,721.95,719.5,721.4,RAMCEM,3801
2020-09-03 10:18:00,720.55,NSE,720.55,719.5,719.55,RAMCEM,145
2020-09-03 10:19:00,719.85,NSE,720.3,719.85,720.3,RAMCEM,113
2020-09-03 10:20:00,720.85,NSE,720.85,720.3,720.3,RAMCEM,23
2020-09-03 10:21:00,720.85,NSE,720.85,720.85,720.85,RAMCEM,15
2020-09-03 10:22:00,721.35,NSE,721.35,721.0,721.0,RAMCEM,64
2020-09-03 10:23:00,720.85,NSE,720.85,720.05,720.8,RAMCEM,15
2020-09-03 10:24:00,721.0,NSE,721.05,721.0,721.0,RAMCEM,373
2020-09-03 10:25:00,720.85,NSE,721.6,720.85,721.4,RAMCEM,332
2020-09-03 10:27:00,721.0,NSE,721.0,720.7,720.7,RAMCEM,378
2020-09-03 10:28:00,720.35,NSE,720.35,720.25,720.25,RAMCEM,11
2020-09-03 10:29:00,720.95,NSE,721.0,720.05,721.0,RAMCEM,243
2020-09-03 10:30:00,720.85,NSE,720.85,720.25,720.25,RAMCEM,67
2020-09-03 10:31:00,719.7,NSE,720.25,719.5,720.25,RAMCEM,1007
2020-09-03 10:32:00,720.1,NSE,720.1,720.1,720.1,RAMCEM,10
2020-09-03 10:33:00,719.55,NSE,719.55,719.55,719.55,RAMCEM,70
2020-09-03 10:34:00,720.3,NSE,721.0,719.55,719.55,RAMCEM,7072
2020-09-03 10:35:00,722.1,NSE,722.1,721.9,721.9,RAMCEM,1631
2020-09-03 10:36:00,722.45,NSE,722.5,721.55,722.5,RAMCEM,2140
2020-09-03 10:37:00,722.2,NSE,722.9,722.0,722.9,RAMCEM,1442
2020-09-03 10:38:00,722.5,NSE,722.5,722.5,722.5,RAMCEM,58
2020-09-03 10:39:00,723.95,NSE,724.0,722.5,722.5,RAMCEM,1189
2020-09-03 10:40:00,722.45,NSE,723.5,722.45,723.0,RAMCEM,785
2020-09-03 10:41:00,723.15,NSE,723.4,722.55,722.55,RAMCEM,490
2020-09-03 10:42:00,722.7,NSE,723.95,722.7,723.15,RAMCEM,2382
2020-09-03 10:43:00,723.15,NSE,723.15,722.55,722.55,RAMCEM,1023
2020-09-03 10:44:00,722.55,NSE,723.15,722.55,723.15,RAMCEM,151
2020-09-03 10:45:00,721.4,NSE,722.5,721.4,722.5,RAMCEM,261
2020-09-03 10:46:00,721.8,NSE,722.75,721.2,721.2,RAMCEM,207
2020-09-03 10:47:00,722.5,NSE,722.5,721.8,721.8,RAMCEM,18
2020-09-03 10:48:00,722.5,NSE,722.5,722.25,722.5,RAMCEM,125
2020-09-03 10:49:00,723.0,NSE,723.0,723.0,723.0,RAMCEM,10
2020-09-03 10:50:00,722.65,NSE,724.0,722.4,722.4,RAMCEM,4562
2020-09-03 10:51:00,723.8,NSE,723.95,722.65,722.65,RAMCEM,1450
2020-09-03 10:52:00,722.75,NSE,723.8,722.6,723.05,RAMCEM,1311
2020-09-03 10:53:00,723.4,NSE,723.45,722.65,723.45,RAMCEM,437
2020-09-03 10:54:00,722.75,NSE,723.4,722.75,723.4,RAMCEM,549
2020-09-03 10:55:00,723.35,NSE,723.4,722.75,722.75,RAMCEM,95
2020-09-03 10:56:00,724.1,NSE,724.95,723.8,723.8,RAMCEM,2682
2020-09-03 10:57:00,724.9,NSE,724.9,724.05,724.05,RAMCEM,765
2020-09-03 10:58:00,724.3,NSE,724.7,724.2,724.2,RAMCEM,253
2020-09-03 10:59:00,725.9,NSE,726.0,724.7,724.7,RAMCEM,6513
2020-09-03 11:00:00,725.35,NSE,726.0,725.35,725.95,RAMCEM,1981
2020-09-03 11:01:00,726.2,NSE,726.2,725.35,725.95,RAMCEM,708
2020-09-03 11:02:00,726.55,NSE,727.2,726.0,726.2,RAMCEM,1481
2020-09-03 11:03:00,726.5,NSE,727.5,726.5,727.3,RAMCEM,3595
2020-09-03 11:04:00,725.7,NSE,727.0,725.7,727.0,RAMCEM,890
2020-09-03 11:05:00,725.05,NSE,726.1,725.05,726.0,RAMCEM,1192
2020-09-03 11:06:00,724.2,NSE,725.95,724.2,725.8,RAMCEM,1719
2020-09-03 11:07:00,726.1,NSE,726.1,723.75,724.8,RAMCEM,2750
2020-09-03 11:08:00,725.65,NSE,726.0,725.0,726.0,RAMCEM,225
2020-09-03 11:09:00,726.0,NSE,726.0,726.0,726.0,RAMCEM,120
2020-09-03 11:10:00,726.95,NSE,726.95,726.0,726.0,RAMCEM,861
2020-09-03 11:11:00,726.05,NSE,727.0,726.05,727.0,RAMCEM,431
2020-09-03 11:12:00,725.6,NSE,726.85,725.6,726.8,RAMCEM,937
2020-09-03 11:13:00,725.4,NSE,726.0,725.4,725.9,RAMCEM,439
2020-09-03 11:14:00,725.55,NSE,726.4,725.5,726.0,RAMCEM,742
2020-09-03 11:15:00,725.5,NSE,726.3,725.4,726.25,RAMCEM,346
2020-09-03 11:16:00,725.9,NSE,726.2,725.3,725.95,RAMCEM,224
2020-09-03 11:17:00,725.85,NSE,726.0,725.55,725.85,RAMCEM,1124
2020-09-03 11:18:00,724.4,NSE,725.85,724.4,725.85,RAMCEM,230
2020-09-03 11:19:00,726.35,NSE,726.35,724.6,724.6,RAMCEM,1520
2020-09-03 11:20:00,725.05,NSE,725.95,724.95,725.95,RAMCEM,160
2020-09-03 11:21:00,727.0,NSE,727.0,725.05,725.65,RAMCEM,1177
2020-09-03 11:22:00,726.2,NSE,726.95,726.2,726.9,RAMCEM,152
2020-09-03 11:23:00,726.1,NSE,726.95,726.1,726.95,RAMCEM,385
2020-09-03 11:24:00,726.1,NSE,726.8,726.0,726.75,RAMCEM,294
2020-09-03 11:25:00,726.15,NSE,726.85,726.0,726.85,RAMCEM,2221
2020-09-03 11:26:00,727.0,NSE,728.0,726.85,726.85,RAMCEM,2642
2020-09-03 11:27:00,727.6,NSE,727.6,727.0,727.5,RAMCEM,667
2020-09-03 11:28:00,726.9,NSE,727.6,726.4,727.6,RAMCEM,774
2020-09-03 11:29:00,727.0,NSE,727.65,727.0,727.0,RAMCEM,201
2020-09-03 11:30:00,726.05,NSE,727.65,725.55,727.65,RAMCEM,2278
2020-09-03 11:31:00,725.7,NSE,725.7,725.7,725.7,RAMCEM,1
2020-09-03 11:32:00,723.6,NSE,724.7,723.6,724.7,RAMCEM,1785
2020-09-03 11:33:00,721.25,NSE,723.6,721.15,723.6,RAMCEM,3349
2020-09-03 11:34:00,722.0,NSE,722.65,721.25,721.25,RAMCEM,1958
2020-09-03 11:35:00,720.3,NSE,722.05,720.3,722.0,RAMCEM,4432
2020-09-03 11:36:00,719.65,NSE,720.4,719.1,719.7,RAMCEM,3935
2020-09-03 11:37:00,720.5,NSE,720.55,719.25,719.6,RAMCEM,885
2020-09-03 11:38:00,721.0,NSE,721.0,720.5,720.85,RAMCEM,854
2020-09-03 11:39:00,720.6,NSE,721.0,720.6,721.0,RAMCEM,31
2020-09-03 11:40:00,721.25,NSE,721.35,720.6,720.6,RAMCEM,300
2020-09-03 11:41:00,721.0,NSE,721.4,721.0,721.35,RAMCEM,673
2020-09-03 11:42:00,721.25,NSE,721.25,721.0,721.0,RAMCEM,506
2020-09-03 11:43:00,721.0,NSE,722.0,721.0,722.0,RAMCEM,658
2020-09-03 11:44:00,721.05,NSE,721.1,721.05,721.1,RAMCEM,159
2020-09-03 11:46:00,721.15,NSE,721.95,721.1,721.1,RAMCEM,286
2020-09-03 11:47:00,721.95,NSE,721.95,721.25,721.25,RAMCEM,439
2020-09-03 11:48:00,721.85,NSE,722.0,721.85,721.95,RAMCEM,322
2020-09-03 11:49:00,721.85,NSE,722.05,721.85,722.05,RAMCEM,287
2020-09-03 11:50:00,721.5,NSE,721.85,721.5,721.85,RAMCEM,436
2020-09-03 11:52:00,721.3,NSE,721.5,721.3,721.5,RAMCEM,1156
