,datetime,close,exchange_code,high,low,open,stock_code,volume
0,2023-06-26 09:30:00,929.0,NSE,929.15,927.55,928.6,RAMCEM,2156
1,2023-06-26 09:31:00,930.95,NSE,930.95,929.0,929.0,RAMCEM,1107
2,2023-06-26 09:32:00,930.65,NSE,931.05,930.65,930.95,RAMCEM,239
3,2023-06-26 09:33:00,930.65,NSE,931.5,930.65,930.65,RAMCEM,265
4,2023-06-26 09:34:00,931.3,NSE,931.3,930.65,930.65,RAMCEM,103
5,2023-06-26 09:35:00,930.95,NSE,931.75,930.95,931.3,RAMCEM,122
6,2023-06-26 09:36:00,930.0,NSE,931.45,929.7,931.45,RAMCEM,1218
7,2023-06-26 09:37:00,930.65,NSE,930.95,929.45,930.0,RAMCEM,585
8,2023-06-26 09:38:00,930.15,NSE,930.65,930.15,930.65,RAMCEM,18
9,2023-06-26 09:39:00,930.55,NSE,930.55,930.0,930.15,RAMCEM,161
10,2023-06-26 09:40:00,930.05,NSE,930.55,930.05,930.55,RAMCEM,123
11,2023-06-26 09:41:00,930.0,NSE,930.4,929.8,930.05,RAMCEM,203
12,2023-06-26 09:42:00,931.45,NSE,931.45,930.0,930.0,RAMCEM,1455
13,2023-06-26 09:43:00,930.7,NSE,931.45,930.7,931.45,RAMCEM,103
14,2023-06-26 09:44:00,930.75,NSE,931.0,930.25,930.7,RAMCEM,53
15,2023-06-26 09:45:00,930.1,NSE,930.75,930.0,930.75,RAMCEM,1386
16,2023-06-26 09:46:00,930.0,NSE,930.55,930.0,930.1,RAMCEM,121
17,2023-06-26 09:47:00,930.9,NSE,930.9,930.0,930.0,RAMCEM,804
18,2023-06-26 09:48:00,930.65,NSE,930.65,930.05,930.25,RAMCEM,196
19,2023-06-26 09:49:00,930.5,NSE,930.7,930.5,930.65,RAMCEM,11
20,2023-06-26 09:50:00,930.5,NSE,930.5,930.5,930.5,RAMCEM,0
21,2023-06-26 09:51:00,930.0,NSE,930.55,930.0,930.5,RAMCEM,665
22,2023-06-26 09:52:00,930.35,NSE,930.35,930.0,930.0,RAMCEM,603
23,2023-06-26 09:53:00,930.0,NSE,930.5,930.0,930.5,RAMCEM,1643
24,2023-06-26 09:54:00,930.25,NSE,930.25,929.0,930.0,RAMCEM,2280
25,2023-06-26 09:55:00,929.75,NSE,930.6,929.75,930.25,RAMCEM,2009
26,2023-06-26 09:56:00,930.0,NSE,930.0,929.75,929.75,RAMCEM,80
27,2023-06-26 09:57:00,930.0,NSE,930.0,929.4,930.0,RAMCEM,5614
28,2023-06-26 09:58:00,930.0,NSE,930.15,930.0,930.0,RAMCEM,1775
29,2023-06-26 09:59:00,930.0,NSE,930.15,930.0,930.0,RAMCEM,893
30,2023-06-26 10:00:00,930.0,NSE,930.0,929.6,930.0,RAMCEM,10646
31,2023-06-26 10:01:00,930.0,NSE,930.55,929.55,930.55,RAMCEM,7822
32,2023-06-26 10:02:00,926.15,NSE,930.25,926.15,930.0,RAMCEM,4345
33,2023-06-26 10:03:00,925.15,NSE,925.75,924.1,925.75,RAMCEM,1696
34,2023-06-26 10:04:00,925.35,NSE,925.75,924.5,925.15,RAMCEM,644
35,2023-06-26 10:05:00,924.35,NSE,925.75,924.35,925.35,RAMCEM,288
36,2023-06-26 10:06:00,923.4,NSE,924.0,922.8,922.8,RAMCEM,1041
37,2023-06-26 10:07:00,923.2,NSE,923.4,922.65,923.4,RAMCEM,89
38,2023-06-26 10:08:00,922.9,NSE,923.2,922.35,923.2,RAMCEM,210
39,2023-06-26 10:09:00,923.15,NSE,923.45,922.65,922.9,RAMCEM,48
40,2023-06-26 10:10:00,923.2,NSE,923.95,923.15,923.15,RAMCEM,489
41,2023-06-26 10:11:00,923.15,NSE,923.85,923.15,923.2,RAMCEM,187
42,2023-06-26 10:12:00,922.5,NSE,923.55,922.4,923.15,RAMCEM,812
43,2023-06-26 10:13:00,922.5,NSE,922.85,922.5,922.5,RAMCEM,61
44,2023-06-26 10:14:00,922.5,NSE,922.5,922.5,922.5,RAMCEM,0
45,2023-06-26 10:15:00,923.8,NSE,923.8,922.5,922.5,RAMCEM,262
46,2023-06-26 10:16:00,924.0,NSE,924.95,923.8,923.8,RAMCEM,789
47,2023-06-26 10:17:00,923.55,NSE,923.55,923.05,923.1,RAMCEM,204
48,2023-06-26 10:18:00,923.85,NSE,923.85,923.55,923.55,RAMCEM,107
49,2023-06-26 10:19:00,923.75,NSE,923.85,923.75,923.85,RAMCEM,78
50,2023-06-26 10:20:00,923.7,NSE,923.7,923.65,923.65,RAMCEM,130
