datetime,close,exchange_code,high,low,open,stock_code,volume
2020-11-24 09:15:00,512.7,NSE,514.65,512.0,513.5,SUNPHA,89438
2020-11-24 09:16:00,512.35,NSE,513.0,511.9,512.65,SUNPHA,43644
2020-11-24 09:17:00,512.85,NSE,513.0,512.15,512.5,SUNPHA,37924
2020-11-24 09:18:00,513.4,NSE,513.4,512.75,512.85,SUNPHA,31530
2020-11-24 09:19:00,513.95,NSE,514.3,513.0,513.45,SUNPHA,43142
2020-11-24 09:20:00,512.55,NSE,514.15,512.45,514.0,SUNPHA,46693
2020-11-24 09:21:00,512.0,NSE,512.75,511.0,512.55,SUNPHA,68332
2020-11-24 09:22:00,512.1,NSE,512.45,511.7,512.0,SUNPHA,22021
2020-11-24 09:23:00,512.3,NSE,512.7,512.15,512.5,SUNPHA,13662
2020-11-24 09:24:00,512.15,NSE,512.4,512.0,512.4,SUNPHA,20333
2020-11-24 09:25:00,511.4,NSE,512.4,511.05,512.15,SUNPHA,28710
2020-11-24 09:26:00,511.8,NSE,512.0,511.1,511.5,SUNPHA,25475
2020-11-24 09:27:00,511.95,NSE,512.45,511.75,511.75,SUNPHA,27998
2020-11-24 09:28:00,511.5,NSE,512.2,511.4,511.9,SUNPHA,27176
2020-11-24 09:29:00,512.0,NSE,512.0,511.5,511.65,SUNPHA,10457
2020-11-24 09:30:00,511.5,NSE,512.15,511.25,511.75,SUNPHA,26447
2020-11-24 09:31:00,511.3,NSE,511.55,511.2,511.25,SUNPHA,23916
2020-11-24 09:32:00,511.7,NSE,511.7,510.65,511.5,SUNPHA,40039
2020-11-24 09:33:00,510.55,NSE,511.85,510.55,511.7,SUNPHA,19368
2020-11-24 09:34:00,510.6,NSE,510.95,510.25,510.85,SUNPHA,34673
2020-11-24 09:35:00,510.75,NSE,511.0,510.55,510.55,SUNPHA,9281
2020-11-24 09:36:00,511.45,NSE,512.1,510.8,511.0,SUNPHA,29593
2020-11-24 09:37:00,511.7,NSE,512.2,511.35,511.75,SUNPHA,15334
2020-11-24 09:38:00,511.95,NSE,512.0,511.7,511.7,SUNPHA,7482
2020-11-24 09:39:00,512.15,NSE,512.35,511.9,511.9,SUNPHA,15631
2020-11-24 09:40:00,512.5,NSE,512.5,512.1,512.2,SUNPHA,16446
2020-11-24 09:41:00,512.35,NSE,512.6,512.1,512.25,SUNPHA,11895
2020-11-24 09:42:00,512.4,NSE,512.5,512.0,512.3,SUNPHA,12459
2020-11-24 09:43:00,511.0,NSE,512.4,510.9,512.2,SUNPHA,34768
2020-11-24 09:44:00,511.0,NSE,511.25,510.75,511.0,SUNPHA,16068
2020-11-24 09:45:00,510.8,NSE,511.0,510.7,510.95,SUNPHA,9834
2020-11-24 09:46:00,509.9,NSE,510.85,509.7,510.65,SUNPHA,83929
2020-11-24 09:47:00,510.0,NSE,510.4,509.7,509.9,SUNPHA,25508
2020-11-24 09:48:00,509.75,NSE,510.25,509.6,510.0,SUNPHA,26553
2020-11-24 09:49:00,509.55,NSE,510.0,509.5,510.0,SUNPHA,44945
2020-11-24 09:50:00,509.55,NSE,509.9,509.5,509.55,SUNPHA,14178
2020-11-24 09:51:00,508.4,NSE,509.6,508.2,509.6,SUNPHA,63991
2020-11-24 09:52:00,508.95,NSE,509.1,508.4,508.6,SUNPHA,16643
2020-11-24 09:53:00,509.0,NSE,509.2,508.8,508.95,SUNPHA,10069
2020-11-24 09:54:00,509.2,NSE,509.45,509.0,509.05,SUNPHA,13411
2020-11-24 09:55:00,509.05,NSE,509.4,509.0,509.1,SUNPHA,14742
2020-11-24 09:56:00,509.5,NSE,509.65,509.0,509.05,SUNPHA,19155
2020-11-24 09:57:00,509.55,NSE,509.55,509.05,509.35,SUNPHA,8677
2020-11-24 09:58:00,509.15,NSE,509.65,509.05,509.35,SUNPHA,7886
2020-11-24 09:59:00,509.4,NSE,509.4,509.0,509.1,SUNPHA,10373
