,datetime,close,exchange_code,high,low,open,stock_code,volume
0,2021-09-03 09:30:00,134.1,NSE,134.15,134.0,134.15,TATPOW,34111
1,2021-09-03 09:31:00,133.95,NSE,134.0,133.85,134.0,TATPOW,45662
2,2021-09-03 09:32:00,134.05,NSE,134.3,134.0,134.0,TATPOW,125899
3,2021-09-03 09:33:00,133.9,NSE,134.15,133.9,134.05,TATPOW,48869
4,2021-09-03 09:34:00,133.75,NSE,133.9,133.75,133.9,TATPOW,56359
5,2021-09-03 09:35:00,133.8,NSE,133.85,133.7,133.75,TATPOW,62848
6,2021-09-03 09:36:00,133.8,NSE,133.9,133.7,133.8,TATPOW,37850
7,2021-09-03 09:37:00,133.9,NSE,133.9,133.5,133.6,TATPOW,228222
8,2021-09-03 09:38:00,134.0,NSE,134.15,133.85,133.9,TATPOW,152730
9,2021-09-03 09:39:00,134.05,NSE,134.1,133.95,134.1,TATPOW,51681
10,2021-09-03 09:40:00,133.95,NSE,134.05,133.9,134.05,TATPOW,16163
11,2021-09-03 09:41:00,134.0,NSE,134.1,133.9,134.0,TATPOW,188735
12,2021-09-03 09:42:00,133.95,NSE,134.0,133.9,134.0,TATPOW,22622
13,2021-09-03 09:43:00,133.95,NSE,134.0,133.85,133.95,TATPOW,35915
14,2021-09-03 09:44:00,134.0,NSE,134.15,133.95,134.0,TATPOW,92646
15,2021-09-03 09:45:00,134.0,NSE,134.05,133.9,134.05,TATPOW,28475
16,2021-09-03 09:46:00,133.9,NSE,133.95,133.75,133.95,TATPOW,43969
17,2021-09-03 09:47:00,133.85,NSE,133.9,133.8,133.9,TATPOW,27406
18,2021-09-03 09:48:00,133.95,NSE,134.0,133.85,133.85,TATPOW,13975
19,2021-09-03 09:49:00,134.05,NSE,134.05,133.9,133.9,TATPOW,34922
20,2021-09-03 09:50:00,134.05,NSE,134.15,134.0,134.1,TATPOW,44208
21,2021-09-03 09:51:00,134.0,NSE,134.1,134.0,134.05,TATPOW,20847
22,2021-09-03 09:52:00,134.25,NSE,134.25,133.95,134.0,TATPOW,57845
23,2021-09-03 09:53:00,134.15,NSE,134.25,134.1,134.25,TATPOW,20648
24,2021-09-03 09:54:00,134.15,NSE,134.2,134.1,134.1,TATPOW,45907
25,2021-09-03 09:55:00,134.15,NSE,134.15,134.1,134.15,TATPOW,21967
26,2021-09-03 09:56:00,134.0,NSE,134.1,134.0,134.1,TATPOW,46146
27,2021-09-03 09:57:00,134.0,NSE,134.05,134.0,134.05,TATPOW,10002
28,2021-09-03 09:58:00,134.0,NSE,134.05,133.95,134.0,TATPOW,25090
29,2021-09-03 09:59:00,134.0,NSE,134.0,133.9,133.95,TATPOW,16448
30,2021-09-03 10:00:00,133.95,NSE,134.0,133.9,134.0,TATPOW,11550
31,2021-09-03 10:01:00,134.1,NSE,134.1,133.95,134.0,TATPOW,75453
32,2021-09-03 10:02:00,134.1,NSE,134.15,134.05,134.15,TATPOW,22491
33,2021-09-03 10:03:00,134.15,NSE,134.15,134.05,134.1,TATPOW,35448
