datetime,close,exchange_code,high,low,open,stock_code,volume
2022-11-30 09:07:00,3383.0,NSE,3383.0,3383.0,3383.0,TCS,19146
2022-11-30 09:15:00,3403.1,NSE,3405.0,3380.15,3380.25,TCS,34274
2022-11-30 09:16:00,3407.25,NSE,3408.95,3402.2,3405.0,TCS,25067
2022-11-30 09:17:00,3412.95,NSE,3413.4,3407.0,3407.2,TCS,22950
2022-11-30 09:18:00,3410.6,NSE,3411.75,3408.55,3410.0,TCS,17993
2022-11-30 09:19:00,3410.55,NSE,3413.9,3409.65,3409.65,TCS,17401
2022-11-30 09:20:00,3410.8,NSE,3412.65,3409.05,3412.25,TCS,11020
2022-11-30 09:21:00,3410.2,NSE,3411.0,3405.05,3409.35,TCS,11703
2022-11-30 09:22:00,3403.25,NSE,3411.0,3403.05,3411.0,TCS,13076
2022-11-30 09:23:00,3403.0,NSE,3403.0,3399.1,3402.9,TCS,9600
2022-11-30 09:24:00,3402.1,NSE,3404.6,3402.0,3403.0,TCS,2759
2022-11-30 09:25:00,3399.9,NSE,3402.1,3398.7,3402.0,TCS,13389
2022-11-30 09:26:00,3399.9,NSE,3400.0,3398.0,3399.95,TCS,4587
2022-11-30 09:27:00,3395.1,NSE,3399.15,3394.0,3399.15,TCS,6074
2022-11-30 09:28:00,3393.7,NSE,3396.7,3392.0,3396.0,TCS,7365
2022-11-30 09:29:00,3391.8,NSE,3393.95,3391.05,3393.75,TCS,5544
2022-11-30 09:30:00,3390.0,NSE,3393.0,3388.6,3392.9,TCS,8040
2022-11-30 09:31:00,3391.45,NSE,3392.45,3389.65,3389.65,TCS,3117
2022-11-30 09:32:00,3389.8,NSE,3392.45,3389.0,3391.9,TCS,5473
2022-11-30 09:33:00,3391.55,NSE,3391.7,3389.0,3389.3,TCS,3576
2022-11-30 09:34:00,3390.55,NSE,3391.6,3389.35,3391.6,TCS,3296
2022-11-30 09:35:00,3388.0,NSE,3391.0,3388.0,3391.0,TCS,3586
2022-11-30 09:36:00,3387.95,NSE,3387.95,3387.75,3387.75,TCS,1723
2022-11-30 09:37:00,3385.0,NSE,3387.95,3385.0,3387.95,TCS,6920
2022-11-30 09:38:00,3384.55,NSE,3385.95,3384.0,3385.5,TCS,4441
2022-11-30 09:39:00,3383.3,NSE,3385.1,3383.25,3384.55,TCS,6126
2022-11-30 09:40:00,3387.1,NSE,3388.0,3383.65,3383.7,TCS,3981
2022-11-30 09:41:00,3389.5,NSE,3389.5,3386.05,3387.1,TCS,3222
2022-11-30 09:42:00,3390.0,NSE,3392.0,3389.75,3389.85,TCS,3863
2022-11-30 09:43:00,3390.6,NSE,3392.0,3389.0,3390.0,TCS,4647
2022-11-30 09:44:00,3390.1,NSE,3391.25,3388.55,3390.9,TCS,4073
2022-11-30 09:45:00,3387.3,NSE,3390.7,3387.15,3390.7,TCS,2504
2022-11-30 09:46:00,3386.5,NSE,3389.5,3385.85,3387.95,TCS,4888
2022-11-30 09:47:00,3386.95,NSE,3388.15,3385.75,3387.3,TCS,1935
2022-11-30 09:48:00,3388.95,NSE,3389.4,3387.45,3387.8,TCS,2165
2022-11-30 09:49:00,3387.0,NSE,3389.85,3387.0,3389.85,TCS,2890
2022-11-30 09:50:00,3387.4,NSE,3387.5,3387.0,3387.5,TCS,1474
2022-11-30 09:51:00,3385.0,NSE,3387.35,3385.0,3387.2,TCS,3933
2022-11-30 09:52:00,3383.45,NSE,3385.4,3382.0,3385.0,TCS,6362
2022-11-30 09:53:00,3381.3,NSE,3383.8,3381.3,3383.8,TCS,3647
2022-11-30 09:54:00,3380.9,NSE,3382.45,3377.05,3381.3,TCS,10758
2022-11-30 09:55:00,3383.0,NSE,3383.45,3380.9,3380.9,TCS,2859
2022-11-30 09:56:00,3384.15,NSE,3386.15,3383.0,3383.0,TCS,3185
2022-11-30 09:57:00,3384.5,NSE,3384.5,3383.85,3384.15,TCS,1833
2022-11-30 09:58:00,3386.5,NSE,3387.0,3385.25,3385.25,TCS,3568
2022-11-30 09:59:00,3385.1,NSE,3386.9,3385.1,3386.05,TCS,2281
2022-11-30 10:00:00,3386.2,NSE,3386.65,3384.85,3385.25,TCS,2637
2022-11-30 10:01:00,3386.3,NSE,3386.5,3386.2,3386.2,TCS,1470
2022-11-30 10:02:00,3387.25,NSE,3388.25,3386.35,3386.35,TCS,4165
2022-11-30 10:03:00,3387.95,NSE,3388.5,3387.05,3387.25,TCS,2051
2022-11-30 10:04:00,3388.15,NSE,3388.95,3387.75,3388.9,TCS,1344
2022-11-30 10:05:00,3389.7,NSE,3391.95,3388.75,3388.8,TCS,4310
2022-11-30 10:06:00,3390.3,NSE,3391.0,3389.7,3389.9,TCS,4132
2022-11-30 10:07:00,3390.0,NSE,3391.4,3389.85,3391.3,TCS,4984
2022-11-30 10:08:00,3389.95,NSE,3391.35,3389.0,3390.0,TCS,3543
2022-11-30 10:09:00,3388.7,NSE,3390.0,3388.7,3390.0,TCS,2516
2022-11-30 10:10:00,3388.7,NSE,3388.7,3388.15,3388.7,TCS,1512
2022-11-30 10:11:00,3390.0,NSE,3390.0,3388.6,3388.7,TCS,1728
2022-11-30 10:12:00,3389.6,NSE,3390.0,3388.15,3390.0,TCS,3188
2022-11-30 10:13:00,3387.05,NSE,3389.4,3386.2,3389.35,TCS,3612
2022-11-30 10:14:00,3385.95,NSE,3387.05,3385.9,3387.0,TCS,1720
2022-11-30 10:15:00,3385.0,NSE,3387.0,3385.0,3386.0,TCS,2340
2022-11-30 10:16:00,3385.85,NSE,3386.0,3385.0,3385.15,TCS,1941
2022-11-30 10:17:00,3387.45,NSE,3387.55,3385.8,3385.85,TCS,1532
2022-11-30 10:18:00,3389.15,NSE,3389.95,3387.1,3387.45,TCS,2423
2022-11-30 10:19:00,3388.55,NSE,3389.9,3388.0,3389.4,TCS,1573
2022-11-30 10:20:00,3386.2,NSE,3388.55,3386.2,3388.05,TCS,1717
2022-11-30 10:21:00,3386.0,NSE,3387.3,3385.0,3387.3,TCS,1799
2022-11-30 10:22:00,3386.1,NSE,3386.5,3386.1,3386.45,TCS,2116
2022-11-30 10:23:00,3386.0,NSE,3386.2,3385.35,3386.1,TCS,1200
2022-11-30 10:24:00,3384.15,NSE,3386.0,3384.15,3386.0,TCS,3036
2022-11-30 10:25:00,3383.0,NSE,3384.25,3383.0,3384.25,TCS,1948
2022-11-30 10:26:00,3384.25,NSE,3384.55,3383.1,3383.7,TCS,2615
2022-11-30 10:27:00,3384.6,NSE,3384.7,3384.0,3384.35,TCS,1439
2022-11-30 10:28:00,3383.9,NSE,3385.0,3383.6,3384.95,TCS,1499
2022-11-30 10:29:00,3383.3,NSE,3383.9,3383.0,3383.5,TCS,1345
2022-11-30 10:30:00,3383.0,NSE,3383.3,3383.0,3383.05,TCS,2209
2022-11-30 10:31:00,3383.2,NSE,3383.2,3381.5,3383.05,TCS,4164
2022-11-30 10:32:00,3381.9,NSE,3383.25,3381.45,3383.2,TCS,1700
2022-11-30 10:33:00,3380.0,NSE,3382.0,3379.4,3382.0,TCS,6280
2022-11-30 10:34:00,3380.65,NSE,3381.55,3379.05,3380.0,TCS,6618
2022-11-30 10:35:00,3382.25,NSE,3383.1,3380.8,3381.55,TCS,3307
2022-11-30 10:36:00,3381.85,NSE,3382.3,3381.55,3382.3,TCS,2127
2022-11-30 10:37:00,3383.35,NSE,3383.8,3381.95,3381.95,TCS,4055
