,datetime,close,exchange_code,high,low,open,stock_code,volume
0,2023-01-23 09:07:00,742.95,NSE,742.95,742.95,742.95,UNIP,4876
1,2023-01-23 09:15:00,744.55,NSE,744.8,738.2,744.0,UNIP,45025
2,2023-01-23 09:16:00,745.5,NSE,745.95,744.65,745.7,UNIP,31774
3,2023-01-23 09:17:00,745.85,NSE,746.25,744.15,744.55,UNIP,26192
4,2023-01-23 09:18:00,746.35,NSE,746.7,745.65,745.8,UNIP,27991
5,2023-01-23 09:19:00,745.25,NSE,746.3,744.6,746.3,UNIP,15717
6,2023-01-23 09:20:00,744.25,NSE,745.5,743.95,745.35,UNIP,23537
7,2023-01-23 09:21:00,744.2,NSE,745.35,743.7,744.6,UNIP,18019
8,2023-01-23 09:22:00,743.0,NSE,744.5,742.6,744.5,UNIP,12233
9,2023-01-23 09:23:00,744.6,NSE,744.85,742.65,742.65,UNIP,7055
10,2023-01-23 09:24:00,744.0,NSE,745.05,744.0,744.6,UNIP,9130
11,2023-01-23 09:25:00,743.35,NSE,744.05,742.15,743.65,UNIP,5691
12,2023-01-23 09:26:00,744.4,NSE,744.9,743.5,743.85,UNIP,15007
13,2023-01-23 09:27:00,744.45,NSE,745.0,743.85,744.95,UNIP,14467
14,2023-01-23 09:28:00,744.35,NSE,745.35,744.15,745.0,UNIP,5144
15,2023-01-23 09:29:00,745.0,NSE,745.0,744.1,744.25,UNIP,7113
16,2023-01-23 09:30:00,745.15,NSE,745.2,744.55,744.55,UNIP,7352
17,2023-01-23 09:31:00,745.55,NSE,745.7,745.0,745.15,UNIP,2744
18,2023-01-23 09:32:00,747.0,NSE,747.05,745.55,745.55,UNIP,10813
19,2023-01-23 09:33:00,747.25,NSE,747.5,746.6,746.9,UNIP,19015
20,2023-01-23 09:34:00,747.0,NSE,747.3,746.8,746.85,UNIP,20516
21,2023-01-23 09:35:00,747.75,NSE,748.6,747.0,747.0,UNIP,24731
22,2023-01-23 09:36:00,748.55,NSE,748.55,747.75,748.0,UNIP,11982
23,2023-01-23 09:37:00,749.3,NSE,749.55,748.45,748.75,UNIP,20378
24,2023-01-23 09:38:00,749.85,NSE,750.6,749.05,749.3,UNIP,45328
25,2023-01-23 09:39:00,750.55,NSE,750.55,749.3,749.95,UNIP,25459
26,2023-01-23 09:40:00,750.7,NSE,750.9,749.65,750.35,UNIP,36603
27,2023-01-23 09:41:00,749.55,NSE,750.5,748.25,750.3,UNIP,37640
28,2023-01-23 09:42:00,748.3,NSE,749.5,748.3,749.1,UNIP,18446
29,2023-01-23 09:43:00,748.25,NSE,748.9,748.0,748.3,UNIP,17245
30,2023-01-23 09:44:00,748.55,NSE,748.9,748.2,748.5,UNIP,12590
31,2023-01-23 09:45:00,749.5,NSE,749.85,748.55,748.55,UNIP,10940
32,2023-01-23 09:46:00,750.3,NSE,750.3,749.65,749.85,UNIP,13442
33,2023-01-23 09:47:00,750.2,NSE,750.3,749.65,750.0,UNIP,11058
34,2023-01-23 09:48:00,749.8,NSE,750.25,749.5,750.2,UNIP,7311
35,2023-01-23 09:49:00,749.25,NSE,749.8,748.8,749.8,UNIP,9954
36,2023-01-23 09:50:00,749.1,NSE,749.3,749.0,749.2,UNIP,3045
37,2023-01-23 09:51:00,749.8,NSE,749.8,749.15,749.3,UNIP,4295
38,2023-01-23 09:52:00,750.05,NSE,750.2,749.7,749.7,UNIP,7906
39,2023-01-23 09:53:00,749.0,NSE,749.85,749.0,749.8,UNIP,7393
40,2023-01-23 09:54:00,749.3,NSE,749.3,749.0,749.05,UNIP,4314
41,2023-01-23 09:55:00,748.55,NSE,749.3,748.35,749.0,UNIP,4375
42,2023-01-23 09:56:00,748.2,NSE,748.8,748.2,748.8,UNIP,4891
