,datetime,close,exchange_code,high,low,open,stock_code,volume
0,2020-10-19 09:15:00,340.5,NSE,342.45,340.1,342.45,WIPRO,238306
1,2020-10-19 09:16:00,339.55,NSE,340.5,338.65,340.5,WIPRO,207223
2,2020-10-19 09:17:00,339.35,NSE,339.7,338.95,339.45,WIPRO,97276
3,2020-10-19 09:18:00,341.35,NSE,341.35,339.3,339.4,WIPRO,166740
4,2020-10-19 09:19:00,342.0,NSE,342.1,341.15,341.25,WIPRO,142901
5,2020-10-19 09:20:00,341.9,NSE,342.9,341.9,342.2,WIPRO,159012
6,2020-10-19 09:21:00,341.3,NSE,342.25,340.95,342.0,WIPRO,117481
7,2020-10-19 09:22:00,340.85,NSE,341.45,340.5,341.25,WIPRO,78424
8,2020-10-19 09:23:00,340.3,NSE,341.0,340.0,341.0,WIPRO,77335
9,2020-10-19 09:24:00,340.55,NSE,340.65,339.6,340.05,WIPRO,96683
10,2020-10-19 09:25:00,340.1,NSE,340.8,340.0,340.5,WIPRO,42038
11,2020-10-19 09:26:00,340.1,NSE,340.1,339.5,340.1,WIPRO,71402
12,2020-10-19 09:27:00,340.6,NSE,340.85,340.05,340.3,WIPRO,51451
13,2020-10-19 09:28:00,340.45,NSE,340.7,340.3,340.6,WIPRO,38185
14,2020-10-19 09:29:00,341.1,NSE,341.1,340.05,340.3,WIPRO,109737
15,2020-10-19 09:30:00,341.1,NSE,341.2,340.9,341.15,WIPRO,43432
16,2020-10-19 09:31:00,341.55,NSE,341.65,341.0,341.0,WIPRO,81457
17,2020-10-19 09:32:00,341.0,NSE,341.65,340.85,341.4,WIPRO,48235
18,2020-10-19 09:33:00,340.8,NSE,341.1,340.6,341.0,WIPRO,34268
19,2020-10-19 09:34:00,340.75,NSE,340.95,340.5,340.8,WIPRO,44794
20,2020-10-19 09:35:00,341.0,NSE,341.0,340.6,340.75,WIPRO,25052
21,2020-10-19 09:36:00,340.7,NSE,341.0,340.55,340.8,WIPRO,38331
22,2020-10-19 09:37:00,340.45,NSE,340.8,340.3,340.8,WIPRO,34364
23,2020-10-19 09:38:00,340.1,NSE,340.45,340.05,340.35,WIPRO,76259
24,2020-10-19 09:39:00,340.15,NSE,340.45,340.1,340.2,WIPRO,41104
25,2020-10-19 09:40:00,340.65,NSE,340.8,340.1,340.35,WIPRO,30044
26,2020-10-19 09:41:00,339.65,NSE,340.65,339.5,340.65,WIPRO,154761
