datetime,close,exchange_code,high,low,open,stock_code,volume
2020-08-27,1521.6,NSE,1535.45,1440.0,1464.0,PIRENT,4815060
2020-08-28,1511.2,NSE,1563.0,1502.0,1536.8,PIRENT,2554132
2020-08-31,1367.3,NSE,1530.0,1360.1,1517.1,PIRENT,3321883
2020-09-01,1355.9,NSE,1407.1,1303.55,1380.0,PIRENT,3405359
2020-09-02,1354.6,NSE,1377.4,1321.2,1365.0,PIRENT,1430021
2020-09-03,1349.7,NSE,1374.95,1337.0,1354.6,PIRENT,1378408
2020-09-04,1292.4,NSE,1333.1,1274.05,1327.3,PIRENT,2194559
2020-09-07,1268.45,NSE,1308.95,1246.9,1293.4,PIRENT,2172602
2020-09-08,1301.4,NSE,1347.0,1261.8,1268.45,PIRENT,4612955
2020-09-09,1295.85,NSE,1311.45,1265.1,1294.0,PIRENT,1886238
2020-09-10,1314.5,NSE,1340.0,1290.1,1299.0,PIRENT,2206136
2020-09-11,1333.4,NSE,1353.75,1308.3,1319.95,PIRENT,2075479
2020-09-14,1322.8,NSE,1349.0,1314.0,1348.0,PIRENT,1280016
2020-09-15,1347.45,NSE,1359.85,1318.55,1326.0,PIRENT,1793496
2020-09-16,1360.5,NSE,1384.6,1340.25,1358.0,PIRENT,1335400
2020-09-17,1377.2,NSE,1389.0,1341.1,1350.0,PIRENT,1366744
2020-09-18,1351.9,NSE,1403.0,1338.6,1380.0,PIRENT,2366918
2020-09-21,1274.3,NSE,1354.95,1260.0,1352.5,PIRENT,1202831
2020-09-22,1245.85,NSE,1283.0,1194.0,1278.95,PIRENT,1700181
2020-09-23,1237.5,NSE,1266.25,1205.0,1252.0,PIRENT,1194011
2020-09-24,1193.75,NSE,1238.6,1178.55,1220.0,PIRENT,1272702
2020-09-25,1246.35,NSE,1253.85,1183.25,1200.0,PIRENT,1157476
2020-09-28,1283.3,NSE,1296.0,1244.35,1260.0,PIRENT,1074163
2020-09-29,1252.5,NSE,1313.45,1239.0,1295.8,PIRENT,1457468
