datetime,close,exchange_code,high,low,open,stock_code,volume
2020-08-27,473.85,NSE,479.0,472.0,474.9,RAJEXP,78550
2020-08-28,464.95,NSE,477.5,463.3,473.8,RAJEXP,118535
2020-08-31,446.45,NSE,470.0,441.2,466.95,RAJEXP,291284
2020-09-01,448.4,NSE,456.0,445.0,449.6,RAJEXP,139814
2020-09-02,451.55,NSE,454.45,449.0,450.0,RAJEXP,72702
2020-09-03,450.45,NSE,454.35,450.0,453.0,RAJEXP,55236
2020-09-04,444.35,NSE,454.0,441.0,445.0,RAJEXP,129493
2020-09-07,452.35,NSE,463.0,450.0,452.5,RAJEXP,206794
2020-09-08,450.2,NSE,460.0,449.1,453.9,RAJEXP,58645
2020-09-09,447.8,NSE,452.45,443.0,452.45,RAJEXP,41270
2020-09-10,450.75,NSE,457.0,447.5,447.5,RAJEXP,35140
2020-09-11,451.65,NSE,455.0,448.5,454.0,RAJEXP,26788
2020-09-14,452.7,NSE,460.0,451.0,452.5,RAJEXP,54384
2020-09-15,460.4,NSE,470.0,454.0,454.9,RAJEXP,147525
2020-09-16,456.1,NSE,467.8,454.0,464.4,RAJEXP,68927
2020-09-17,459.9,NSE,464.0,451.0,457.5,RAJEXP,70409
2020-09-18,509.35,NSE,516.9,461.0,464.0,RAJEXP,995526
2020-09-21,483.95,NSE,537.0,472.4,513.7,RAJEXP,710282
2020-09-22,472.0,NSE,504.5,466.45,494.5,RAJEXP,251883
2020-09-23,477.2,NSE,496.65,466.5,478.9,RAJEXP,260415
2020-09-24,445.7,NSE,471.95,442.0,465.0,RAJEXP,150917
2020-09-25,452.9,NSE,460.95,447.0,451.05,RAJEXP,130231
2020-09-28,462.8,NSE,472.95,455.9,455.9,RAJEXP,137459
2020-09-29,452.9,NSE,468.35,450.25,466.9,RAJEXP,187338
2020-09-30,447.05,NSE,456.55,445.05,455.9,RAJEXP,88500
2020-10-01,456.9,NSE,470.8,449.9,449.95,RAJEXP,166347
2020-10-05,481.8,NSE,488.0,457.0,457.0,RAJEXP,312488
2020-10-06,471.7,NSE,493.35,467.45,488.9,RAJEXP,129562
2020-10-07,454.25,NSE,474.85,451.5,474.85,RAJEXP,125490
2020-10-08,454.7,NSE,462.95,452.2,455.0,RAJEXP,80102
2020-10-09,451.6,NSE,461.7,449.0,457.0,RAJEXP,108744
2020-10-12,449.95,NSE,454.9,446.8,454.9,RAJEXP,61669
2020-10-13,447.8,NSE,454.8,444.0,452.0,RAJEXP,52354
2020-10-14,445.95,NSE,450.35,445.0,448.8,RAJEXP,123788
2020-10-15,444.95,NSE,452.0,444.0,448.2,RAJEXP,63930
2020-10-16,446.1,NSE,450.3,445.0,447.05,RAJEXP,31942
2020-10-19,446.1,NSE,450.75,445.0,447.9,RAJEXP,39902
2020-10-20,449.65,NSE,454.0,445.1,447.5,RAJEXP,55199
2020-10-21,450.0,NSE,453.7,446.1,451.9,RAJEXP,56689
2020-10-22,459.35,NSE,472.0,451.0,451.95,RAJEXP,182292
2020-10-23,456.4,NSE,463.85,455.0,460.55,RAJEXP,34785
2020-10-26,450.4,NSE,458.65,449.0,458.65,RAJEXP,38052
2020-10-27,454.4,NSE,458.3,447.0,452.3,RAJEXP,134756
2020-10-28,454.8,NSE,458.0,450.0,456.7,RAJEXP,42999
2020-10-29,462.4,NSE,462.4,445.05,454.95,RAJEXP,80335
2020-10-30,461.65,NSE,466.0,456.4,461.6,RAJEXP,82236
2020-11-02,442.5,NSE,465.35,441.0,465.35,RAJEXP,166427
2020-11-03,446.5,NSE,452.7,444.05,444.75,RAJEXP,83421
2020-11-04,443.15,NSE,448.3,442.6,444.0,RAJEXP,38240
2020-11-05,451.75,NSE,455.1,444.85,444.85,RAJEXP,68564
2020-11-06,452.9,NSE,457.8,451.0,451.0,RAJEXP,39587
2020-11-09,454.45,NSE,456.7,451.0,454.95,RAJEXP,47154
2020-11-10,449.45,NSE,456.45,448.2,452.5,RAJEXP,60630
2020-11-11,451.45,NSE,454.5,447.0,451.6,RAJEXP,88635
2020-11-12,457.55,NSE,459.3,453.1,453.95,RAJEXP,153901
2020-11-13,456.3,NSE,460.05,454.5,459.5,RAJEXP,59988
2020-11-14,460.7,NSE,463.0,459.8,462.4,RAJEXP,27058
2020-11-17,465.5,NSE,478.85,463.0,471.0,RAJEXP,174890
2020-11-18,459.95,NSE,470.0,458.0,469.25,RAJEXP,68224
2020-11-19,456.6,NSE,462.0,455.0,460.9,RAJEXP,55855
2020-11-20,451.3,NSE,465.0,450.3,456.7,RAJEXP,94916
2020-11-23,453.0,NSE,458.0,450.2,455.0,RAJEXP,92403
2020-11-24,452.3,NSE,456.9,451.3,454.05,RAJEXP,192891
2020-11-25,448.35,NSE,455.8,447.5,454.1,RAJEXP,91846
2020-11-26,449.55,NSE,452.35,448.5,450.0,RAJEXP,45931
2020-11-27,450.4,NSE,457.0,449.05,451.1,RAJEXP,115895
2020-12-01,453.45,NSE,456.0,450.6,453.05,RAJEXP,130211
2020-12-02,457.35,NSE,460.95,454.2,454.2,RAJEXP,152749
2020-12-03,472.85,NSE,477.0,457.55,459.2,RAJEXP,549983
2020-12-04,482.65,NSE,491.6,475.0,480.0,RAJEXP,388054
2020-12-07,492.75,NSE,497.95,485.75,486.9,RAJEXP,215279
2020-12-08,481.9,NSE,499.6,480.0,494.5,RAJEXP,175850
2020-12-09,483.05,NSE,489.1,481.75,485.0,RAJEXP,125601
2020-12-10,472.1,NSE,486.3,468.5,486.3,RAJEXP,128308
2020-12-11,476.7,NSE,483.0,472.0,477.4,RAJEXP,87236
2020-12-14,481.7,NSE,488.0,480.5,480.5,RAJEXP,123605
2020-12-15,473.85,NSE,483.65,471.2,482.0,RAJEXP,142502
2020-12-16,476.2,NSE,481.5,473.0,477.3,RAJEXP,84486
2020-12-17,485.75,NSE,496.0,476.65,479.75,RAJEXP,286707
2020-12-18,490.7,NSE,494.95,477.25,488.0,RAJEXP,261185
2020-12-21,473.85,NSE,510.5,460.0,492.45,RAJEXP,529841
2020-12-22,476.85,NSE,490.4,462.0,478.0,RAJEXP,194636
2020-12-23,487.45,NSE,489.5,477.0,477.0,RAJEXP,99125
2020-12-24,487.25,NSE,498.8,486.0,490.6,RAJEXP,95785
2020-12-28,487.6,NSE,494.95,485.15,491.9,RAJEXP,71834
2020-12-29,486.2,NSE,505.0,478.0,478.0,RAJEXP,94989
2020-12-30,486.8,NSE,495.05,481.3,492.9,RAJEXP,108436
2020-12-31,490.55,NSE,505.0,484.0,499.65,RAJEXP,455100
2021-01-01,485.05,NSE,497.0,480.8,492.8,RAJEXP,210721
2021-01-04,484.0,NSE,487.95,481.25,485.6,RAJEXP,202033
2021-01-05,484.1,NSE,487.7,478.0,481.0,RAJEXP,215380
2021-01-06,479.05,NSE,490.0,468.35,486.3,RAJEXP,240999
2021-01-07,482.25,NSE,487.75,480.05,485.0,RAJEXP,160781
2021-01-08,484.35,NSE,490.0,481.95,483.9,RAJEXP,249726
2021-01-11,484.9,NSE,489.75,482.45,486.5,RAJEXP,241891
2021-01-12,483.15,NSE,486.7,482.0,485.15,RAJEXP,233521
2021-01-13,483.85,NSE,489.85,481.0,486.95,RAJEXP,233390
2021-01-14,484.2,NSE,488.95,483.05,485.25,RAJEXP,220347
2021-01-15,481.3,NSE,486.2,478.2,486.0,RAJEXP,390437
2021-01-18,483.65,NSE,486.25,477.45,482.0,RAJEXP,170128
2021-01-19,484.15,NSE,492.5,480.0,484.0,RAJEXP,241419
2021-01-20,485.2,NSE,488.2,482.5,486.0,RAJEXP,375614
2021-01-21,479.1,NSE,486.55,477.9,486.05,RAJEXP,175677
2021-01-22,485.35,NSE,487.0,474.95,477.55,RAJEXP,236167
2021-01-25,478.9,NSE,487.4,476.6,486.05,RAJEXP,192422
2021-01-27,482.05,NSE,487.7,476.3,480.4,RAJEXP,168317
2021-01-28,478.2,NSE,481.7,475.75,481.7,RAJEXP,166856
2021-01-29,477.55,NSE,484.75,472.35,480.0,RAJEXP,146836
2021-02-01,476.75,NSE,480.0,475.05,478.55,RAJEXP,200411
2021-02-02,478.0,NSE,481.95,475.0,481.4,RAJEXP,200888
2021-02-03,477.2,NSE,485.0,476.1,479.65,RAJEXP,304605
2021-02-04,478.1,NSE,480.55,477.1,478.4,RAJEXP,136732
2021-02-05,478.6,NSE,482.7,478.15,479.75,RAJEXP,186498
2021-02-08,478.0,NSE,482.5,477.0,479.65,RAJEXP,206989
2021-02-09,482.95,NSE,492.0,478.8,480.8,RAJEXP,396594
2021-02-10,484.0,NSE,489.9,483.0,486.9,RAJEXP,524040
2021-02-11,484.7,NSE,487.95,482.0,484.55,RAJEXP,147443
2021-02-12,482.1,NSE,489.75,480.35,486.6,RAJEXP,346291
2021-02-15,477.5,NSE,485.15,470.7,482.15,RAJEXP,213848
2021-02-16,479.4,NSE,481.1,475.95,479.8,RAJEXP,62707
2021-02-17,483.35,NSE,486.85,481.35,481.9,RAJEXP,186534
2021-02-18,498.8,NSE,527.0,487.0,488.0,RAJEXP,1438663
2021-02-19,510.2,NSE,519.5,495.95,497.0,RAJEXP,880777
2021-02-22,494.2,NSE,519.7,490.0,519.0,RAJEXP,267607
2021-02-23,487.55,NSE,501.6,485.85,495.5,RAJEXP,182346
2021-02-24,491.65,NSE,496.0,485.2,489.8,RAJEXP,52685
2021-02-25,501.55,NSE,506.3,492.0,495.0,RAJEXP,210895
2021-02-26,508.55,NSE,514.9,494.0,498.0,RAJEXP,197147
2021-03-01,505.3,NSE,514.45,502.5,512.0,RAJEXP,99903
2021-03-02,516.0,NSE,517.5,502.1,508.75,RAJEXP,169348
2021-03-03,525.65,NSE,537.0,520.75,521.6,RAJEXP,374226
2021-03-04,517.15,NSE,524.95,513.45,523.0,RAJEXP,76044
2021-03-05,503.7,NSE,521.75,502.15,516.0,RAJEXP,92885
2021-03-08,502.9,NSE,511.9,500.0,507.45,RAJEXP,64782
2021-03-09,512.2,NSE,517.45,504.7,505.5,RAJEXP,182526
2021-03-10,513.45,NSE,521.0,509.5,512.05,RAJEXP,331895
2021-03-12,521.2,NSE,525.0,510.0,514.2,RAJEXP,418047
2021-03-15,518.85,NSE,527.25,512.75,524.25,RAJEXP,624767
2021-03-16,516.1,NSE,522.4,515.0,522.2,RAJEXP,545184
2021-03-17,514.5,NSE,523.95,510.5,518.5,RAJEXP,409083
2021-03-18,515.55,NSE,521.9,514.0,517.5,RAJEXP,227454
2021-03-19,477.9,NSE,516.0,473.05,516.0,RAJEXP,1005255
2021-03-22,475.15,NSE,482.0,471.15,477.0,RAJEXP,489177
2021-03-23,473.6,NSE,479.85,470.9,476.05,RAJEXP,423346
2021-03-24,474.25,NSE,478.0,472.5,474.8,RAJEXP,82056
2021-03-25,472.9,NSE,475.9,471.6,475.9,RAJEXP,156107
2021-03-26,475.6,NSE,477.9,472.3,474.0,RAJEXP,94500
2021-03-30,477.6,NSE,483.0,473.0,476.65,RAJEXP,229718
2021-03-31,479.7,NSE,480.5,475.4,480.0,RAJEXP,55420
2021-04-01,490.0,NSE,495.65,480.0,481.0,RAJEXP,182221
2021-04-05,482.1,NSE,489.95,477.5,486.8,RAJEXP,55754
2021-04-06,479.85,NSE,486.8,478.35,486.75,RAJEXP,66393
2021-04-07,480.2,NSE,503.0,475.25,481.8,RAJEXP,448381
2021-04-08,504.0,NSE,576.2,487.0,489.95,RAJEXP,815144
2021-04-09,515.05,NSE,522.0,502.3,509.9,RAJEXP,246400
2021-04-12,493.5,NSE,509.95,485.9,509.9,RAJEXP,130727
2021-04-13,493.5,NSE,500.2,490.9,496.9,RAJEXP,74937
2021-04-15,498.6,NSE,503.45,492.5,496.0,RAJEXP,136169
2021-04-16,500.2,NSE,506.0,497.55,504.9,RAJEXP,114984
2021-04-19,492.5,NSE,498.5,485.05,494.35,RAJEXP,113518
2021-04-20,495.0,NSE,502.9,493.0,495.0,RAJEXP,145705
2021-04-22,498.95,NSE,502.0,490.5,494.0,RAJEXP,60707
2021-04-23,506.05,NSE,511.45,499.0,501.95,RAJEXP,108218
2021-04-26,510.0,NSE,519.3,506.05,506.05,RAJEXP,206996
2021-04-27,521.3,NSE,525.0,511.05,512.0,RAJEXP,131192
2021-04-28,534.0,NSE,535.75,522.0,523.0,RAJEXP,277315
2021-04-29,528.2,NSE,545.0,520.5,537.7,RAJEXP,433653
2021-04-30,527.8,NSE,534.9,510.0,534.9,RAJEXP,195948
2021-05-03,517.0,NSE,533.9,515.0,524.2,RAJEXP,170336
2021-05-04,513.0,NSE,531.45,512.0,518.9,RAJEXP,316587
2021-05-05,505.95,NSE,521.9,501.5,517.0,RAJEXP,176200
2021-05-06,501.6,NSE,510.45,500.0,508.0,RAJEXP,72482
2021-05-07,510.8,NSE,513.0,502.15,503.0,RAJEXP,101951
2021-05-10,515.0,NSE,522.0,512.5,513.9,RAJEXP,142303
2021-05-11,515.65,NSE,517.5,510.05,514.0,RAJEXP,163566
2021-05-12,516.0,NSE,520.0,512.0,517.0,RAJEXP,175347
2021-05-14,514.4,NSE,519.65,512.0,517.5,RAJEXP,183004
2021-05-17,512.95,NSE,516.65,510.35,516.65,RAJEXP,211853
2021-05-18,515.85,NSE,521.0,512.8,514.8,RAJEXP,214900
