close,datetime,exchange_code,expiry_date,high,low,open,open_interest,product_type,right,stock_code,strike_price,volume
98.55,2023-11-07 09:15:00,NFO,2023-11-16,114.2,93.75,113.6,256750,Options,Call,NIFTY,19450.0,25700
96.7,2023-11-07 09:16:00,NFO,2023-11-16,97.7,94.0,97.7,256750,Options,Call,NIFTY,19450.0,20500
98.0,2023-11-07 09:17:00,NFO,2023-11-16,98.35,94.4,96.35,258200,Options,Call,NIFTY,19450.0,12550
99.45,2023-11-07 09:18:00,NFO,2023-11-16,99.75,97.3,98.0,258200,Options,Call,NIFTY,19450.0,11100
99.7,2023-11-07 09:19:00,NFO,2023-11-16,99.7,98.25,99.45,258200,Options,Call,NIFTY,19450.0,8700
103.05,2023-11-07 09:20:00,NFO,2023-11-16,103.45,99.5,99.7,273550,Options,Call,NIFTY,19450.0,35550
99.95,2023-11-07 09:21:00,NFO,2023-11-16,104.15,99.25,103.15,273550,Options,Call,NIFTY,19450.0,16200
101.9,2023-11-07 09:22:00,NFO,2023-11-16,101.95,99.65,99.65,273550,Options,Call,NIFTY,19450.0,10850
103.7,2023-11-07 09:23:00,NFO,2023-11-16,103.8,100.95,101.3,280350,Options,Call,NIFTY,19450.0,3750
104.5,2023-11-07 09:24:00,NFO,2023-11-16,105.0,103.7,103.7,280350,Options,Call,NIFTY,19450.0,10950
105.1,2023-11-07 09:25:00,NFO,2023-11-16,106.0,104.05,104.5,280350,Options,Call,NIFTY,19450.0,12650
103.25,2023-11-07 09:26:00,NFO,2023-11-16,105.45,100.9,105.45,279550,Options,Call,NIFTY,19450.0,13050
104.3,2023-11-07 09:27:00,NFO,2023-11-16,104.4,101.5,103.1,279550,Options,Call,NIFTY,19450.0,9450
102.5,2023-11-07 09:28:00,NFO,2023-11-16,104.55,102.05,104.3,279550,Options,Call,NIFTY,19450.0,9550
101.25,2023-11-07 09:29:00,NFO,2023-11-16,102.85,100.6,102.7,278850,Options,Call,NIFTY,19450.0,5050
