close,datetime,exchange_code,expiry_date,high,low,open,open_interest,product_type,right,stock_code,strike_price,volume
87.8,2023-11-24 09:15:00,NFO,2023-12-14,90.1,86.65,90.1,79700,Options,Put,NIFTY,19700.0,100
94.6,2023-11-24 09:16:00,NFO,2023-12-14,94.6,94.6,94.6,79700,Options,Put,NIFTY,19700.0,100
93.55,2023-11-24 09:17:00,NFO,2023-12-14,94.6,93.55,94.6,79850,Options,Put,NIFTY,19700.0,300
92.95,2023-11-24 09:18:00,NFO,2023-12-14,93.55,92.05,93.55,79850,Options,Put,NIFTY,19700.0,1150
93.65,2023-11-24 09:19:00,NFO,2023-12-14,94.5,93.0,93.0,79850,Options,Put,NIFTY,19700.0,650
94.0,2023-11-24 09:20:00,NFO,2023-12-14,94.0,94.0,94.0,79850,Options,Put,NIFTY,19700.0,250
93.95,2023-11-24 09:21:00,NFO,2023-12-14,95.0,93.85,94.0,79850,Options,Put,NIFTY,19700.0,700
92.3,2023-11-24 09:22:00,NFO,2023-12-14,93.95,92.3,93.95,80300,Options,Put,NIFTY,19700.0,1650
90.25,2023-11-24 09:23:00,NFO,2023-12-14,92.3,90.25,92.3,81350,Options,Put,NIFTY,19700.0,1800
93.55,2023-11-24 09:24:00,NFO,2023-12-14,93.55,90.3,90.4,81350,Options,Put,NIFTY,19700.0,3850
91.85,2023-11-24 09:25:00,NFO,2023-12-14,92.8,91.55,91.55,81350,Options,Put,NIFTY,19700.0,500
93.5,2023-11-24 09:26:00,NFO,2023-12-14,93.5,91.85,91.85,81350,Options,Put,NIFTY,19700.0,50
92.65,2023-11-24 09:27:00,NFO,2023-12-14,93.7,92.65,93.5,83600,Options,Put,NIFTY,19700.0,600
92.65,2023-11-24 09:28:00,NFO,2023-12-14,92.65,92.65,92.65,83600,Options,Put,NIFTY,19700.0,0
92.5,2023-11-24 09:29:00,NFO,2023-12-14,93.1,92.5,92.65,83650,Options,Put,NIFTY,19700.0,150
92.5,2023-11-24 09:30:00,NFO,2023-12-14,92.5,92.5,92.5,83650,Options,Put,NIFTY,19700.0,0
93.7,2023-11-24 09:31:00,NFO,2023-12-14,93.7,92.5,92.5,83650,Options,Put,NIFTY,19700.0,100
93.7,2023-11-24 09:32:00,NFO,2023-12-14,93.7,93.7,93.7,83650,Options,Put,NIFTY,19700.0,0
94.4,2023-11-24 09:33:00,NFO,2023-12-14,94.4,93.7,93.7,83700,Options,Put,NIFTY,19700.0,150
94.4,2023-11-24 09:34:00,NFO,2023-12-14,94.4,94.4,94.4,83700,Options,Put,NIFTY,19700.0,0
97.35,2023-11-24 09:35:00,NFO,2023-12-14,97.35,94.4,94.4,83700,Options,Put,NIFTY,19700.0,0
97.35,2023-11-24 09:36:00,NFO,2023-12-14,97.35,97.35,97.35,83700,Options,Put,NIFTY,19700.0,150
97.75,2023-11-24 09:37:00,NFO,2023-12-14,97.85,97.35,97.35,83700,Options,Put,NIFTY,19700.0,150
95.45,2023-11-24 09:38:00,NFO,2023-12-14,97.75,95.45,97.75,83700,Options,Put,NIFTY,19700.0,150
97.65,2023-11-24 09:39:00,NFO,2023-12-14,97.7,95.45,95.45,83600,Options,Put,NIFTY,19700.0,550
98.1,2023-11-24 09:40:00,NFO,2023-12-14,98.25,97.65,97.65,83600,Options,Put,NIFTY,19700.0,500
98.4,2023-11-24 09:41:00,NFO,2023-12-14,98.4,98.1,98.1,83600,Options,Put,NIFTY,19700.0,200
97.75,2023-11-24 09:42:00,NFO,2023-12-14,98.5,97.75,98.4,83100,Options,Put,NIFTY,19700.0,450
97.85,2023-11-24 09:43:00,NFO,2023-12-14,98.1,97.75,97.75,83100,Options,Put,NIFTY,19700.0,400
97.85,2023-11-24 09:44:00,NFO,2023-12-14,97.85,97.85,97.85,83100,Options,Put,NIFTY,19700.0,0
99.0,2023-11-24 09:45:00,NFO,2023-12-14,99.0,97.85,97.85,82750,Options,Put,NIFTY,19700.0,50
100.6,2023-11-24 09:46:00,NFO,2023-12-14,101.1,99.0,99.0,82750,Options,Put,NIFTY,19700.0,1750
98.55,2023-11-24 09:47:00,NFO,2023-12-14,100.6,98.55,100.6,82750,Options,Put,NIFTY,19700.0,50
99.0,2023-11-24 09:48:00,NFO,2023-12-14,99.0,98.55,98.55,82950,Options,Put,NIFTY,19700.0,150
100.6,2023-11-24 09:49:00,NFO,2023-12-14,100.6,100.0,100.0,82950,Options,Put,NIFTY,19700.0,400
102.45,2023-11-24 09:50:00,NFO,2023-12-14,103.2,100.6,100.6,83000,Options,Put,NIFTY,19700.0,300
103.5,2023-11-24 09:51:00,NFO,2023-12-14,104.55,102.45,102.45,83000,Options,Put,NIFTY,19700.0,250
104.2,2023-11-24 09:52:00,NFO,2023-12-14,104.2,103.5,103.5,83000,Options,Put,NIFTY,19700.0,750
103.25,2023-11-24 09:53:00,NFO,2023-12-14,104.2,103.25,104.2,83000,Options,Put,NIFTY,19700.0,50
103.25,2023-11-24 09:54:00,NFO,2023-12-14,103.25,103.25,103.25,83000,Options,Put,NIFTY,19700.0,0
104.5,2023-11-24 09:55:00,NFO,2023-12-14,105.6,103.25,103.25,82650,Options,Put,NIFTY,19700.0,300
103.2,2023-11-24 09:56:00,NFO,2023-12-14,104.5,103.2,104.5,82650,Options,Put,NIFTY,19700.0,300
103.2,2023-11-24 09:57:00,NFO,2023-12-14,103.2,103.2,103.2,82650,Options,Put,NIFTY,19700.0,50
107.05,2023-11-24 09:58:00,NFO,2023-12-14,107.05,103.2,103.2,82650,Options,Put,NIFTY,19700.0,50
109.05,2023-11-24 09:59:00,NFO,2023-12-14,109.05,108.05,108.05,82600,Options,Put,NIFTY,19700.0,1550
108.85,2023-11-24 10:00:00,NFO,2023-12-14,109.05,108.85,109.05,82600,Options,Put,NIFTY,19700.0,50
110.75,2023-11-24 10:01:00,NFO,2023-12-14,111.75,108.85,108.85,82600,Options,Put,NIFTY,19700.0,2200
110.0,2023-11-24 10:02:00,NFO,2023-12-14,110.75,110.0,110.75,82600,Options,Put,NIFTY,19700.0,300
110.0,2023-11-24 10:03:00,NFO,2023-12-14,110.0,110.0,110.0,82600,Options,Put,NIFTY,19700.0,0
108.25,2023-11-24 10:04:00,NFO,2023-12-14,110.0,108.25,110.0,85300,Options,Put,NIFTY,19700.0,300
108.25,2023-11-24 10:05:00,NFO,2023-12-14,108.25,108.25,108.25,85300,Options,Put,NIFTY,19700.0,0
107.05,2023-11-24 10:06:00,NFO,2023-12-14,108.25,107.05,108.25,85150,Options,Put,NIFTY,19700.0,150
106.85,2023-11-24 10:07:00,NFO,2023-12-14,107.05,106.85,107.05,85150,Options,Put,NIFTY,19700.0,50
106.85,2023-11-24 10:08:00,NFO,2023-12-14,106.85,106.85,106.85,85050,Options,Put,NIFTY,19700.0,100
103.75,2023-11-24 10:09:00,NFO,2023-12-14,106.85,103.75,106.85,85050,Options,Put,NIFTY,19700.0,400
103.2,2023-11-24 10:10:00,NFO,2023-12-14,103.75,103.2,103.75,85050,Options,Put,NIFTY,19700.0,600
103.2,2023-11-24 10:11:00,NFO,2023-12-14,103.2,103.2,103.2,85050,Options,Put,NIFTY,19700.0,0
102.6,2023-11-24 10:12:00,NFO,2023-12-14,103.2,102.6,103.2,85400,Options,Put,NIFTY,19700.0,50
102.6,2023-11-24 10:13:00,NFO,2023-12-14,102.6,102.6,102.6,85400,Options,Put,NIFTY,19700.0,0
102.6,2023-11-24 10:14:00,NFO,2023-12-14,102.6,102.6,102.6,85400,Options,Put,NIFTY,19700.0,0
103.9,2023-11-24 10:15:00,NFO,2023-12-14,103.9,102.6,102.6,85450,Options,Put,NIFTY,19700.0,150
102.95,2023-11-24 10:16:00,NFO,2023-12-14,104.0,102.95,103.9,85450,Options,Put,NIFTY,19700.0,200
102.95,2023-11-24 10:17:00,NFO,2023-12-14,102.95,102.95,102.95,85450,Options,Put,NIFTY,19700.0,0
103.2,2023-11-24 10:18:00,NFO,2023-12-14,103.4,102.95,102.95,85350,Options,Put,NIFTY,19700.0,300
103.0,2023-11-24 10:19:00,NFO,2023-12-14,103.2,103.0,103.2,85350,Options,Put,NIFTY,19700.0,50
104.05,2023-11-24 10:20:00,NFO,2023-12-14,104.05,103.0,103.0,85050,Options,Put,NIFTY,19700.0,50
104.05,2023-11-24 10:21:00,NFO,2023-12-14,104.05,104.05,104.05,85050,Options,Put,NIFTY,19700.0,0
102.0,2023-11-24 10:22:00,NFO,2023-12-14,104.05,101.15,104.05,85050,Options,Put,NIFTY,19700.0,1050
101.6,2023-11-24 10:23:00,NFO,2023-12-14,102.0,101.55,102.0,85050,Options,Put,NIFTY,19700.0,150
101.6,2023-11-24 10:24:00,NFO,2023-12-14,101.6,101.6,101.6,85050,Options,Put,NIFTY,19700.0,0
103.55,2023-11-24 10:25:00,NFO,2023-12-14,103.7,101.6,101.6,85850,Options,Put,NIFTY,19700.0,150
103.25,2023-11-24 10:26:00,NFO,2023-12-14,103.55,102.9,103.55,85750,Options,Put,NIFTY,19700.0,150
103.45,2023-11-24 10:27:00,NFO,2023-12-14,103.9,103.25,103.25,85750,Options,Put,NIFTY,19700.0,500
103.45,2023-11-24 10:28:00,NFO,2023-12-14,103.45,103.45,103.45,85750,Options,Put,NIFTY,19700.0,0
104.35,2023-11-24 10:29:00,NFO,2023-12-14,104.35,103.45,103.45,85600,Options,Put,NIFTY,19700.0,100
104.35,2023-11-24 10:30:00,NFO,2023-12-14,104.35,104.35,104.35,85600,Options,Put,NIFTY,19700.0,0
103.8,2023-11-24 10:31:00,NFO,2023-12-14,104.35,103.8,104.35,85600,Options,Put,NIFTY,19700.0,600
101.2,2023-11-24 10:32:00,NFO,2023-12-14,103.8,101.2,103.8,85250,Options,Put,NIFTY,19700.0,250
97.95,2023-11-24 10:33:00,NFO,2023-12-14,99.0,97.95,99.0,85250,Options,Put,NIFTY,19700.0,450
99.5,2023-11-24 10:34:00,NFO,2023-12-14,99.5,97.95,97.95,85250,Options,Put,NIFTY,19700.0,500
99.5,2023-11-24 10:35:00,NFO,2023-12-14,99.5,99.5,99.5,85250,Options,Put,NIFTY,19700.0,50
99.0,2023-11-24 10:36:00,NFO,2023-12-14,99.5,99.0,99.5,84900,Options,Put,NIFTY,19700.0,50
